G,Include,VRE,C_inv,C_v,WACC,Lifetime
PV,1,1,895000,0,0.071,30
Wind,1,1,1335000,0,0.071,30
Gas,1,0,2500000,60,0.071,30
Base,0,0,2000000,25,0.071,30
