δ,Ψ,objective,ζ_total,max_u,max_dual,tail_scenarios,PV,Wind_Onshore,Wind_Offshore,Gas,Nuclear,BESS_P,BESS_E,Duration,LDES_PHS_P,LDES_PHS_E,Duration_PHS
1,0.5,5.33E+08,2.253424109,180.1459663,1.28E-09,"Tuple{Int64, Float64}[]",190.3424862,51.94596189,106.2347249,25,3.999997142,0.006720695,0.026878789,3.999406037,17.30813809,384.7777731,22.23103208
0.8,0.5,5.31E+08,5.33E+08,2.41E+07,1.14E-09,"Tuple{Int64, Float64}[]",189.1955396,53.94253091,105.5440802,25,3.999997073,0.05243102,0.209681575,3.999189311,17.11297901,381.5315555,22.29486493
0.6,0.5,5.29E+08,5.33E+08,2.41E+07,3.44E-09,"Tuple{Int64, Float64}[]",188.0678679,55.67486365,104.9602013,25,3.999991261,0.146144631,0.584523627,3.999624366,16.88154585,378.7193266,22.4339246
0.4,0.5,5.27E+08,5.33E+08,2.41E+07,6.90E-09,"Tuple{Int64, Float64}[]",186.9025954,57.53185051,104.3045807,25,3.999982368,0.243546191,0.973881813,3.998756089,16.64617315,375.4557938,22.5550816
0.2,0.5,5.25E+08,5.33E+08,2.41E+07,1.08E-08,"[(16, 1.0e-8), (22, 1.0e-8), (27, 1.0e-8)]",185.8224379,59.26681217,103.6865261,25,3.999972057,0.355399378,1.420989401,3.998288935,16.41839395,371.9547197,22.65475667
