Y,T,Load
8,1,0.5510670762
8,2,0.7147328700000001
8,3,0.78895086275
8,4,0.7315778983333333
8,5,0.5450466007500001
8,6,0.69171288925
8,7,0.8556164985833333
8,8,0.5850304601111112
8,9,0.8387021561538461
8,10,0.7583149473333334
8,11,0.5831453491999999
8,12,0.773367425
8,13,0.5572509638181818
8,14,0.7603563107500001
8,15,0.839928243
8,16,0.6088567802727272
8,17,0.8826903383333334
8,18,0.9043151415714287
8,19,0.735664062
8,20,0.5895673961250001
8,21,0.8043899624999999
8,22,0.89221670075
8,23,0.6297640404999999
8,24,0.5673959215
8,25,0.8543608367500001
8,26,0.581373590125
8,27,0.8666594761538462
8,28,0.7727213366666666
8,29,0.582680372
8,30,0.8702600162857144
8,31,0.6488690024
8,32,0.5812377202857143
8,33,0.7854236820769231
8,34,0.589299338
8,35,0.564279749375
8,36,0.7939853823636365
8,37,0.5975689219
8,38,0.8935892941999999
8,39,0.6485968203333333
8,40,0.60769051
8,41,0.8394883533333334
8,42,0.8916963936
8,43,0.9007420194285715
8,44,0.6187026458888888
8,45,0.8717884612500001
8,46,0.9079049563333333
8,47,0.7538610640000001
8,48,0.60194445025
8,49,0.8743987108571429
8,50,0.9162388051666667
8,51,0.7699101663333333
8,52,0.5925237643750001
8,53,0.8615648905000001
8,54,0.6140833455000001
8,55,0.808923379642857
8,56,0.5993525371999999
8,57,0.8096720758333333
8,58,0.8511837257142857
8,59,0.6183498175555555
8,60,0.89637847
8,61,0.9440542716
8,62,0.896269356875
8,63,0.6357970596249999
8,64,0.9107109718750002
8,65,0.9085854108333334
8,66,0.777512011
8,67,0.62681712275
8,68,0.8839667059333334
8,69,0.661554323
8,70,0.6313998805
8,71,0.8768390313125
8,72,0.611153782875
8,73,0.8736725982857143
8,74,0.6250602193636363
8,75,0.7937627297777778
8,76,0.8437686865
8,77,0.6390415902000001
8,78,0.5505770116666667
8,79,0.5958554138000001
8,80,0.7918251201428571
8,81,0.8409386147500001
8,82,0.6577932656666666
8,83,0.5902603695714286
8,84,0.8927205118666667
8,85,0.6271224106666666
8,86,0.8972896702857142
8,87,0.8918741823333334
8,88,0.6354362126250002
8,89,0.8746589136666666
8,90,0.9107573662499999
8,91,0.900161350125
8,92,0.6080421927777777
8,93,0.8741288118749999
8,94,0.8872890518571428
8,95,0.6317504176666667
8,96,0.5808434886666666
8,97,0.8427384317142856
8,98,0.703785801
8,99,0.587534624
8,100,0.5773582461428572
8,101,0.7567134736666666
