O,T,G,value
13,1,PV,0.0
13,2,PV,0.0021999999999999
13,3,PV,0.122
13,4,PV,0.245
13,5,PV,0.3066666666666667
13,6,PV,0.178
13,7,PV,0.007
13,8,PV,0.0
13,9,PV,0.0
13,10,PV,0.007
13,11,PV,0.114
13,12,PV,0.26075
13,13,PV,0.132
13,14,PV,0.028
13,15,PV,0.0
13,16,PV,0.0
13,17,PV,0.0
13,18,PV,0.0
13,19,PV,0.0
13,20,PV,0.005
13,21,PV,0.0705
13,22,PV,0.1526666666666666
13,23,PV,0.0306666666666666
13,24,PV,0.0
13,25,PV,0.0
13,26,PV,0.0
13,27,PV,0.0
13,28,PV,0.0012857142857142
13,29,PV,0.078
13,30,PV,0.1755
13,31,PV,0.022
13,32,PV,0.0
13,33,PV,0.0
13,34,PV,0.0
13,35,PV,0.0
13,36,PV,0.0
13,37,PV,0.0235
13,38,PV,0.0569999999999999
13,39,PV,0.009
13,40,PV,0.0
13,41,PV,0.0
13,42,PV,0.0
13,43,PV,0.0
13,44,PV,0.0
13,45,PV,0.02175
13,46,PV,0.0
13,47,PV,0.0
13,48,PV,0.0
13,49,PV,0.0
13,50,PV,0.0033333333333333
13,51,PV,0.0319999999999999
13,52,PV,0.0
13,53,PV,0.0
13,54,PV,0.0
13,55,PV,0.0
13,56,PV,0.0133333333333333
13,57,PV,0.0915
13,58,PV,0.03
13,59,PV,0.0
13,60,PV,0.0
13,61,PV,0.0
13,62,PV,0.0
13,63,PV,0.018
13,64,PV,0.1295
13,65,PV,0.0229999999999999
13,66,PV,0.0
13,67,PV,0.0
13,68,PV,0.0
13,69,PV,0.0
13,70,PV,0.0103333333333333
13,71,PV,0.083
13,72,PV,0.022
13,73,PV,0.0
13,74,PV,0.0
13,75,PV,0.0
13,76,PV,0.0
13,77,PV,0.014
13,78,PV,0.07075
13,79,PV,0.0173333333333333
13,80,PV,0.0
13,81,PV,0.0
13,82,PV,0.0
13,83,PV,0.0004285714285714
13,84,PV,0.0485
13,85,PV,0.133
13,86,PV,0.04
13,87,PV,0.0
13,88,PV,0.0
13,89,PV,0.0
13,90,PV,0.0
13,91,PV,0.0
13,92,PV,0.0
13,93,PV,0.0093333333333333
13,94,PV,0.0615
13,95,PV,0.0713333333333333
13,96,PV,0.013
13,97,PV,0.0
13,98,PV,0.0
13,99,PV,0.0
13,100,PV,0.0
13,101,PV,0.0
13,102,PV,0.0
13,103,PV,0.0
13,104,PV,0.0
13,105,PV,0.0306666666666666
13,106,PV,0.0
13,107,PV,0.0
13,108,PV,0.0
13,109,PV,0.0
13,110,PV,0.0
13,111,PV,0.0
13,112,PV,0.0136666666666666
13,113,PV,0.1326
13,114,PV,0.024
13,115,PV,0.0
13,116,PV,0.0
13,117,PV,0.0
13,118,PV,0.0
13,119,PV,0.0
13,120,PV,0.0069999999999999
13,121,PV,0.054
13,122,PV,0.0247499999999999
13,123,PV,0.0
13,124,PV,0.0
13,125,PV,0.0
13,126,PV,0.0
13,127,PV,0.0
13,128,PV,0.02875
13,129,PV,0.0603333333333333
13,130,PV,0.0075
13,131,PV,0.0
13,132,PV,0.0
13,133,PV,0.0
13,134,PV,0.0
13,135,PV,0.0
13,136,PV,0.026
13,137,PV,0.089
13,138,PV,0.065
13,139,PV,0.024
13,140,PV,0.002
13,141,PV,0.0
13,142,PV,0.0
13,143,PV,0.0
13,144,PV,0.0
13,145,PV,0.0016
13,146,PV,0.045
13,147,PV,0.1101999999999999
13,148,PV,0.0105
13,149,PV,0.0
13,150,PV,0.0
13,151,PV,0.0
13,152,PV,0.0
13,153,PV,0.0
