Y,T,PV,Wind
25,1,0.0,0.4135666666666667
25,2,0.001,0.3948285714285714
25,3,0.029500000000000002,0.47165
25,4,0.028,0.56385
25,5,0.0016,0.6637
25,6,0.0,0.6104499999999999
25,7,0.0,0.54605
25,8,0.0002,0.45655999999999997
25,9,0.045,0.3989
25,10,0.14700000000000002,0.4134
25,11,0.025333333333333333,0.4039
25,12,0.0,0.42103333333333337
25,13,0.0,0.53125
25,14,0.0,0.6317
25,15,0.0,0.7550875
25,16,0.0,0.8066
25,17,0.012,0.85055
25,18,0.061,0.910575
25,19,0.009000000000000001,0.9023666666666665
25,20,0.0,0.8564333333333334
25,21,0.0,0.78765
25,22,0.0,0.7538
25,23,0.0,0.7390666666666666
25,24,0.0,0.633
25,25,0.0,0.50205
25,26,0.0,0.4155
25,27,0.0,0.3672
25,28,0.0075,0.3118
25,29,0.06825,0.17934999999999998
25,30,0.015,0.1121
25,31,0.0,0.13147999999999999
25,32,0.0,0.1446
25,33,0.0,0.16856249999999998
25,34,0.0,0.2111
25,35,0.011,0.23470000000000002
25,36,0.0515,0.3261
25,37,0.064,0.4419
25,38,0.041,0.5635
25,39,0.009500000000000001,0.69085
25,40,0.0,0.7939333333333334
25,41,0.0,0.7294499999999999
25,42,0.0,0.6977
25,43,0.0,0.6598333333333333
25,44,0.0,0.6094
25,45,0.0,0.6939
25,46,0.032,0.7597
25,47,0.11975,0.810425
25,48,0.009666666666666665,0.8157833333333334
25,49,0.0,0.8353999999999999
25,50,0.0,0.8424
25,51,0.0,0.85296
25,52,0.0,0.8319333333333333
25,53,0.0005,0.7841499999999999
25,54,0.0385,0.76235
25,55,0.08700000000000001,0.7274
25,56,0.0055,0.6448
25,57,0.0,0.6033333333333334
25,58,0.0,0.5852
25,59,0.0,0.56165
25,60,0.0,0.5656800000000001
25,61,0.0004,0.4984
25,62,0.0595,0.45094999999999996
25,63,0.152,0.39880000000000004
25,64,0.068,0.329
25,65,0.0045,0.28635
25,66,0.0,0.24025
25,67,0.0,0.20485
25,68,0.0,0.18175
25,69,0.0,0.17674285714285715
25,70,0.0,0.2285
25,71,0.0,0.2464
25,72,0.0175,0.28035
25,73,0.1238,0.33428
25,74,0.0034000000000000002,0.37418000000000007
25,75,0.0,0.3865
25,76,0.0,0.3753
25,77,0.0,0.33876666666666666
25,78,0.0,0.26477999999999996
25,79,0.02425,0.25775000000000003
25,80,0.082,0.32160000000000005
25,81,0.0175,0.30055
25,82,0.0,0.26102499999999995
25,83,0.0,0.2555
25,84,0.0,0.2696
25,85,0.0,0.31565
25,86,0.0065,0.31845
25,87,0.088,0.3207
25,88,0.188,0.3089
25,89,0.26666666666666666,0.32073333333333337
25,90,0.156,0.3023
25,91,0.0185,0.30445
25,92,0.0,0.28215
25,93,0.0,0.21810000000000002
25,94,0.0,0.1868
25,95,0.0,0.15700000000000003
25,96,0.0,0.2308
25,97,0.0,0.2771
25,98,0.03466666666666667,0.34043333333333337
25,99,0.07400000000000001,0.3912
25,100,0.022000000000000002,0.42616666666666664
25,101,0.0,0.51498
25,102,0.0,0.4754
25,103,0.0,0.4237
25,104,0.0,0.39132500000000003
25,105,0.0,0.2857
25,106,0.011333333333333334,0.2515333333333334
25,107,0.1085,0.19865
25,108,0.01933333333333333,0.21546666666666667
25,109,0.0,0.21055000000000001
25,110,0.0,0.17385
25,111,0.0,0.1449
25,112,0.0,0.10342222222222223
25,113,0.01,0.0902
25,114,0.09933333333333334,0.09093333333333332
25,115,0.005,0.1787
25,116,0.0,0.258
25,117,0.0,0.33175
25,118,0.0,0.38444999999999996
25,119,0.0001,0.35096000000000005
25,120,0.017,0.406
25,121,0.031,0.4391
25,122,0.007,0.38989999999999997
25,123,0.0,0.3184
25,124,0.0,0.25170000000000003
25,125,0.0,0.21065
25,126,0.0,0.14895
25,127,0.008666666666666668,0.17626666666666668
25,128,0.06520000000000001,0.22235999999999997
25,129,0.0012000000000000001,0.31887999999999994
25,130,0.0,0.33125000000000004
25,131,0.0,0.2928
25,132,0.0,0.24644999999999997
25,133,0.009333333333333334,0.20203333333333337
25,134,0.0868,0.15476
25,135,0.0026666666666666666,0.13726666666666668
25,136,0.0,0.17104999999999998
25,137,0.0,0.19515714285714283
25,138,0.0,0.2467
25,139,0.0,0.2539
25,140,0.02675,0.299425
25,141,0.043666666666666666,0.41040000000000004
25,142,0.001,0.4838
25,143,0.0,0.4838
25,144,0.0,0.4802
25,145,0.0,0.41659999999999997
25,146,0.0,0.3633
25,147,0.0,0.3346
25,148,0.0235,0.2856
25,149,0.12179999999999999,0.20293999999999998
25,150,0.004166666666666667,0.19893333333333332
25,151,0.0,0.2141
25,152,0.0,0.200175
25,153,0.015,0.17866666666666667
25,154,0.11839999999999999,0.11300000000000002
25,155,0.012,0.08615
25,156,0.0,0.09349999999999999
25,157,0.0,0.1271
25,158,0.0,0.1454
25,159,0.0,0.17616666666666667
25,160,0.0,0.24203333333333332
25,161,0.0,0.32255
25,162,0.003,0.37285
25,163,0.0525,0.4164
25,164,0.11233333333333333,0.4897
25,165,0.024333333333333332,0.5548
25,166,0.0,0.567
25,167,0.0,0.5099
25,168,0.0,0.4556
25,169,0.0,0.3930666666666667
25,170,0.0,0.349475
25,171,0.0006666666666666666,0.30393333333333333
25,172,0.023,0.2677
