Y,T,Load
3,1,0.629386010030303
3,2,0.8507504825384615
3,3,0.5850304601111112
3,4,0.7678432736190476
3,5,0.7188107857222222
3,6,0.5657703911666667
3,7,0.7393292368750001
3,8,0.6085393598333334
3,9,0.8943344631538463
3,10,0.6187867293
3,11,0.8796700238571429
3,12,0.6827033975333333
3,13,0.8779532755
3,14,0.5943162577777777
3,15,0.849046075
3,16,0.582680372
3,17,0.8702600162857144
3,18,0.7007443760416666
3,19,0.655488696117647
3,20,0.8935892941999999
3,21,0.6213259467777779
3,22,0.8854760776
3,23,0.6187026458888888
3,24,0.8816737806
3,25,0.613323161
3,26,0.890253889
3,27,0.6204589975
3,28,0.8772810687857143
3,29,0.7295716944230771
3,30,0.5993525371999999
3,31,0.7446121314999999
3,32,0.9112226014375
3,33,0.6357970596249999
3,34,0.9041493976
3,35,0.6741297962727274
3,36,0.8795080108571429
3,37,0.6386065118750001
3,38,0.8768390313125
3,39,0.611153782875
3,40,0.8564808132499999
3,41,0.6003761974444444
3,42,0.7946938297333334
3,43,0.66989001896875
3,44,0.8818792914375
3,45,0.615605088875
3,46,0.8942434583125
3,47,0.6354362126250002
3,48,0.8978864671333334
3,49,0.6080421927777777
3,50,0.8802702571999997
3,51,0.7122914820204084
3,52,0.5577252201818182
3,53,0.7534981546000001
3,54,0.6620216199375
3,55,0.8559931542999999
3,56,0.800648990185185
3,57,0.6696065548181817
3,58,0.8705886446250001
3,59,0.62009248
3,60,0.8916972772142857
3,61,0.643258346
3,62,0.8587799245000001
3,63,0.6660973300555555
3,64,0.6968428866315788
3,65,0.9101470194
3,66,0.6625266626666667
3,67,0.9296355101333335
3,68,0.662144050125
3,69,0.8949793285625002
3,70,0.6973283571666666
3,71,0.8767901582307691
3,72,0.6113956974285715
3,73,0.848997330235294
3,74,0.5907215335555557
3,75,0.7916645800714285
3,76,0.59997010125
3,77,0.8079581305454546
3,78,0.6334453679000001
3,79,0.8861534880714286
3,80,0.6787189585833332
3,81,0.8841131066666668
3,82,0.7580972934444443
3,83,0.9032406445384618
3,84,0.605819833111111
3,85,0.8711634225
3,86,0.6275668826666666
3,87,0.8900962945714285
3,88,0.845441470625
3,89,0.6781945274333332
3,90,0.5517248490000001
3,91,0.74887364175
3,92,0.6667437457142856
3,93,0.8524135514000001
3,94,0.7382360825882355
3,95,0.8820030106666666
3,96,0.868136173625
3,97,0.6197732408571428
3,98,0.8788596990588236
3,99,0.636498133875
3,100,0.9113141017499999
3,101,0.899632967
3,102,0.6940858885833333
3,103,0.9294065318571431
3,104,0.7124289474999999
3,105,0.793076812076923
3,106,0.6835113512812498
3,107,0.8826470365999999
3,108,0.677027819909091
3,109,0.8926205055833333
3,110,0.6907489123333334
3,111,0.8892474448333333
3,112,0.6618120707999999
3,113,0.8937391317777776
3,114,0.907186699
3,115,0.629435841375
3,116,0.8499318072857144
3,117,0.7393303302727272
3,118,0.5820277542
3,119,0.721575561375
3,120,0.7863208034
3,121,0.58599501
3,122,0.8596325547333332
3,123,0.6009581350000001
3,124,0.8422362896
3,125,0.5963370014444445
3,126,0.8356555192142856
3,127,0.6296162651000001
3,128,0.8647029714285714
3,129,0.635626946
3,130,0.8360847063333334
3,131,0.6016979493636364
3,132,0.7582825447142857
3,133,0.720000721875
3,134,0.5505403541111111
3,135,0.7520862850714286
3,136,0.56668453725
3,137,0.8240419510624999
3,138,0.57607687075
3,139,0.8157984571111112
3,140,0.6718326218666666
3,141,0.8354817234285715
3,142,0.6789120977333333
3,143,0.7312591500749999
3,144,0.6613931445833333
3,145,0.716356166375
3,146,0.5480934674444443
3,147,0.711284056
3,148,0.6568095782352941
3,149,0.815832496142857
3,150,0.6662034076666667
3,151,0.7407674702222222
3,152,0.7601583604
3,153,0.5774962026666667
3,154,0.709090253
3,155,0.6258660329000001
3,156,0.689692145875
3,157,0.5766144592142858
3,158,0.6594868411333332
3,159,0.5982152928235296
3,160,0.6697596413333333
3,161,0.6604295492592593
3,162,0.7216528855714286
3,163,0.6264156087777778
3,164,0.7127539554285715
3,165,0.588519650625
3,166,0.6870605398749999
3,167,0.5609707816666668
3,168,0.6132887944444444
3,169,0.5461235322352942
3,170,0.6438572047142858
3,171,0.5696775058249999
3,172,0.6710956347499999
3,173,0.5580878865294119
3,174,0.6407053161428572
3,175,0.5286375102
3,176,0.6184552079999999
3,177,0.5220460373333333
3,178,0.5770093455555556
3,179,0.49603583725
3,180,0.567194878125
3,181,0.4813044834117646
3,182,0.6006923683333333
3,183,0.4900935453333334
3,184,0.5864221351428572
3,185,0.614749366
3,186,0.4656507962222222
3,187,0.6438047713999999
3,188,0.48344021280000005
3,189,0.63818380525
3,190,0.6106209810000001
3,191,0.46854673722222223
3,192,0.6270785527142858
3,193,0.5297598759411766
3,194,0.6466111305
3,195,0.502472318
3,196,0.6187186837142856
3,197,0.636249665
3,198,0.457732156
3,199,0.6131358641249999
3,200,0.5168699685
3,201,0.6490318989
3,202,0.5295261267142857
3,203,0.6407722814
3,204,0.48765340699999987
3,205,0.6227034662500001
3,206,0.526479730625
3,207,0.6242798524
3,208,0.5005206507500001
3,209,0.599712822
3,210,0.48915985957142855
3,211,0.5557755004444445
3,212,0.4846776454117647
3,213,0.5943643708888888
3,214,0.4842552852857143
3,215,0.6416364814444444
3,216,0.6294255315
3,217,0.48052644299999997
3,218,0.682299936
3,219,0.5319187070769231
3,220,0.6648085905555556
3,221,0.5560167198571427
3,222,0.5915972597692307
3,223,0.652107346875
3,224,0.5308601563750001
3,225,0.5874770604999999
