Y,T,PV,Wind_Onshore,Wind_Offshore
8,1,0.0,0.15036666666666668,0.23468250000000004
8,2,0.013575862068965518,0.22560862068965515,0.49645200000000006
8,3,0.05365384615384615,0.10615769230769233,0.5086220769230769
8,4,0.0022388888888888892,0.054188888888888884,0.2430683333333333
8,5,0.12257916666666667,0.08117916666666668,0.20466025
8,6,0.0,0.285535,0.44290830000000003
8,7,0.024617647058823525,0.34563725490196073,0.7388364117647057
8,8,0.26877,0.28668000000000005,0.7579962
8,9,0.00445625,0.16738125,0.570796125
8,10,0.010990909090909091,0.08867272727272728,0.2811523636363637
8,11,0.30968999999999997,0.03799,0.210714
8,12,0.009218421052631579,0.04636315789473684,0.15686557894736844
8,13,0.31124,0.042069999999999996,0.0898536
8,14,0.0165075,0.07904999999999998,0.19302689999999995
8,15,0.05066562499999999,0.16094687500000002,0.5717259375
8,16,0.0,0.14319374999999998,0.4919414999999999
8,17,0.06674687500000001,0.119446875,0.40509375
8,18,0.0,0.1444875,0.32422724999999997
8,19,0.05279687499999999,0.20274687500000002,0.32366174999999997
8,20,0.0,0.19178125,0.4389911249999999
8,21,0.03454285714285714,0.22447142857142863,0.5539725000000001
8,22,0.029390384615384617,0.2571903846153846,0.7278921923076923
8,23,0.039331250000000005,0.15740625000000003,0.6256985624999999
8,24,0.08752333333333333,0.12072999999999999,0.3976248
8,25,0.0,0.1605222222222222,0.237771
8,26,0.035165625,0.1458875,0.14625787499999995
8,27,0.0,0.13196249999999998,0.17428275
8,28,0.061903125,0.18551250000000002,0.2150150625
8,29,0.0,0.18613125000000003,0.16871475000000002
8,30,0.050374999999999996,0.21555000000000005,0.20949600000000002
8,31,0.0,0.16632499999999997,0.24218625000000002
8,32,0.06230999999999999,0.08950666666666666,0.1375296
8,33,0.01713157894736842,0.08640964912280702,0.07769863157894737
8,34,0.08502857142857143,0.07116071428571429,0.1621245
8,35,0.0011625000000000001,0.05794166666666666,0.23255099999999998
8,36,0.0995875,0.03829166666666666,0.08264274999999999
8,37,0.021656944444444447,0.07053749999999998,0.1396301666666667
8,38,0.27899999999999997,0.030166666666666665,0.12081400000000002
8,39,0.01329736842105263,0.034515789473684215,0.06461352631578948
8,40,0.29791000000000006,0.0477,0.041203199999999995
8,41,0.01696842105263158,0.07428947368421053,0.15634357894736842
8,42,0.47507499999999997,0.0743,0.20564625
8,43,0.026105263157894736,0.04296052631578948,0.15284068421052627
8,44,0.37540999999999997,0.029350000000000005,0.095352
8,45,0.03968,0.06663,0.2049024
8,46,0.48747499999999994,0.06383333333333334,0.16683699999999999
8,47,0.01085,0.055650000000000005,0.14670758823529415
8,48,0.5427214285714286,0.03508571428571428,0.05800414285714286
8,49,0.006291176470588236,0.06815588235294116,0.1274601176470588
8,50,0.3009583333333333,0.09933333333333333,0.2809375
8,51,0.003584375,0.20003125000000002,0.46528143749999995
8,52,0.034203333333333336,0.12134,0.2624036
8,53,0.03179714285714286,0.11316714285714286,0.10646562857142856
8,54,0.06772307692307691,0.2227923076923077,0.24576830769230765
8,55,0.030095833333333332,0.30155625,0.6165073750000002
8,56,0.005213636363636364,0.41204090909090907,0.7861161818181818
8,57,0.25678333333333336,0.3586500000000001,0.7530575
8,58,0.01062857142857143,0.23002142857142857,0.5437251428571429
8,59,0.0,0.12070555555555555,0.42161166666666666
