Y,T,value
13,1,0.6577576124528349
13,2,0.8644288852278967
13,3,0.6813917594395353
13,4,0.8813749798922781
13,5,0.7177451872674279
13,6,0.8830745677533157
13,7,0.8042624649093482
13,8,0.6495071528020456
13,9,0.7962990697751818
13,10,0.7594658104499428
13,11,0.8169938111079341
13,12,0.7106136282413054
13,13,0.651980606530466
13,14,0.8229182267485396
13,15,0.723435048224272
13,16,0.8576068205392753
13,17,0.7537553633972605
13,18,0.8406636380277238
13,19,0.7387863626194213
13,20,0.8342929570277181
13,21,0.6925878922757447
13,22,0.7300683939893166
13,23,0.6628900204682743
13,24,0.7793740689585463
13,25,0.8501322949428385
13,26,0.7630943966676211
13,27,0.8591915863744528
13,28,0.7605475079518217
13,29,0.8206213702095086
13,30,0.8366912238411415
13,31,0.6281460705603285
13,32,0.7384082449980309
13,33,0.6776347538508294
13,34,0.7419732747574592
13,35,0.7478042367663454
13,36,0.8352491138734961
13,37,0.7551023983001786
13,38,0.8453355632103572
13,39,0.7908705048840964
13,40,0.6215125814247177
13,41,0.7931685054831676
13,42,0.6663588105103755
13,43,0.8403025310768308
13,44,0.7865013631387074
13,45,0.6893118696323728
13,46,0.8555548423752707
13,47,0.8804991152602355
13,48,0.6565677366748208
13,49,0.8257274141746958
13,50,0.669216779033149
13,51,0.6705087506521753
13,52,0.8255481781017201
13,53,0.7351965564486156
13,54,0.8230180719884178
13,55,0.8618042034845989
13,56,0.6579271825639955
13,57,0.818242141347578
13,58,0.7202228702374065
13,59,0.8467042750403542
13,60,0.728590476428203
13,61,0.8128026558833807
13,62,0.6975490073719068
13,63,0.7043439811149861
13,64,0.6523878184891849
13,65,0.6892004892416754
13,66,0.6641749732359288
13,67,0.8472811586485391
13,68,0.6498943304544621
13,69,0.8413459138335581
13,70,0.8878821160534504
13,71,0.677438858657969
13,72,0.8311540189629152
13,73,0.6466144143244636
13,74,0.8022149002379645
13,75,0.7165504579013641
13,76,0.8012319000786876
13,77,0.8055208870694868
13,78,0.6110972437166836
13,79,0.69956567320653
13,80,0.6253588188308122
13,81,0.6781821509992844
13,82,0.6712458434524526
13,83,0.7833215658586334
13,84,0.7168363395711007
13,85,0.7925955509700704
13,86,0.7132151048228185
13,87,0.7950482307978189
13,88,0.7193665607781623
13,89,0.7821987031212733
13,90,0.6654872447706055
13,91,0.680709186475249
13,92,0.6290034759847726
13,93,0.6482840486135379
13,94,0.6652162831821203
13,95,0.8152735055535716
13,96,0.6442756152206505
13,97,0.7965986054948163
13,98,0.8418484682076116
13,99,0.6472925299119697
13,100,0.7964821193816252
13,101,0.7094762377574022
13,102,0.7941052479767472
13,103,0.7070882724369818
13,104,0.7889049750664249
13,105,0.7841845140032949
13,106,0.6110604753108871
13,107,0.633888900775227
13,108,0.6123310951358727
13,109,0.7505574692559867
13,110,0.7686847291460142
13,111,0.5911540815439771
13,112,0.7447019619589635
13,113,0.6722311898039519
13,114,0.7512755229394439
13,115,0.6573098733999337
13,116,0.7341097489367672
13,117,0.6494036095903201
13,118,0.7245626421903193
13,119,0.7531459570998286
13,120,0.5347844174862296
13,121,0.6405386465792835
13,122,0.5727847326839478
13,123,0.6161449752883031
13,124,0.5982671303923363
13,125,0.5742332717621019
13,126,0.7442048158687368
13,127,0.7703179119983075
13,128,0.5866755014575893
13,129,0.7549940449446216
13,130,0.6645973251264462
13,131,0.7465116569317557
13,132,0.6426226848385004
13,133,0.7437519463878608
13,134,0.7792199867982404
13,135,0.5549305983133551
13,136,0.7135772885361024
13,137,0.6090256181350279
13,138,0.6153924380173694
13,139,0.5595083176631775
13,140,0.6001593363619723
13,141,0.5668012200137406
13,142,0.7448732242801436
13,143,0.649960154353345
13,144,0.7618628625630274
13,145,0.6418340461174068
13,146,0.7893411046211705
13,147,0.6775772063106107
13,148,0.7565169820112159
13,149,0.6158828815336229
13,150,0.6715757242940109
13,151,0.5743389413076397
13,152,0.6188645694411756
13,153,0.5566372123209026
13,154,0.5884397702080294
13,155,0.5350635087043655
13,156,0.5937846338175826
13,157,0.5640057910239129
13,158,0.7100216886048847
13,159,0.5899046953412688
13,160,0.7134424974622668
13,161,0.6066851935056218
13,162,0.6984112126204383
13,163,0.5912242274474564
13,164,0.6750391060522857
13,165,0.5445270941152326
13,166,0.5693952151942269
13,167,0.5059679718658301
13,168,0.5572050821227098
13,169,0.5417827857017701
13,170,0.7043644850481753
13,171,0.5996577853346919
13,172,0.6992702977052235
13,173,0.5867472084935017
13,174,0.7214588221589869
13,175,0.5975238380510209
13,176,0.7115658229743898
13,177,0.5999274041901719
13,178,0.6867411068399537
13,179,0.5470321002446208
13,180,0.5901281584971866
13,181,0.5108711127382187
13,182,0.5713810260762485
13,183,0.5519953875414676
13,184,0.7047005712574081
13,185,0.6586029749126948
13,186,0.5421448606511758
13,187,0.7036343667315661
13,188,0.5991088812340871
13,189,0.7009413187337405
13,190,0.5774651853729283
13,191,0.6937292650936503
13,192,0.5857997881062132
13,193,0.6828977584743647
13,194,0.5481359448410519
13,195,0.5751176585383565
13,196,0.4921989963176125
13,197,0.5802339706787811
13,198,0.5233507111596073
13,199,0.6930997694314552
13,200,0.5737704597090196
13,201,0.68161571785954
13,202,0.5753347018004447
13,203,0.6921833657830362
13,204,0.6753898124573577
13,205,0.5242601240804027
13,206,0.6948156283686211
13,207,0.5577278295564951
13,208,0.6639666849716273
13,209,0.5206430033448155
13,210,0.5258183149451685
13,211,0.5875705157006641
13,212,0.5164942256169603
13,213,0.5963652172466012
13,214,0.6189240011315793
13,215,0.5524627303869478
13,216,0.7110083537184031
13,217,0.5894124523655001
13,218,0.703245386317874
13,219,0.5850910255770222
13,220,0.7043208027557286
13,221,0.5810981074572509
13,222,0.6835432856849661
13,223,0.5318399338168696
13,224,0.6166150799593962
13,225,0.5251154827664178
13,226,0.5992350745233777
13,227,0.600058005329834
13,228,0.48085675536252137
13,229,0.7014627327642156
13,230,0.5795888168211069
13,231,0.7006722912818464
13,232,0.5974687151581715
13,233,0.7123316003052411
13,234,0.7122210573610903
13,235,0.5911451832992196
13,236,0.6970071389346513
13,237,0.5610496038832117
13,238,0.6732786403297112
13,239,0.6851650774632653
13,240,0.5328586844237586
13,241,0.5684703860531328
13,242,0.4871637850221046
13,243,0.5744965673576328
13,244,0.5258970817455166
13,245,0.6857315605256298
13,246,0.5502648672335657
13,247,0.6767639787958293
13,248,0.5449164905507574
13,249,0.682046531579755
13,250,0.5384436175210475
13,251,0.6738192165779405
13,252,0.5441576667276831
13,253,0.6734873446158455
13,254,0.5147427737007638
13,255,0.5679800475928977
13,256,0.4719778093954371
13,257,0.5458724162732947
13,258,0.4960810743347811
13,259,0.6860387233121995
13,260,0.547368245885544
13,261,0.6707547745439014
13,262,0.5364085667215815
13,263,0.6711201803870667
13,264,0.5490531343084886
13,265,0.6686968532108566
13,266,0.5331880030397328
13,267,0.6471802040171067
13,268,0.4888981602325919
13,269,0.5765480172399446
13,270,0.4763749521574892
13,271,0.5427857653969681
13,272,0.46459099506875456
13,273,0.5463498244387865
13,274,0.48557592873902594
13,275,0.6735227064716356
13,276,0.5216402671097893
13,277,0.6480638343900288
13,278,0.515129327320431
13,279,0.6526488110096017
13,280,0.528652463681294
13,281,0.6505749421729652
13,282,0.4901003444660776
13,283,0.5671162079728802
13,284,0.4717589696754344
13,285,0.5525472554577442
13,286,0.49726479512311467
13,287,0.6699490789276621
13,288,0.6702333605134264
13,289,0.5131213286073253
13,290,0.6799344349591466
13,291,0.5377109924062148
13,292,0.6840637752224793
13,293,0.5394727061942877
13,294,0.6889342352686669
13,295,0.5434172271075072
13,296,0.6606562857873327
13,297,0.49078571071981286
13,298,0.5598821826169438
13,299,0.4517961445473801
13,300,0.5455660393057427
13,301,0.4846539146374402
13,302,0.6639741733646182
13,303,0.5507130614214634
13,304,0.6702753589079784
13,305,0.5333033797613699
13,306,0.666188241558917
13,307,0.659248997387383
13,308,0.4996671825337394
13,309,0.6659760704241757
13,310,0.6557086515900354
13,311,0.5045859473371829
13,312,0.6614809545204932
13,313,0.6392009052635083
13,314,0.46356178226778794
13,315,0.5069808463548168
13,316,0.5668519350562184
13,317,0.5506881001114938
13,318,0.43837191242463075
13,319,0.531739137669945
13,320,0.48482851580050923
13,321,0.6705335896027823
13,322,0.5357061138568552
13,323,0.6782450165206892
13,324,0.5309836420215333
13,325,0.6786243227758879
13,326,0.654943171417636
13,327,0.4992458658775867
13,328,0.6651074168372355
13,329,0.5280077784196401
13,330,0.6520093854525485
13,331,0.4984585004354362
13,332,0.5574725841612168
13,333,0.4544658160803136
13,334,0.5401978784735513
13,335,0.47675151134788685
13,336,0.661096966368795
13,337,0.5363294037099638
13,338,0.6769961105740648
13,339,0.5245971308574274
13,340,0.6675062743656424
13,341,0.5201514575484922
13,342,0.671186327858486
13,343,0.5406964443208264
13,344,0.6684688732464681
13,345,0.5121128916845555
13,346,0.558789936204943
13,347,0.4504791382880345
13,348,0.5435205061783864
13,349,0.47200173065082457
13,350,0.6510824888090128
13,351,0.5247247718417406
13,352,0.6560876096595731
13,353,0.523584872019798
13,354,0.6839082755062986
13,355,0.533172471557974
13,356,0.6816850548316776
13,357,0.5518311200971827
13,358,0.6846609976758247
13,359,0.5110626148517416
13,360,0.5838317274890586
13,361,0.47822652666145254
13,362,0.5502928793703092
13,363,0.4810044431131746
13,364,0.6616728918660923
13,365,0.5290510819341133
13,366,0.6809741197440266
13,367,0.5300642977743472
13,368,0.6798961609505269
13,369,0.5444327958331254
13,370,0.6820761153545338
13,371,0.5245096291224792
13,372,0.6570073961117843
13,373,0.4805333783916979
13,374,0.5526415537398512
13,375,0.455698875076964
13,376,0.547769706954221
13,377,0.4934102141680395
13,378,0.6844335724072135
13,379,0.5341920023962857
13,380,0.6904963972509277
13,381,0.6814548560841805
13,382,0.5166466336153321
13,383,0.6847072223239165
13,384,0.5268677993554435
13,385,0.66677316825587
13,386,0.4940938767133165
13,387,0.6344393462859839
13,388,0.47873684677638545
13,389,0.5535274491205299
13,390,0.4661310682727487
13,391,0.44502132805262956
13,392,0.5471491410535892
13,393,0.5434354528258977
13,394,0.470291560901116
13,395,0.6610853177574759
13,396,0.523840269804026
13,397,0.6730068393989316
13,398,0.5275271246235003
13,399,0.6599312731932171
13,400,0.6130858280775908
13,401,0.44345431248231904
13,402,0.6345981909857902
13,403,0.5093771321118932
13,404,0.6423894814888773
13,405,0.4860477371185773
13,406,0.5595264839498777
13,407,0.45904514668929824
13,408,0.5197647350310722
13,409,0.47647708551744794
13,410,0.6447423160767477
13,411,0.48680954776506674
13,412,0.6404314053957108
13,413,0.5104909612323121
13,414,0.6478972743762321
13,415,0.49106321099731315
13,416,0.635220408367031
13,417,0.5028172998518963
13,418,0.6410542825287472
13,419,0.49407168888223246
13,420,0.5534796066097549
13,421,0.4582020091081047
13,422,0.5220722694638125
13,423,0.47678806183748534
13,424,0.6578449237015959
13,425,0.5330206929259649
13,426,0.6635132211738473
13,427,0.5234974678137775
13,428,0.6482766526698432
13,429,0.5254563759506099
13,430,0.6592614780423677
13,431,0.5311912369161134
13,432,0.6532060491423479
13,433,0.4865680417574981
13,434,0.562242809359778
13,435,0.46270731346804606
13,436,0.5348896710099347
13,437,0.48112508944469407
13,438,0.6586224685071472
13,439,0.5193176766488133
13,440,0.6747333300051587
13,441,0.5321876092057312
13,442,0.6584111294160717
13,443,0.5082907208113139
13,444,0.6588849782836603
13,445,0.5304566810332874
13,446,0.6646614414324464
13,447,0.49794722941345676
13,448,0.5614464247083687
13,449,0.4693943138135889
13,450,0.5438091791057194
13,451,0.4840585980618929
13,452,0.6704804522686806
13,453,0.5060169557698388
13,454,0.6566488609322216
13,455,0.5387414213850883
13,456,0.6648884704897885
13,457,0.6498482907049629
13,458,0.4723179072437721
13,459,0.6745856422545055
13,460,0.5378496663504901
13,461,0.6458468540429003
13,462,0.5054956484116286
13,463,0.5449020684605528
13,464,0.45880314084597446
13,465,0.5258973590934052
13,466,0.5328740452298937
13,467,0.4492139747493949
13,468,0.5355802672524255
13,469,0.5592189249520387
13,470,0.4352180046853303
13,471,0.6475888299062379
13,472,0.6164136065289278
13,473,0.45734528148037207
13,474,0.6586208044198159
13,475,0.525492153828233
13,476,0.6609255653736708
13,477,0.529543651784179
13,478,0.6518710813054579
13,479,0.4976037142429234
13,480,0.5529366981179172
13,481,0.47833566305559716
13,482,0.5425701274136201
13,483,0.5285529651262766
13,484,0.4734471093614422
13,485,0.6758378679713111
13,486,0.6460177201528108
13,487,0.4494937608611414
13,488,0.6673837370257919
13,489,0.5528399730417853
13,490,0.6846658512638744
13,491,0.550980355449054
13,492,0.6792284459088411
13,493,0.5339497588262003
13,494,0.677497795084286
13,495,0.5282998851779742
13,496,0.5790295874727506
13,497,0.4851675980661348
13,498,0.5541281384224822
13,499,0.5022448538099279
13,500,0.6783485597324148
13,501,0.5646375568848676
13,502,0.6895520276904133
13,503,0.5556793220508213
13,504,0.674756508364416
13,505,0.6753436934656045
13,506,0.4960877306841063
13,507,0.6826980679946083
13,508,0.6872946932255004
13,509,0.5096948215115057
13,510,0.6741027597699756
13,511,0.6632608345952663
13,512,0.4662878598777954
13,513,0.5835787862147005
13,514,0.497297707072556
13,515,0.5854779258815503
13,516,0.5162409376577416
13,517,0.6872514269548866
13,518,0.5815678680501364
13,519,0.6851446923934568
13,520,0.5811168614573337
13,521,0.6851213951708185
13,522,0.5825165438015519
13,523,0.6972401111610338
13,524,0.582976941296546
13,525,0.6801529058530705
13,526,0.5505253893502108
13,527,0.5853712459972756
13,528,0.504632403108515
13,529,0.5877112697541034
13,530,0.5372117662068239
13,531,0.7124861227002909
13,532,0.5981963251078475
13,533,0.7090114489208393
13,534,0.5892793253789959
13,535,0.7182811087259192
13,536,0.5894062120380077
13,537,0.6894313813588937
13,538,0.5978520330524725
13,539,0.7151881250728038
13,540,0.565667333280474
13,541,0.5995997869968216
13,542,0.5512057936215125
13,543,0.7029167290699416
13,544,0.583504942339374
13,545,0.7029627886300044
13,546,0.6036051527539721
13,547,0.6957881949644719
13,548,0.5896243176018348
13,549,0.6950512420034659
13,550,0.5960985961955048
13,551,0.6959296423876326
13,552,0.6711787206021144
13,553,0.47954761029495196
13,554,0.6018726529434931
13,555,0.5962050488409631
13,556,0.4379489568945911
13,557,0.5737357096500425
13,558,0.5299462915813822
13,559,0.6855436573311369
13,560,0.5682168828791563
13,561,0.6898640440650325
13,562,0.6058701605104679
13,563,0.7065354256458045
13,564,0.5998733213519045
13,565,0.7221119764365234
13,566,0.7296052230154372
13,567,0.5056890985638927
13,568,0.712537788649815
13,569,0.5052108625569761
13,570,0.6070985805335064
13,571,0.5282759639225866
13,572,0.59583062919142
13,573,0.5774598392100087
13,574,0.7263123111558037
13,575,0.6339562566910177
13,576,0.719201903715907
13,577,0.6421518867976856
13,578,0.7387573071263352
13,579,0.6289013933165498
13,580,0.687536511389802
13,581,0.5282284680966723
13,582,0.6276583795117567
13,583,0.679401094969464
13,584,0.5588367442229251
13,585,0.7390565456875176
13,586,0.5340784284359243
13,587,0.7588726363026198
13,588,0.5391568993985248
13,589,0.7117534488209941
13,590,0.5943310091580273
13,591,0.6325497066847975
13,592,0.6969799375071204
13,593,0.5065360811953593
13,594,0.609512398639252
13,595,0.5361051481315073
13,596,0.6285457540811742
13,597,0.5812314985846013
13,598,0.7145868348504263
13,599,0.7580488338313709
13,600,0.5982820378413459
13,601,0.7065094557980584
13,602,0.49811680783674195
13,603,0.7394217534250483
13,604,0.5734790561808684
13,605,0.7167848168671892
13,606,0.664911054532142
13,607,0.5658495997869968
13,608,0.6246722342274237
13,609,0.5561105776242902
13,610,0.6198653991075738
13,611,0.5901264151676013
13,612,0.7922541489263072
13,613,0.6095935914716805
13,614,0.8078100156878051
13,615,0.5904764282029521
13,616,0.7407222971061522
13,617,0.5972093255454045
13,618,0.7836630999728197
13,619,0.5696892039560902
13,620,0.6908597229849289
13,621,0.5325093327564497
13,622,0.6587194610258861
13,623,0.6266353818248382
13,624,0.7165012286511462
13,625,0.8073997209087819
13,626,0.6014643968515468
13,627,0.8252589438750889
13,628,0.6069908308788046
13,629,0.8024772713405334
13,630,0.5806130127931337
13,631,0.6911580909239801
13,632,0.626451916196562
13,633,0.6693003038273132
13,634,0.7564375218411463
13,635,0.6712279300417686
13,636,0.8406174133796318
13,637,0.6197776779325379
13,638,0.8074670535180275
13,639,0.6603364784583896
13,640,0.8324139250827883
13,641,0.786887850713115
13,642,0.6419255282517227
13,643,0.7095172852449074
13,644,0.8209941257717204
13,645,0.8116165314133461
13,646,0.8251007235081919
13,647,0.7329639059457841
13,648,0.6597340788444579
13,649,0.7927612909210582
13,650,0.8751338203562256
13,651,0.8028672224718355
