δ,Ψ,objective,ζ_total,max_u,max_dual,tail_scenarios,PV,Wind_Onshore,Wind_Offshore,Gas,Nuclear,BESS_P,BESS_E,Duration,LDES_PHS_P,LDES_PHS_E,Duration_PHS
1,0.5,5.28E+08,2.15986198,171.8238563,1.28E-09,"Tuple{Int64, Float64}[]",226.9845907,237.8265305,0.000302087,25,3.999997135,1.000078929,4.000302935,3.99998722,23.08623254,346.2934688,14.99999916
0.8,0.5,5.26E+08,5.28E+08,2.82E+07,1.25E-09,"Tuple{Int64, Float64}[]",225.0286347,238.5480015,0.003397838,25,3.999996795,1.001568089,4.006179944,3.999907732,22.84474353,342.6711307,14.99999902
0.6,0.5,5.24E+08,5.28E+08,2.82E+07,5.05E-09,"Tuple{Int64, Float64}[]",222.969114,239.2663921,0.0134672,25,3.999987238,1.005572683,4.022037648,3.999748319,22.61780553,339.2669834,14.9999956
0.4,0.5,5.22E+08,5.28E+08,2.83E+07,7.12E-09,"Tuple{Int64, Float64}[]",220.9582952,239.9416215,0.019127789,25,3.999981653,1.007030494,4.027642462,3.999523834,22.38969823,335.8453092,14.99999267
0.2,0.5,5.21E+08,5.28E+08,2.83E+07,1.24E-08,"[(16, 1.0e-8), (22, 1.0e-8), (27, 1.0e-8)]",219.0697069,240.571378,0.035725494,25,3.9999646,1.02373881,4.091925501,3.997040514,22.16357536,332.453166,14.99997904
