Time,Scenario,Dto,dfix_to,dflex_to
1,11,60.0814046,54.073129701336455,2.960689935773067
1,12,58.534904499999996,52.68128434530688,2.9267637699379976
1,13,62.072912,55.86548174251546,3.0588111226753862
1,19,56.958769200000006,51.26276601815208,2.8068145867507774
1,1,62.1623601,55.9459859002342,3.0632192138012244
1,22,60.2885826,54.259588937772726,2.9708845649923576
1,23,60.228829399999995,54.20581307095423,3.0114507885712056
1,24,62.6608085,56.39458644938506,3.1328764905059465
1,26,53.594838700000004,48.23522700692283,2.6797375428966164
1,27,52.6982734,47.42832008753423,2.5968520327064657
1,29,59.6891871,53.72013395498391,2.9844466024289042
1,30,54.5488663,49.09385426563389,2.688070565417083
1,4,54.592711900000005,49.13330926227897,2.6902052008077137
1,7,58.534904499999996,52.68128430912533,2.884487713667262
1,8,53.925616,48.532929830961734,2.6963171378242974
2,11,58.4418122,52.597497938690964,2.87989930247667
2,12,79.0577439,71.15179102814756,3.8958099491880747
2,13,79.8972885,71.90735132388612,3.9371641604883374
2,19,63.7837018,57.40518946251877,3.189199431296228
2,1,64.51529430000001,58.06361818515554,3.1791672183489132
2,22,77.01781009999999,69.31585466213753,3.7952589511952075
2,23,72.6425559,65.37813690990859,3.6321281450176035
2,24,62.604527899999994,56.343933472414236,3.0850383633078122
2,26,62.213262300000004,55.9917959345172,3.1106587020897094
2,27,69.63218719999999,62.668794297660575,3.4313284376598903
2,29,51.979677599999995,46.78157553329437,2.561444563364524
2,30,63.349305199999996,57.01423315891432,3.121737112689427
2,4,64.7112223,58.23995320238531,3.188822765466582
2,7,79.8305777,71.84733937351038,3.9338894012849654
2,8,69.3843527,62.44575965289319,3.4191510346153144
3,11,83.7043812,75.33375100007596,4.040145915455265
3,12,58.5896077,52.73051097092153,2.9294938780593696
3,13,76.23625990000001,68.61246261964128,3.7567508596152273
3,19,83.3360637,75.0022684886599,4.106632309664206
3,1,57.2618521,51.53552941374052,2.821734459912421
3,22,88.66251120000001,79.79605598908408,4.3307038441518815
3,23,67.7359649,60.96221892834594,3.386810623549366
3,24,66.1697097,59.552588748701105,3.2607291888722045
3,26,66.0638967,59.45735284502008,3.302999966086058
3,27,62.247995,56.023050653723914,3.112393848123653
3,29,73.4857373,66.13699064741141,3.6212124164333717
3,30,68.0665669,61.25975982991935,3.3541959311627463
3,4,82.7166274,74.44477187793822,4.07607797760457
3,7,60.598741700000005,54.538728502944345,2.9861886659767043
3,8,67.4574506,60.71155489862449,3.324200378048356
4,11,64.0274455,57.62455580485023,3.20138474460364
4,12,80.5755487,72.51781121562244,3.970604808179782
4,13,60.0840622,54.075513328583405,2.960814781271456
4,19,69.6836241,62.715104389114536,3.4338684733417852
4,1,83.638571,75.27452177718635,4.121512107635751
4,22,65.7205972,59.14837962832615,3.2859734077118694
4,23,88.05413399999999,79.2485211498331,4.402713329026862
4,24,67.9534761,61.157975683282515,3.348625690200372
4,26,63.823729500000006,57.44121253496346,3.145085602379231
4,27,85.13281190000001,76.6193346640063,4.195148302446489
4,29,64.7281173,58.25515939757924,3.2364005872873767
4,30,77.7170316,69.94515659229289,3.8297527042392336
4,4,63.8889929,57.499944200736984,3.1483080180232843
4,7,81.2494792,73.12434671045754,4.003811862723022
4,8,62.6870078,56.41816518052428,3.0891183569442093
5,11,82.4535647,74.2080182608179,4.0631419631660854
5,12,58.7868724,52.90804950850037,2.8969066160535664
5,13,69.293645,62.36412394245346,3.4146330562157545
5,19,86.3465711,77.7117160995148,4.254986037991997
5,1,58.0332243,52.22975936500347,2.8597546588296368
5,22,89.450827,80.5055385006083,4.407930622281462
5,23,63.3971965,57.057330862082225,3.169852928854646
5,24,70.8199918,63.73783314118813,3.489882315796325
5,26,83.638571,75.2745217785097,4.121511778122739
5,27,66.2542684,59.62868496774276,3.2648621156781434
