delta,psi,objective,z_total,max_u,max_dual,tail_scenarios,PV,Wind,Gas,Nuclear,BESS_P,BESS_E,Duration,LDES_PHS_P,LDES_PHS_E,Duration_PHS
1,0.5,5.15E+08,0.620632472,49.64079403,2.38E-09,"Tuple{Int64, Float64}[]",268.3029374,173.0441777,39.17659638,3.999994379,0.012403955,0.049609874,3.99952076,32.40279359,712.1309156,21.97745431
0.8,0.5,5.13E+08,5.14E+08,2.45E+07,2.98E-09,"Tuple{Int64, Float64}[]",266.5093936,172.7140585,39.4120212,3.999992623,0.094642675,0.378531023,3.99958077,32.10707435,710.5552685,22.13080086
0.6,0.5,5.11E+08,5.14E+08,2.45E+07,4.31E-09,"Tuple{Int64, Float64}[]",264.592879,172.5294695,39.67790375,3.99998935,0.124948095,0.499726996,3.999476727,31.86289398,705.6315751,22.14587211
