Storage,Scenario,dualcvarstorage
BESS,10,2.4536025552940874e-12
BESS,12,5.221638231921964e-13
BESS,14,0.06000000032307163
BESS,17,1.3073036822897582e-11
BESS,18,2.0642459624206992e-12
BESS,21,0.1199999999988181
BESS,22,4.330001784171867e-12
BESS,23,0.11999999999842768
BESS,24,0.11999999994825201
BESS,27,1.5590325743073141e-12
BESS,29,0.11999999999879948
BESS,2,0.11999999999920782
BESS,6,0.11999999999926135
BESS,7,0.11999999999721321
BESS,8,7.342897735555609e-13
H2,10,4.846343888156435e-13
H2,12,1.251019063186431e-13
H2,14,0.0600000003127045
H2,17,5.235666109366242e-13
H2,18,4.344604656502281e-13
H2,21,0.11999999999978789
H2,22,2.0077424326819515e-13
H2,23,0.11999999999970666
H2,24,0.1199999999989414
H2,27,9.57857716081329e-14
H2,29,0.11999999999975547
H2,2,0.11999999999979524
H2,6,0.11999999999980786
H2,7,0.1199999999996415
H2,8,1.8343334389442084e-13
