Storage,Scenario,dualcvarstorage
BESS,10,0.013333333330648763
BESS,12,3.7863139315755346e-13
BESS,14,4.626804827388721e-13
BESS,17,7.271265098240129e-13
BESS,18,0.013333333332540146
BESS,21,0.013333333328648283
BESS,22,0.0066666662323159815
BESS,23,3.5013805221593475e-12
BESS,24,7.24067656630931e-13
BESS,27,3.919801849793652e-13
BESS,29,0.01333333333026869
BESS,2,0.01333333333267196
BESS,6,0.013333333332835906
BESS,7,8.389270435027514e-13
BESS,8,0.01333333333207971
H2,10,0.013333333333013711
H2,12,5.800273738967188e-14
H2,14,7.279569816126776e-14
H2,17,2.742194156560334e-13
H2,18,0.013333333333076845
H2,21,0.013333333333083524
H2,22,2.0774705812965638e-13
H2,23,0.01333333333264262
H2,24,2.0021099483016377e-13
H2,27,2.704882928435603e-14
H2,29,0.013333333332920513
H2,2,0.013333333333118813
H2,6,0.01333333333317079
H2,7,0.006666665025548087
H2,8,4.590150224813305e-13
