Storage,Scenario,dualcvarstorage
BESS,10,0.10666666666461364
BESS,12,1.538534661318449e-13
BESS,14,5.370358187082279e-13
BESS,17,0.10666666666537632
BESS,18,0.05333333379285908
BESS,21,0.10666666666626884
BESS,22,7.51633547125224e-12
BESS,23,0.1066666666658317
BESS,24,1.8286530615021965e-12
BESS,27,3.4863323523808163e-13
BESS,29,0.10666666666611758
BESS,2,0.10666666666644242
BESS,6,0.10666666666647011
BESS,7,3.0406045740273204e-12
BESS,8,7.480233964596607e-13
H2,10,3.303072343752546e-13
H2,12,2.871288577999448e-14
H2,14,1.2073759461303915e-13
H2,17,0.10666666666298061
H2,18,2.2385473098700241e-13
H2,21,0.10666666666660587
H2,22,7.467691410055417e-14
H2,23,0.10666666666657387
H2,24,0.05333333339819445
H2,27,1.7830381765597623e-14
H2,29,0.10666666666658452
H2,2,0.10666666666660835
H2,6,0.10666666666661334
H2,7,0.10666666666650529
H2,8,9.110937938297202e-14
