Storage,Scenario,dualcvarstorage
BESS,10,0.05333333333332333
BESS,12,1.8659441160423643e-15
BESS,14,2.6944896808508135e-15
BESS,17,4.853757600881282e-15
BESS,18,0.053333333333329055
BESS,21,0.05333333333332603
BESS,22,0.026666666699677
BESS,23,3.1281759449844093e-14
BESS,24,5.389199228813702e-15
BESS,27,2.8268278812857255e-15
BESS,29,0.05333333333332613
BESS,2,0.05333333333333056
BESS,6,0.05333333333333119
BESS,7,6.097684509790336e-15
BESS,8,0.05333333333332653
H2,10,0.053333333333330145
H2,12,2.800914393130212e-16
H2,14,4.188103034393043e-16
H2,17,1.8321691938484983e-15
H2,18,0.053333333333325725
H2,21,0.053333333333332254
H2,22,6.793485232242044e-16
H2,23,0.05333333333332895
H2,24,1.1261500817326757e-15
H2,27,1.4612724830254564e-16
H2,29,0.0533333333333317
H2,2,0.053333333333332365
H2,6,0.05333333333333255
H2,7,0.02666666666662227
H2,8,1.2977955945585328e-15
