Storage,Scenario,dualcvarstorage
H2,13,1.560009403256986e-12
H2,15,0.0333333332837057
H2,16,0.03333333332800699
H2,19,0.033333333327416156
H2,1,0.033333333320897864
H2,22,1.0543448086469887e-12
H2,24,2.638793288165283e-12
H2,26,7.659331229701682e-12
H2,28,0.03333333331569024
H2,29,3.679582587169607e-12
H2,2,0.033333333322991106
H2,30,2.754739121619965e-11
H2,6,4.557269172603606e-12
H2,7,0.03333333332803702
H2,9,0.01666666538731386
BESS,13,3.918101038967768e-12
BESS,15,0.01666666685788297
BESS,16,0.033333333325320375
BESS,19,0.03333333332657731
BESS,1,0.03333333332329382
BESS,22,5.207164878420075e-12
BESS,24,4.61791283838139e-12
BESS,26,9.489560956625605e-12
BESS,28,0.03333333332151246
BESS,29,9.907640222306084e-12
BESS,2,0.033333333324429774
BESS,30,1.9343663863324072e-11
BESS,6,4.866884203745134e-12
BESS,7,0.033333333326242116
BESS,9,0.03333333331638372
