Storage,Scenario,dualcvarstorage
H2,13,1.7404346446127204e-12
H2,15,0.03333333363654007
H2,16,0.0666666666600534
H2,19,0.06666666665992733
H2,1,0.06666666662459317
H2,22,1.1503947114771655e-12
H2,24,2.743658813642571e-12
H2,26,9.341485920494083e-12
H2,28,0.0666666666506002
H2,29,3.88094100770017e-12
H2,2,0.06666666665084932
H2,30,3.575042571376845e-11
H2,6,5.243899706414099e-12
H2,7,0.06666666666079914
H2,9,0.06666666663663567
BESS,13,4.705646524380063e-12
BESS,15,0.033333333468101405
BESS,16,0.06666666665705186
BESS,19,0.0666666666594828
BESS,1,0.06666666665594663
BESS,22,5.86809049780036e-12
BESS,24,4.610782023376269e-12
BESS,26,1.1127527010434889e-11
BESS,28,0.06666666665393042
BESS,29,1.2388901386641073e-11
BESS,2,0.06666666665365494
BESS,30,2.090128248585984e-11
BESS,6,5.2636013957831895e-12
BESS,7,0.06666666665938285
BESS,9,0.06666666665296297
