Time,Scenario,dfix,dflex
1,1,55.946066391953664,6.2037833652041785
1,2,45.243414900000104,5.018430436657384
2,1,58.063704914290376,6.4386101348524285
2,2,53.289630809999885,5.910925855112686
3,1,51.535613894039436,5.714707418253743
3,2,58.860200070000054,6.530531476659455
4,1,75.2746355953161,8.347121749777985
4,2,74.67010109999991,8.284646629770153
5,1,52.22984813389969,5.791691031526098
5,2,54.98032851,6.098457411564601
6,1,77.56537201316674,8.603774069360469
6,2,76.78594233,8.519399216037948
7,1,55.88008467229855,6.196465780202109
7,2,55.94149718999981,6.205071396615708
8,1,77.45086657518779,8.588446238812486
8,2,69.12365913000001,7.669265341322313
9,1,53.61510010705114,5.945301281644993
9,2,77.47252164000001,8.593324204396884
10,1,77.2617167469019,8.570086397553798
10,2,55.39832568000005,6.144822126489973
11,1,55.920934728747255,6.200994620597067
11,2,61.84678985999996,6.861896668296797
12,1,76.21252351548695,8.454400583825711
12,2,52.17035148000001,5.786765981366653
13,1,79.13166104327335,8.77570691491778
13,2,63.25649559000001,7.016455800979919
14,1,56.29833600640937,6.243465671232494
14,2,74.27346020999984,8.240640990900221
15,1,64.07789657249313,7.10828303814702
15,2,53.45671391999986,5.9294561191290835
16,1,62.73683284223192,6.959520862461565
16,2,73.75942557000008,8.183605932892062
17,1,52.28869997117537,5.7987919405643416
17,2,64.13758578,7.1160587792934065
18,1,79.52140958780637,8.82148169660606
18,2,73.34965863,8.138144513101842
19,1,55.14601485492523,6.11567133022063
19,2,75.77505189000006,8.405032684515456
20,1,78.6312408768362,8.722740144582211
20,2,55.47140216999996,6.152931429343948
21,1,55.681762953751964,6.175086264543165
21,2,67.4548790400001,7.484116076850007
22,1,80.99571187603863,8.986028070571818
22,2,60.124997789999924,6.669112154359237
23,1,58.58639969705192,6.497213632533301
23,2,68.82758163000008,7.636418035646281
24,1,81.5733492601857,9.049115615561075
24,2,55.530777510000135,6.159513696602116
25,1,69.93336331979125,7.755604343005785
25,2,78.97102083000021,8.761837105746366
26,1,57.30025813823656,6.354587063722513
26,2,60.34101372000015,6.693070893816208
27,1,69.79434118805817,7.7424322337114395
27,2,79.7911822800001,8.852832579903593
28,1,56.06129425912489,6.217176442186357
28,2,56.164323149999944,6.22978731687511
29,1,83.93421936320905,9.3110063008861
29,2,76.34443202999988,8.468180401651104
30,1,61.59112776364208,6.830441049723216
30,2,52.91753408999978,5.869649514291681
31,1,83.47001587810475,9.259521754400344
31,2,74.16278820000014,8.228361489055882
32,1,60.555567717675316,6.715596240350061
32,2,70.05839696999985,7.7729762510377105
33,1,83.47163137638294,9.259693233993627
33,2,57.08715695999999,6.332149059912005
34,1,63.590733931814995,7.052208368770249
34,2,58.999135499999994,6.545947410932077
35,1,84.15699459570166,9.335725085557877
35,2,59.749684649999985,6.6274827667422676
36,1,57.8832944366486,6.419238037063251
36,2,75.95345628,8.427036835979909
37,1,78.03086951690453,8.656097970512347
37,2,57.15439037999999,6.339606596802643
38,1,56.5011437701912,6.265955944356407
38,2,78.06856418999999,8.661708935645285
39,1,61.56995123627211,6.830072183902362
39,2,60.30616689000002,6.6892012783178885
40,1,51.118631918612245,5.669029165100204
40,2,76.03788987000001,8.436404690316946
41,1,73.20476335207479,8.118403643290026
41,2,55.950653699999926,6.206086605431989
42,1,51.16835299560289,5.6745432646105485
42,2,74.57737158000006,8.274359538152801
43,1,77.13300941413543,8.55652742192368
43,2,55.09246922999995,6.11089573118988
44,1,53.511128707915304,5.934359788561499
44,2,74.83671774000007,8.303134091935009
45,1,75.6655484686292,8.39374317202741
45,2,59.069617649999984,6.553767716501828
46,1,55.43731178436697,6.147975665943185
46,2,63.435845249999964,7.038199815289591
47,1,75.07579457740796,8.329610132289233
47,2,78.89606747999987,8.753520804256192
48,1,64.83234461810501,7.189903110366202
48,2,61.53707106000014,6.825741626241935
49,1,74.60948104447372,8.274189084340195
49,2,81.14013243000012,9.002500677126969
50,1,59.143216863469895,6.560874371181945
50,2,63.10527336000015,6.999689318737528
