Time,Scenario,dfix_RN,dflex_RN,dfix_RA,dflex_RA,diff_dfix,diff_dflex
14,2,74.27346021,8.240663079,74.27346021,8.240640991,-3.8565E-09,2.2088E-05
15,1,64.07796294,7.108341004,64.07789657,7.108283038,6.63637E-05,5.79658E-05
15,2,53.45671392,5.929476441,53.45671392,5.929456119,-3.8559E-09,2.03223E-05
16,1,62.73689778,6.95956937,62.73683284,6.959520862,6.49339E-05,4.85079E-05
16,2,73.75942557,8.183622985,73.75942557,8.183605933,-3.8567E-09,1.7052E-05
17,1,52.28875377,5.798835684,52.28869997,5.798791941,5.3795E-05,4.37431E-05
17,2,64.13758578,7.116070785,64.13758578,7.116058779,-3.85589E-09,1.20055E-05
18,1,79.52149242,8.821543968,79.52140959,8.821481697,8.28283E-05,6.22718E-05
18,2,73.34965863,8.138166653,73.34965863,8.138144513,-3.8566E-09,2.21402E-05
19,1,55.1460717,6.115713991,55.14601485,6.11567133,5.68412E-05,4.26606E-05
19,2,75.77505189,8.405064299,75.77505189,8.405032685,-3.85781E-09,3.16149E-05
20,1,78.63132276,8.722790833,78.63124088,8.722740145,8.18793E-05,5.06889E-05
20,2,55.47140217,6.152949074,55.47140217,6.152931429,-3.8561E-09,1.76442E-05
21,1,55.68182037,6.175128844,55.68176295,6.175086265,5.74124E-05,4.2579E-05
21,2,67.45487904,7.484136712,67.45487904,7.484116077,-3.8563E-09,2.06351E-05
22,1,80.99579628,8.986224755,80.99571188,8.986028071,8.44001E-05,0.000196684
22,2,60.12499779,6.669133606,60.12499779,6.669112154,-3.8565E-09,2.14513E-05
23,1,58.58646021,6.497255147,58.5863997,6.497213633,6.05091E-05,4.15143E-05
23,2,68.82758163,7.63643904,68.82758163,7.636418036,-3.8563E-09,2.10047E-05
24,1,81.57343428,9.049169465,81.57334926,9.049115616,8.5016E-05,5.38498E-05
24,2,55.53077751,6.159534755,55.53077751,6.159513697,-3.8563E-09,2.10585E-05
25,1,69.93343593,7.755646038,69.93336332,7.755604343,7.26064E-05,4.16947E-05
25,2,78.97102083,8.761860648,78.97102083,8.761837106,-3.85729E-09,2.35424E-05
26,1,57.30031728,6.354621204,57.30025814,6.354587064,5.91379E-05,3.41406E-05
26,2,60.34101372,6.693093462,60.34101372,6.693070894,-3.8567E-09,2.25683E-05
27,1,69.79441365,7.742485023,69.79434119,7.742432234,7.24581E-05,5.27892E-05
27,2,79.79118228,8.852850942,79.79118228,8.85283258,-3.8572E-09,1.8362E-05
28,1,56.06135208,6.217219141,56.06129426,6.217176442,5.7817E-05,4.26984E-05
28,2,56.16432315,6.229808605,56.16432315,6.229787317,-3.8562E-09,2.12883E-05
29,1,83.9343069,9.311072518,83.93421936,9.311006301,8.75329E-05,6.62176E-05
29,2,76.34443203,8.468223357,76.34443203,8.468180402,-3.85769E-09,4.29556E-05
30,1,61.59119148,6.830481625,61.59112776,6.83044105,6.37125E-05,4.05757E-05
30,2,52.91753409,5.869669786,52.91753409,5.869649514,-3.8557E-09,2.02713E-05
31,1,83.47010292,9.259571529,83.47001588,9.259521754,8.7038E-05,4.97749E-05
31,2,74.1627882,8.228383942,74.1627882,8.228361489,-3.8568E-09,2.24531E-05
32,1,60.55563033,6.715637283,60.55556772,6.71559624,6.26085E-05,4.1043E-05
32,2,70.05839697,7.772993051,70.05839697,7.772976251,-3.8562E-09,1.67998E-05
33,1,83.47171842,9.259754378,83.47163138,9.259693234,8.70398E-05,6.1144E-05
33,2,57.08715696,6.332170738,57.08715696,6.33214906,-3.8563E-09,2.16784E-05
34,1,63.59079978,7.052239454,63.59073393,7.052208369,6.58443E-05,3.10857E-05
34,2,58.9991355,6.545962649,58.9991355,6.545947411,-3.8554E-09,1.52379E-05
35,1,84.15708237,9.335782798,84.1569946,9.335725086,8.77704E-05,5.77127E-05
35,2,59.74968465,6.627503002,59.74968465,6.627482767,-3.8564E-09,2.02354E-05
36,1,57.8833542,6.419280272,57.88329444,6.419238037,5.97595E-05,4.2235E-05
36,2,75.95345628,8.427059799,75.95345628,8.427036836,-3.8568E-09,2.29633E-05
37,1,78.03095076,8.656210347,78.03086952,8.656097971,8.12392E-05,0.000112377
37,2,57.15439038,6.339628372,57.15439038,6.339606597,-3.8563E-09,2.17754E-05
38,1,56.50120206,6.26599877,56.50114377,6.265955944,5.8286E-05,4.28255E-05
38,2,78.06856419,8.661732468,78.06856419,8.661708936,-3.8569E-09,2.35325E-05
39,1,61.57001493,6.830124046,61.56995124,6.830072184,6.36899E-05,5.1862E-05
39,2,60.30616689,6.689230935,60.30616689,6.689201278,-3.8566E-09,2.96565E-05
40,1,51.11868447,5.669074277,51.11863192,5.669029165,5.25475E-05,4.51116E-05
40,2,76.03788987,8.436427764,76.03788987,8.43640469,-3.8568E-09,2.30736E-05
41,1,73.20483945,8.11844719,73.20476335,8.118403643,7.60941E-05,4.35462E-05
41,2,55.9506537,6.206108065,55.9506537,6.206086605,-3.85619E-09,2.14598E-05
42,1,51.1684056,5.674588381,51.168353,5.674543265,5.26005E-05,4.51164E-05
42,2,74.57737158,8.274382254,74.57737158,8.274359538,-3.8567E-09,2.27162E-05
43,1,77.1330897,8.556591058,77.13300941,8.556527422,8.0282E-05,6.36356E-05
43,2,55.09246923,6.110916932,55.09246923,6.110895731,-3.8561E-09,2.12011E-05
44,1,53.51118381,5.93440393,53.51112871,5.934359789,5.50982E-05,4.41414E-05
44,2,74.83671774,8.30315689,74.83671774,8.303134092,-3.8567E-09,2.27978E-05
45,1,75.66562719,8.393797852,75.66554847,8.393743172,7.87175E-05,5.46799E-05
45,2,59.06961765,6.553782696,59.06961765,6.553767717,-3.8554E-09,1.49796E-05
46,1,55.43736894,6.148019034,55.43731178,6.147975666,5.71518E-05,4.33684E-05
46,2,63.43584525,7.038211479,63.43584525,7.038199815,-3.8557E-09,1.16633E-05
47,1,75.07587267,8.329655634,75.07579458,8.329610132,7.80887E-05,4.55013E-05
47,2,78.89606748,8.753544523,78.89606748,8.753520804,-3.8569E-09,2.37185E-05
48,1,64.83241179,7.189935481,64.83234462,7.18990311,6.7168E-05,3.23702E-05
48,2,61.53707106,6.825762659,61.53707106,6.825741626,-3.8568E-09,2.10327E-05
49,1,74.60955864,8.274231214,74.60948104,8.274189084,7.75917E-05,4.21299E-05
49,2,81.14013243,9.002525047,81.14013243,9.002500677,-3.85739E-09,2.43698E-05
50,1,59.14327797,6.560916468,59.14321686,6.560874371,6.11027E-05,4.20971E-05
50,2,63.10527336,6.999709813,63.10527336,6.999689319,-3.8569E-09,2.04945E-05
