Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy,Dual_charge_b,Dual_discharge_b,Dual_energy_b,both_binding
H2,5,7,0,0,0,1,0,0,0
H2,5,8,-6.07E-07,-164.1645548,-0.543557248,1,0,1,1
H2,6,11,0,0,0,0,0,0,0
H2,6,12,0,0,0,0,0,0,0
H2,6,13,0,0,0,0,0,0,0
H2,6,19,0,0,0,1,0,0,0
H2,6,1,0,0,0,0,1,0,0
H2,6,22,0,0,0,0,0,0,0
H2,6,23,0,0,0,0,0,0,0
H2,6,24,0,0,0,0,0,1,0
H2,6,26,0,0,0,0,1,0,0
H2,6,27,0,0,0,0,0,1,0
H2,6,29,0,0,0,0,1,0,0
H2,6,30,0,0,0,1,0,0,0
H2,6,4,0,0,0,1,0,0,0
H2,6,7,0,0,0,1,0,0,0
H2,6,8,0,0,0,0,0,1,0
H2,7,11,0,0,0,1,0,0,0
H2,7,12,0,0,0,0,0,0,0
H2,7,13,0,0,0,0,1,0,0
H2,7,19,0,0,0,1,0,0,0
H2,7,1,0,0,0,0,0,0,0
H2,7,22,0,0,0,0,1,0,0
H2,7,23,0,0,0,0,0,0,0
H2,7,24,0,0,0,0,0,1,0
H2,7,26,0,0,0,0,1,0,0
H2,7,27,0,0,0,0,0,0,0
H2,7,29,0,0,0,0,0,0,0
H2,7,30,0,0,0,1,0,0,0
H2,7,4,0,0,0,0,1,0,0
H2,7,7,0,0,0,1,0,0,0
H2,7,8,0,0,0,0,0,1,0
H2,8,11,0,0,0,1,0,0,0
H2,8,12,0,0,0,0,0,0,0
H2,8,13,0,0,0,0,0,0,0
H2,8,19,0,0,0,1,0,0,0
H2,8,1,0,0,0,0,0,0,0
H2,8,22,0,0,0,0,0,0,0
H2,8,23,0,0,0,0,0,0,0
H2,8,24,0,0,0,0,0,1,0
H2,8,26,0,0,0,0,0,0,0
H2,8,27,0,0,0,0,0,0,0
H2,8,29,0,0,0,0,1,0,0
H2,8,30,0,0,0,1,0,0,0
H2,8,4,0,0,0,1,0,0,0
H2,8,7,0,0,0,1,0,0,0
H2,8,8,0,0,0,0,1,0,0
H2,9,11,0,0,0,1,0,0,0
H2,9,12,0,0,0,0,0,0,0
H2,9,13,0,0,0,0,1,0,0
H2,9,19,0,0,0,0,1,0,0
H2,9,1,0,0,0,0,0,0,0
H2,9,22,0,0,0,1,0,0,0
H2,9,23,0,0,0,0,0,0,0
H2,9,24,0,0,0,0,0,1,0
H2,9,26,0,0,0,0,0,0,0
H2,9,27,0,0,0,0,0,0,0
H2,9,29,0,0,0,0,1,0,0
H2,9,30,0,0,0,1,0,0,0
H2,9,4,0,0,0,1,0,0,0
H2,9,7,0,0,0,1,0,0,0
H2,9,8,0,0,0,0,0,0,0
H2,10,11,0,0,0,1,0,0,0
H2,10,12,0,0,0,0,0,0,0
H2,10,13,0,0,0,0,0,0,0
H2,10,19,0,0,0,1,0,0,0
H2,10,1,0,0,0,0,0,0,0
H2,10,22,0,0,0,1,0,0,0
H2,10,23,0,0,0,0,0,1,0
H2,10,24,0,0,0,0,0,1,0
H2,10,26,0,0,0,1,0,0,0
H2,10,27,0,0,0,0,0,0,0
H2,10,29,0,0,0,0,1,0,0
H2,10,30,0,0,0,0,0,0,0
H2,10,4,0,0,0,0,1,0,0
H2,10,7,0,0,0,1,0,0,0
H2,10,8,0,0,0,0,0,0,0
H2,11,11,0,0,0,1,0,0,0
H2,11,12,0,0,0,0,0,0,0
H2,11,13,0,0,0,0,1,0,0
H2,11,19,0,0,0,1,0,0,0
H2,11,1,0,0,0,0,0,0,0
H2,11,22,0,0,0,1,0,0,0
H2,11,23,0,0,0,0,0,0,0
H2,11,24,0,0,0,0,0,1,0
H2,11,26,0,0,0,1,0,0,0
H2,11,27,0,0,0,0,0,0,0
H2,11,29,0,0,0,0,1,0,0
H2,11,30,0,0,0,0,0,0,0
H2,11,4,0,0,0,0,1,0,0
H2,11,7,0,0,0,1,0,0,0
H2,11,8,0,0,0,0,0,0,0
H2,12,11,0,0,0,1,0,0,0
H2,12,12,0,0,0,0,1,0,0
H2,12,13,0,0,0,0,0,0,0
H2,12,19,0,0,0,1,0,0,0
H2,12,1,0,0,0,0,0,0,0
H2,12,22,0,0,0,1,0,0,0
H2,12,23,0,0,0,0,0,0,0
H2,12,24,0,0,0,0,0,1,0
H2,12,26,0,0,0,1,0,0,0
H2,12,27,0,0,0,0,0,0,0
H2,12,29,0,0,0,1,0,0,0
H2,12,30,0,0,0,1,0,0,0
H2,12,4,0,0,0,0,1,0,0
H2,12,7,0,0,0,1,0,0,0
H2,12,8,0,0,0,0,0,0,0
H2,13,11,0,0,0,1,0,0,0
H2,13,12,0,0,0,0,0,0,0
H2,13,13,0,0,0,0,0,0,0
H2,13,19,0,0,0,1,0,0,0
H2,13,1,0,0,0,0,0,0,0
H2,13,22,0,0,0,0,0,0,0
H2,13,23,0,0,0,0,0,0,0
H2,13,24,0,0,0,0,0,1,0
H2,13,26,0,0,0,1,0,0,0
H2,13,27,0,0,0,1,0,0,0
H2,13,29,0,0,0,1,0,0,0
H2,13,30,0,0,0,1,0,0,0
H2,13,4,0,0,0,1,0,0,0
H2,13,7,0,0,0,1,0,0,0
H2,13,8,0,0,0,0,0,0,0
H2,14,11,0,0,0,1,0,0,0
H2,14,12,0,0,0,1,0,0,0
H2,14,13,0,0,0,1,0,0,0
H2,14,19,0,0,0,1,0,0,0
H2,14,1,0,0,0,1,0,0,0
H2,14,22,0,0,0,0,0,0,0
H2,14,23,0,0,0,0,0,0,0
H2,14,24,0,0,0,0,0,0,0
H2,14,26,0,0,0,1,0,0,0
H2,14,27,0,0,0,1,0,0,0
H2,14,29,0,0,0,1,0,0,0
H2,14,30,0,0,0,1,0,0,0
H2,14,4,0,0,0,1,0,0,0
H2,14,7,0,0,0,0,1,0,0
H2,14,8,0,0,0,0,0,0,0
H2,15,11,0,0,0,1,0,0,0
H2,15,12,0,0,0,1,0,0,0
H2,15,13,0,0,0,0,0,0,0
H2,15,19,-6.13E-07,-1.09E-05,-0.213481472,1,0,1,1
H2,15,1,0,0,0,0,0,0,0
H2,15,22,0,0,0,1,0,0,0
H2,15,23,0,0,0,0,0,0,0
H2,15,24,0,0,0,0,0,0,0
H2,15,26,0,0,0,1,0,0,0
H2,15,27,0,0,0,1,0,0,0
H2,15,29,0,0,0,1,0,0,0
H2,15,30,0,0,0,1,0,0,0
H2,15,4,0,0,0,1,0,0,0
H2,15,7,0,0,0,0,1,0,0
H2,15,8,0,0,0,0,0,0,0
H2,16,11,-6.13E-07,-7.10E-06,-5.71998639,1,0,1,1
H2,16,12,0,0,0,1,0,0,0
H2,16,13,0,0,0,0,0,0,0
H2,16,19,0,0,0,0,1,0,0
H2,16,1,0,0,0,1,0,0,0
H2,16,22,0,0,0,0,0,0,0
H2,16,23,0,0,0,0,0,0,0
H2,16,24,0,0,0,0,0,0,0
H2,16,26,0,0,0,1,0,0,0
H2,16,27,0,0,0,0,0,0,0
H2,16,29,-6.07E-07,-259.580919,-1.58047081,1,0,1,1
H2,16,30,0,0,0,1,0,0,0
H2,16,4,0,0,0,1,0,0,0
H2,16,7,0,0,0,1,0,0,0
H2,16,8,0,0,0,0,0,0,0
H2,17,11,0,0,0,0,1,0,0
H2,17,12,0,0,0,1,0,0,0
H2,17,13,0,0,0,0,0,0,0
H2,17,19,0,0,0,0,1,0,0
H2,17,1,0,0,0,1,0,0,0
H2,17,22,0,0,0,0,1,0,0
H2,17,23,0,0,0,1,0,0,0
H2,17,24,0,0,0,0,0,0,0
H2,17,26,0,0,0,1,0,0,0
H2,17,27,0,0,0,0,0,0,0
H2,17,29,0,0,0,0,1,0,0
H2,17,30,0,0,0,0,0,0,0
H2,17,4,0,0,0,1,0,0,0
H2,17,7,-6.08E-07,-5.35E-05,-5.720001686,1,0,1,1
H2,17,8,0,0,0,1,0,0,0
H2,18,11,0,0,0,0,1,0,0
H2,18,12,-6.07E-07,-16.0160976,-2.111523922,1,0,1,1
H2,18,13,0,0,0,0,0,0,0
H2,18,19,0,0,0,0,1,0,0
H2,18,1,0,0,0,1,0,0,0
H2,18,22,0,0,0,1,0,0,0
H2,18,23,0,0,0,1,0,0,0
H2,18,24,0,0,0,0,0,0,0
H2,18,26,0,0,0,1,0,0,0
H2,18,27,0,0,0,0,0,0,0
H2,18,29,0,0,0,0,1,0,0
H2,18,30,0,0,0,1,0,0,0
H2,18,4,0,0,0,1,0,0,0
H2,18,7,0,0,0,0,0,0,0
H2,18,8,0,0,0,1,0,0,0
H2,19,11,0,0,0,1,0,0,0
H2,19,12,0,0,0,0,0,1,0
H2,19,13,0,0,0,0,0,0,0
H2,19,19,0,0,0,1,0,0,0
H2,19,1,0,0,0,1,0,0,0
H2,19,22,0,0,0,1,0,0,0
H2,19,23,0,0,0,0,1,0,0
H2,19,24,0,0,0,0,0,0,0
H2,19,26,0,0,0,1,0,0,0
H2,19,27,0,0,0,1,0,0,0
H2,19,29,0,0,0,0,0,0,0
H2,19,30,0,0,0,1,0,0,0
H2,19,4,0,0,0,1,0,0,0
H2,19,7,0,0,0,0,0,0,0
H2,19,8,-6.07E-07,-37.85067328,-0.737464432,1,0,1,1
H2,20,11,0,0,0,1,0,0,0
H2,20,12,0,0,0,0,0,1,0
H2,20,13,0,0,0,0,0,0,0
H2,20,19,0,0,0,1,0,0,0
H2,20,1,0,0,0,0,0,0,0
H2,20,22,0,0,0,1,0,0,0
H2,20,23,0,0,0,0,0,0,0
H2,20,24,0,0,0,0,0,0,0
H2,20,26,0,0,0,1,0,0,0
H2,20,27,0,0,0,1,0,0,0
H2,20,29,0,0,0,0,0,0,0
H2,20,30,0,0,0,1,0,0,0
H2,20,4,0,0,0,1,0,0,0
H2,20,7,0,0,0,0,1,0,0
H2,20,8,0,0,0,0,0,1,0
H2,21,11,0,0,0,1,0,0,0
H2,21,12,0,0,0,0,0,1,0
H2,21,13,0,0,0,0,0,0,0
H2,21,19,0,0,0,1,0,0,0
H2,21,1,0,0,0,0,1,0,0
H2,21,22,0,0,0,1,0,0,0
H2,21,23,0,0,0,0,1,0,0
H2,21,24,0,0,0,0,0,0,0
H2,21,26,0,0,0,1,0,0,0
H2,21,27,0,0,0,0,0,0,0
H2,21,29,0,0,0,0,0,0,0
H2,21,30,0,0,0,1,0,0,0
H2,21,4,0,0,0,1,0,0,0
H2,21,7,0,0,0,0,1,0,0
H2,21,8,0,0,0,0,0,1,0
H2,22,11,0,0,0,1,0,0,0
H2,22,12,0,0,0,0,0,1,0
H2,22,13,0,0,0,0,0,0,0
H2,22,19,0,0,0,1,0,0,0
H2,22,1,0,0,0,0,1,0,0
H2,22,22,0,0,0,1,0,0,0
H2,22,23,0,0,0,0,0,0,0
H2,22,24,0,0,0,0,1,0,0
H2,22,26,0,0,0,1,0,0,0
H2,22,27,0,0,0,0,1,0,0
H2,22,29,0,0,0,0,0,0,0
H2,22,30,0,0,0,1,0,0,0
H2,22,4,0,0,0,1,0,0,0
H2,22,7,0,0,0,0,1,0,0
H2,22,8,0,0,0,0,0,1,0
H2,23,11,0,0,0,0,0,0,0
H2,23,12,0,0,0,0,0,1,0
H2,23,13,0,0,0,0,0,0,0
H2,23,19,0,0,0,1,0,0,0
H2,23,1,0,0,0,0,0,0,0
H2,23,22,-6.07E-07,-96.09833285,-1.855936755,1,0,1,1
H2,23,23,0,0,0,0,1,0,0
H2,23,24,0,0,0,1,0,0,0
H2,23,26,0,0,0,1,0,0,0
H2,23,27,0,0,0,1,0,0,0
H2,23,29,0,0,0,1,0,0,0
H2,23,30,0,0,0,1,0,0,0
H2,23,4,0,0,0,1,0,0,0
H2,23,7,0,0,0,0,0,0,0
H2,23,8,0,0,0,0,0,1,0
H2,24,11,0,0,0,0,0,0,0
H2,24,12,0,0,0,0,0,1,0
H2,24,13,0,0,0,1,0,0,0
H2,24,19,0,0,0,0,1,0,0
H2,24,1,0,0,0,0,0,0,0
H2,24,22,0,0,0,0,1,0,0
H2,24,23,0,0,0,0,0,0,0
H2,24,24,0,0,0,1,0,0,0
H2,24,26,0,0,0,1,0,0,0
H2,24,27,0,0,0,0,1,0,0
H2,24,29,0,0,0,1,0,0,0
H2,24,30,0,0,0,0,0,0,0
H2,24,4,0,0,0,1,0,0,0
H2,24,7,0,0,0,0,1,0,0
H2,24,8,0,0,0,0,0,1,0
H2,25,11,0,0,0,0,0,0,0
H2,25,12,0,0,0,0,0,0,0
H2,25,13,0,0,0,1,0,0,0
H2,25,19,0,0,0,0,1,0,0
H2,25,1,0,0,0,0,0,0,0
H2,25,22,0,0,0,0,0,0,0
H2,25,23,0,0,0,0,0,0,0
H2,25,24,0,0,0,1,0,0,0
H2,25,26,-6.28E-07,-2.12E-06,-5.278112054,1,0,1,1
H2,25,27,0,0,0,1,0,0,0
H2,25,29,0,0,0,1,0,0,0
H2,25,30,0,0,0,0,0,0,0
H2,25,4,0,0,0,1,0,0,0
H2,25,7,0,0,0,0,0,0,0
H2,25,8,0,0,0,0,0,1,0
H2,26,11,0,0,0,0,0,0,0
H2,26,12,0,0,0,0,1,0,0
H2,26,13,0,0,0,1,0,0,0
H2,26,19,0,0,0,1,0,0,0
H2,26,1,0,0,0,0,0,0,0
H2,26,22,0,0,0,0,0,0,0
H2,26,23,0,0,0,0,0,0,0
H2,26,24,0,0,0,0,0,0,0
H2,26,26,0,0,0,0,0,1,0
H2,26,27,0,0,0,1,0,0,0
H2,26,29,0,0,0,1,0,0,0
H2,26,30,-6.07E-07,-24.08819384,-8.949757279,1,0,1,1
H2,26,4,0,0,0,1,0,0,0
H2,26,7,0,0,0,0,0,0,0
H2,26,8,0,0,0,0,0,1,0
H2,27,11,0,0,0,0,0,0,0
H2,27,12,0,0,0,0,1,0,0
H2,27,13,0,0,0,1,0,0,0
H2,27,19,0,0,0,1,0,0,0
H2,27,1,0,0,0,0,0,0,0
H2,27,22,0,0,0,0,0,0,0
H2,27,23,0,0,0,1,0,0,0
H2,27,24,0,0,0,0,0,0,0
H2,27,26,0,0,0,0,0,1,0
H2,27,27,0,0,0,1,0,0,0
H2,27,29,0,0,0,0,0,0,0
H2,27,30,0,0,0,0,1,0,0
H2,27,4,0,0,0,1,0,0,0
H2,27,7,0,0,0,0,0,0,0
H2,27,8,0,0,0,0,0,1,0
H2,28,11,0,0,0,0,0,0,0
H2,28,12,0,0,0,0,1,0,0
H2,28,13,0,0,0,1,0,0,0
H2,28,19,0,0,0,1,0,0,0
H2,28,1,0,0,0,0,0,0,0
H2,28,22,0,0,0,0,1,0,0
H2,28,23,0,0,0,1,0,0,0
H2,28,24,0,0,0,0,0,0,0
H2,28,26,0,0,0,0,0,1,0
H2,28,27,-6.07E-07,-112.1120151,-3.88485314,1,0,1,1
H2,28,29,0,0,0,0,0,0,0
H2,28,30,0,0,0,0,1,0,0
H2,28,4,0,0,0,1,0,0,0
H2,28,7,0,0,0,0,0,0,0
H2,28,8,0,0,0,0,0,1,0
H2,29,11,0,0,0,0,0,0,0
H2,29,12,0,0,0,0,0,0,0
H2,29,13,0,0,0,1,0,0,0
H2,29,19,0,0,0,1,0,0,0
H2,29,1,0,0,0,0,0,0,0
H2,29,22,0,0,0,0,0,0,0
H2,29,23,0,0,0,1,0,0,0
H2,29,24,0,0,0,0,0,0,0
H2,29,26,0,0,0,0,0,1,0
H2,29,27,0,0,0,0,0,1,0
H2,29,29,0,0,0,0,0,0,0
H2,29,30,0,0,0,0,1,0,0
H2,29,4,0,0,0,1,0,0,0
H2,29,7,0,0,0,1,0,0,0
H2,29,8,0,0,0,0,0,1,0
H2,30,11,0,0,0,0,0,0,0
H2,30,12,0,0,0,1,0,0,0
H2,30,13,0,0,0,1,0,0,0
H2,30,19,0,0,0,0,1,0,0
H2,30,1,0,0,0,0,0,0,0
H2,30,22,0,0,0,0,0,0,0
H2,30,23,0,0,0,1,0,0,0
H2,30,24,0,0,0,0,0,0,0
H2,30,26,0,0,0,0,0,1,0
H2,30,27,0,0,0,0,0,1,0
H2,30,29,0,0,0,0,0,0,0
H2,30,30,0,0,0,0,1,0,0
H2,30,4,0,0,0,1,0,0,0
H2,30,7,0,0,0,1,0,0,0
H2,30,8,0,0,0,0,0,1,0
H2,31,11,0,0,0,0,0,0,0
H2,31,12,0,0,0,0,0,0,0
H2,31,13,0,0,0,1,0,0,0
H2,31,19,0,0,0,1,0,0,0
H2,31,1,0,0,0,0,0,0,0
H2,31,22,0,0,0,0,0,0,0
H2,31,23,0,0,0,1,0,0,0
H2,31,24,0,0,0,0,0,0,0
H2,31,26,0,0,0,0,0,1,0
H2,31,27,0,0,0,0,0,1,0
H2,31,29,0,0,0,0,1,0,0
H2,31,30,0,0,0,0,0,0,0
H2,31,4,0,0,0,1,0,0,0
H2,31,7,0,0,0,1,0,0,0
H2,31,8,0,0,0,0,0,1,0
H2,32,11,0,0,0,0,0,0,0
H2,32,12,0,0,0,1,0,0,0
H2,32,13,0,0,0,1,0,0,0
H2,32,19,0,0,0,0,0,0,0
H2,32,1,0,0,0,0,0,0,0
H2,32,22,0,0,0,0,0,0,0
H2,32,23,0,0,0,1,0,0,0
H2,32,24,0,0,0,0,0,0,0
H2,32,26,0,0,0,0,1,0,0
H2,32,27,0,0,0,0,0,1,0
H2,32,29,0,0,0,1,0,0,0
H2,32,30,0,0,0,0,0,0,0
H2,32,4,0,0,0,1,0,0,0
H2,32,7,0,0,0,1,0,0,0
H2,32,8,0,0,0,0,0,1,0
H2,33,11,0,0,0,0,0,0,0
H2,33,12,0,0,0,1,0,0,0
H2,33,13,0,0,0,1,0,0,0
H2,33,19,0,0,0,0,0,0,0
H2,33,1,0,0,0,0,0,0,0
H2,33,22,0,0,0,0,0,0,0
H2,33,23,0,0,0,1,0,0,0
H2,33,24,0,0,0,0,0,0,0
H2,33,26,0,0,0,0,0,0,0
H2,33,27,0,0,0,0,0,1,0
H2,33,29,0,0,0,1,0,0,0
H2,33,30,0,0,0,1,0,0,0
H2,33,4,0,0,0,0,0,0,0
H2,33,7,0,0,0,1,0,0,0
H2,33,8,0,0,0,0,0,1,0
H2,34,11,0,0,0,0,0,0,0
H2,34,12,0,0,0,1,0,0,0
H2,34,13,0,0,0,0,1,0,0
H2,34,19,0,0,0,1,0,0,0
H2,34,1,0,0,0,0,0,0,0
H2,34,22,0,0,0,0,0,0,0
H2,34,23,0,0,0,1,0,0,0
H2,34,24,0,0,0,0,0,0,0
H2,34,26,0,0,0,0,1,0,0
H2,34,27,0,0,0,0,1,0,0
H2,34,29,0,0,0,1,0,0,0
H2,34,30,0,0,0,0,1,0,0
H2,34,4,0,0,0,1,0,0,0
H2,34,7,0,0,0,1,0,0,0
H2,34,8,0,0,0,0,0,1,0
H2,35,11,0,0,0,0,0,0,0
H2,35,12,0,0,0,1,0,0,0
H2,35,13,0,0,0,1,0,0,0
H2,35,19,0,0,0,0,1,0,0
H2,35,1,0,0,0,0,0,0,0
H2,35,22,0,0,0,0,0,0,0
H2,35,23,0,0,0,0,0,0,0
H2,35,24,0,0,0,1,0,0,0
H2,35,26,0,0,0,0,0,0,0
H2,35,27,0,0,0,0,1,0,0
H2,35,29,0,0,0,1,0,0,0
H2,35,30,0,0,0,0,0,0,0
H2,35,4,0,0,0,1,0,0,0
H2,35,7,0,0,0,1,0,0,0
H2,35,8,0,0,0,0,0,1,0
H2,36,11,0,0,0,1,0,0,0
H2,36,12,0,0,0,1,0,0,0
H2,36,13,0,0,0,1,0,0,0
H2,36,19,0,0,0,0,1,0,0
H2,36,1,0,0,0,0,0,0,0
H2,36,22,0,0,0,0,0,0,0
H2,36,23,0,0,0,0,0,0,0
H2,36,24,0,0,0,1,0,0,0
H2,36,26,0,0,0,0,1,0,0
H2,36,27,0,0,0,0,0,0,0
H2,36,29,0,0,0,1,0,0,0
H2,36,30,0,0,0,0,0,0,0
H2,36,4,0,0,0,1,0,0,0
H2,36,7,0,0,0,1,0,0,0
H2,36,8,0,0,0,0,1,0,0
H2,37,11,0,0,0,1,0,0,0
H2,37,12,0,0,0,1,0,0,0
H2,37,13,0,0,0,0,1,0,0
H2,37,19,0,0,0,1,0,0,0
H2,37,1,0,0,0,0,0,0,0
H2,37,22,0,0,0,0,0,0,0
H2,37,23,0,0,0,0,0,0,0
H2,37,24,0,0,0,1,0,0,0
H2,37,26,0,0,0,0,0,0,0
H2,37,27,0,0,0,0,0,0,0
H2,37,29,0,0,0,1,0,0,0
H2,37,30,0,0,0,0,0,0,0
H2,37,4,0,0,0,1,0,0,0
H2,37,7,0,0,0,1,0,0,0
H2,37,8,0,0,0,0,0,0,0
H2,38,11,0,0,0,1,0,0,0
H2,38,12,0,0,0,1,0,0,0
H2,38,13,0,0,0,1,0,0,0
H2,38,19,0,0,0,1,0,0,0
H2,38,1,0,0,0,0,0,0,0
H2,38,22,0,0,0,0,0,0,0
H2,38,23,0,0,0,1,0,0,0
H2,38,24,0,0,0,1,0,0,0
H2,38,26,0,0,0,1,0,0,0
H2,38,27,0,0,0,1,0,0,0
H2,38,29,0,0,0,1,0,0,0
H2,38,30,0,0,0,1,0,0,0
H2,38,4,0,0,0,1,0,0,0
H2,38,7,0,0,0,1,0,0,0
H2,38,8,0,0,0,0,1,0,0
H2,39,11,-6.07E-07,-36.03630097,-1.425717171,1,0,1,1
H2,39,12,0,0,0,1,0,0,0
H2,39,13,0,0,0,1,0,0,0
H2,39,19,0,0,0,1,0,0,0
H2,39,1,0,0,0,0,0,0,0
H2,39,22,0,0,0,0,0,0,0
H2,39,23,-6.07E-07,-36.03653839,-1.955597112,1,0,1,1
H2,39,24,0,0,0,1,0,0,0
H2,39,26,0,0,0,1,0,0,0
H2,39,27,0,0,0,1,0,0,0
H2,39,29,0,0,0,0,1,0,0
H2,39,30,0,0,0,1,0,0,0
H2,39,4,0,0,0,1,0,0,0
H2,39,7,0,0,0,1,0,0,0
H2,39,8,0,0,0,1,0,0,0
H2,40,11,0,0,0,0,0,1,0
H2,40,12,0,0,0,1,0,0,0
H2,40,13,0,0,0,1,0,0,0
H2,40,19,0,0,0,1,0,0,0
H2,40,1,0,0,0,0,0,0,0
H2,40,22,0,0,0,0,0,0,0
H2,40,23,0,0,0,0,0,1,0
H2,40,24,0,0,0,1,0,0,0
H2,40,26,0,0,0,1,0,0,0
H2,40,27,0,0,0,1,0,0,0
H2,40,29,0,0,0,0,1,0,0
H2,40,30,0,0,0,1,0,0,0
H2,40,4,0,0,0,1,0,0,0
H2,40,7,0,0,0,1,0,0,0
H2,40,8,0,0,0,1,0,0,0
H2,41,11,0,0,0,0,0,1,0
H2,41,12,0,0,0,1,0,0,0
H2,41,13,0,0,0,1,0,0,0
H2,41,19,0,0,0,1,0,0,0
H2,41,1,0,0,0,0,0,0,0
H2,41,22,0,0,0,0,0,0,0
H2,41,23,0,0,0,0,0,1,0
H2,41,24,0,0,0,1,0,0,0
H2,41,26,0,0,0,1,0,0,0
H2,41,27,0,0,0,0,1,0,0
H2,41,29,0,0,0,0,1,0,0
H2,41,30,0,0,0,1,0,0,0
H2,41,4,0,0,0,1,0,0,0
H2,41,7,0,0,0,1,0,0,0
H2,41,8,0,0,0,0,0,0,0
H2,42,11,0,0,0,0,1,0,0
H2,42,12,0,0,0,1,0,0,0
H2,42,13,0,0,0,1,0,0,0
H2,42,19,0,0,0,1,0,0,0
H2,42,1,0,0,0,0,0,0,0
H2,42,22,0,0,0,0,0,0,0
H2,42,23,0,0,0,0,0,1,0
H2,42,24,0,0,0,1,0,0,0
H2,42,26,0,0,0,1,0,0,0
H2,42,27,0,0,0,1,0,0,0
H2,42,29,0,0,0,1,0,0,0
H2,42,30,0,0,0,1,0,0,0
H2,42,4,0,0,0,1,0,0,0
H2,42,7,0,0,0,1,0,0,0
H2,42,8,0,0,0,1,0,0,0
H2,43,11,0,0,0,0,1,0,0
H2,43,12,0,0,0,0,0,0,0
H2,43,13,0,0,0,1,0,0,0
H2,43,19,0,0,0,0,1,0,0
H2,43,1,0,0,0,0,0,0,0
H2,43,22,0,0,0,0,0,0,0
H2,43,23,0,0,0,0,0,1,0
H2,43,24,0,0,0,1,0,0,0
H2,43,26,0,0,0,1,0,0,0
H2,43,27,0,0,0,1,0,0,0
H2,43,29,0,0,0,1,0,0,0
H2,43,30,0,0,0,0,0,0,0
H2,43,4,0,0,0,1,0,0,0
H2,43,7,0,0,0,1,0,0,0
H2,43,8,0,0,0,0,0,0,0
H2,44,11,0,0,0,0,1,0,0
H2,44,12,0,0,0,0,0,0,0
H2,44,13,0,0,0,1,0,0,0
