Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy,Dual_charge_b,Dual_discharge_b,Dual_energy_b,both_binding
H2,1,11,0,0,0,0,1,0,0
H2,1,12,0,0,0,0,0,0,0
H2,1,13,0,0,0,0,1,0,0
H2,1,19,0,0,0,0,1,0,0
H2,1,1,0,0,0,0,0,0,0
H2,1,22,0,0,0,0,0,0,0
H2,1,23,0,0,0,0,0,0,0
H2,1,24,0,0,0,0,0,0,0
H2,1,26,0,0,0,1,0,0,0
H2,1,27,0,0,0,0,0,0,0
H2,1,29,0,0,0,0,0,0,0
H2,1,30,0,0,0,1,0,0,0
H2,1,4,0,0,0,0,1,0,0
H2,1,7,0,0,0,0,1,0,0
H2,1,8,0,0,0,1,0,0,0
H2,2,11,0,0,0,0,1,0,0
H2,2,12,0,0,0,0,0,0,0
H2,2,13,0,0,0,1,0,0,0
H2,2,19,0,0,0,1,0,0,0
H2,2,1,0,0,0,0,0,0,0
H2,2,22,0,0,0,0,0,0,0
H2,2,23,0,0,0,0,0,0,0
H2,2,24,0,0,0,0,0,0,0
H2,2,26,0,0,0,0,0,0,0
H2,2,27,0,0,0,0,0,0,0
H2,2,29,0,0,0,0,0,0,0
H2,2,30,0,0,0,0,0,0,0
H2,2,4,0,0,0,0,1,0,0
H2,2,7,0,0,0,0,1,0,0
H2,2,8,0,0,0,0,0,0,0
H2,3,11,0,0,0,0,1,0,0
H2,3,12,0,0,0,0,0,0,0
H2,3,13,0,0,0,1,0,0,0
H2,3,19,0,0,0,1,0,0,0
H2,3,1,0,0,0,0,0,0,0
H2,3,22,0,0,0,0,1,0,0
H2,3,23,0,0,0,0,0,0,0
H2,3,24,0,0,0,0,0,1,0
H2,3,26,-6.36E-07,-1.03E-06,-5.720020781,1,0,1,1
H2,3,27,0,0,0,0,0,0,0
H2,3,29,0,0,0,0,0,0,0
H2,3,30,0,0,0,0,0,0,0
H2,3,4,0,0,0,0,1,0,0
H2,3,7,0,0,0,0,1,0,0
H2,3,8,0,0,0,0,1,0,0
H2,4,11,0,0,0,1,0,0,0
H2,4,12,0,0,0,0,0,0,0
H2,4,13,0,0,0,1,0,0,0
H2,4,19,0,0,0,0,1,0,0
H2,4,1,0,0,0,0,1,0,0
H2,4,22,0,0,0,0,0,0,0
H2,4,23,0,0,0,0,0,0,0
H2,4,24,0,0,0,0,0,1,0
H2,4,26,0,0,0,0,1,0,0
H2,4,27,0,0,0,0,0,0,0
H2,4,29,0,0,0,0,0,1,0
H2,4,30,0,0,0,0,1,0,0
H2,4,4,0,0,0,1,0,0,0
H2,4,7,0,0,0,0,1,0,0
H2,4,8,0,0,0,1,0,0,0
H2,5,11,0,0,0,1,0,0,0
H2,5,12,0,0,0,0,0,1,0
H2,5,13,-6.07E-07,-312.3126237,-19.64227962,1,0,1,1
H2,5,19,0,0,0,1,0,0,0
H2,5,1,0,0,0,0,0,0,0
H2,5,22,0,0,0,0,0,0,0
H2,5,23,0,0,0,0,0,0,0
H2,5,24,0,0,0,0,0,1,0
H2,5,26,0,0,0,0,1,0,0
H2,5,27,0,0,0,0,0,0,0
H2,5,29,0,0,0,0,0,1,0
H2,5,30,0,0,0,0,0,0,0
H2,5,4,0,0,0,1,0,0,0
