Time,Scenario,price_model
1,10,204.65841519067783
1,12,1.0015014777449602
1,14,5.998692580646619
1,17,6.000939978544951
1,18,1.0007482025672454
1,21,6.003803608048615
1,22,1.0027236576040002
1,23,203.8789428319598
1,24,1.0005570646523605
1,27,130.55248862046207
1,29,2.6058260041105674
1,2,1.0013230890750089
1,6,1.0078919018267332
1,7,1.0006761710307597
1,8,2.6215187980908032
2,10,15.546200727278258
2,12,1.0015368353183822
2,14,5.076678592661604
2,17,205.83022861968627
2,18,203.88550265052143
2,21,6.003857979245743
2,22,1.0027886369984582
2,23,203.87933894638456
2,24,6.003030317682268
2,27,205.82529555074817
2,29,1.0016028745731065
2,2,1.0013378102010169
2,6,1.0078691617740336
2,7,1.0006300124846454
2,8,1.003086480372172
3,10,5.993470790404318
3,12,1.0014535565862568
3,14,5.999360841202636
3,17,6.002447555344042
3,18,203.8854418141692
3,21,6.003892868963375
3,22,1.0027749084906254
3,23,203.87902998207343
3,24,205.82369767324766
3,27,205.82536051054146
3,29,1.0016741370987585
3,2,1.0012798797627394
3,6,203.8824154873501
3,7,1.000632905984924
3,8,1.0031608611547291
4,10,0.9992674641536823
4,12,1.0015250708077783
4,14,1.0005263076050177
4,17,6.002696126671378
4,18,203.88549161967515
4,21,0.9937494863669327
4,22,1.002801669474664
4,23,6.002459482099291
4,24,6.003211186209292
4,27,130.5456095677951
4,29,2.6058978730910525
4,2,1.0012479337300109
4,6,203.88241572983466
4,7,1.0006067890762855
4,8,1.0031912807475951
5,10,1.0098781130756223
5,12,1.0015015191541963
5,14,1.0006002257565614
5,17,1.0005234050903198
5,18,6.001581863653462
5,21,6.004067458527517
5,22,1.0027313576150032
5,23,1.0005700404377862
5,24,2.3064241337043514
5,27,205.82541976917722
5,29,1.001454079539707
5,2,1.0012753015258395
5,6,128.36841554661626
5,7,2.6005911548084164
5,8,2.6150612871756715
6,10,1.0102133872663543
6,12,1.0015055717437509
6,14,1.0005802788140583
6,17,2.313869135246591
6,18,1.0004725944870358
6,21,6.003854422081598
6,22,205.8250220756795
6,23,6.001521022044713
6,24,6.004573673389389
6,27,79.23706415089637
6,29,1.0014362588939827
6,2,1.0013944943475046
6,6,6.002035886533108
6,7,3.0659693304994198
6,8,130.5518292326251
7,10,5.99350493148512
7,12,1.0015017964119997
7,14,6.000189738150018
7,17,1.9609727453568722
7,18,203.883511655226
7,21,1.0004390833205452
7,22,205.82503260901976
7,23,203.87925412478512
7,24,6.004290599576329
7,27,174.21259603663455
