Storage,Time,Scenario,Discharge,Charge,energy_level
BESS,1,10,2.6627032091164606,5.156097558224257e-9,3.236559862792949e-8
BESS,1,12,2.8852924455097977e-5,3.4584748622811876,123.85837299504198
BESS,1,14,0.5862407253002069,4.9544971832822765e-6,92.66932630981712
BESS,1,17,1.3321830934097066e-7,2.778211958337042,182.75075918027744
BESS,1,18,3.1429234805849216e-6,7.130746383907246,196.80849775824998
BESS,1,21,0.5257311333555608,2.5160842344265096e-7,86.40386919899767
BESS,1,22,7.780783196941095e-6,0.09593891880481523,101.0519093414694
BESS,1,23,5.807454304475707,1.5240459874313966e-8,35.27974573434138
BESS,1,24,2.271570854616399e-5,9.723765984495678,196.8084890658809
BESS,1,27,6.356219243776672e-8,5.093387634510605,196.80849655151584
BESS,1,29,3.017730523954369,4.0212491516346274e-7,3.786392004300257e-6
BESS,1,2,1.5718631395841414e-6,0.07974082728643136,99.5780065445537
BESS,1,6,1.1832265061846635e-6,3.5749531891908473,170.76127315832352
BESS,1,7,1.604147140044673e-5,0.21312401591620525,101.14904211930101
BESS,1,8,11.210462420278505,4.364717689335756e-5,25.292778399465192
BESS,2,10,1.3893775316925465e-7,1.8612744946457274e-7,4.973786000669181e-7
BESS,2,12,3.5125641260764975e-5,0.2607918380748407,125.05782454996196
BESS,2,14,1.9482938487888233e-6,3.151206406109283,162.2479129316532
BESS,2,17,12.93312985374259,1.8175303888113757e-9,1.1268695974867623e-5
BESS,2,18,7.44205540856472e-8,7.148636515703531e-8,196.80849763725396
BESS,2,21,4.0562697097062795e-7,1.043347967871632,98.88230516305694
BESS,2,22,1.4382880657472794e-5,4.718114394825787,170.50230309625005
BESS,2,23,5.750896384142145,3.048129767952179e-8,4.024874221608905
BESS,2,24,9.40297782512083e-7,1.224529332396668e-6,196.8084974262152
BESS,2,27,1.920978204963809,9.453532593241877e-8,171.75226013913573
BESS,2,29,1.045984564438659e-6,6.457175135168861,148.51500347178228
BESS,2,2,3.376415182920029e-6,0.0921501818737974,100.17142802570545
BESS,2,6,2.3571258219713632e-6,2.5738392101182126,196.80849778169366
BESS,2,7,2.134735377117827e-5,4.656448568975,148.2720463972286
BESS,2,8,1.252583724060312e-5,6.430228145299092,137.69290769352426
BESS,3,10,6.586356979228967e-7,8.19179342535614e-7,9.87954761795553e-7
BESS,3,12,1.0436275994606353e-5,0.10169454961870167,126.92877738738098
BESS,3,14,12.439009296365677,4.009397466260556e-6,9.851501083316182e-6
BESS,3,17,6.893472373998983e-7,1.120375921043727e-6,1.436470506604884e-5
BESS,3,18,11.041392667708234,1.4171509832198749e-8,4.784277537889
BESS,3,21,9.09717236444688,5.196309367592656e-7,1.6344562988304038e-6
BESS,3,22,2.2024724729954046e-5,2.0139713605035534,189.0306002137009
BESS,3,23,0.1948886520391629,8.025132110464395e-9,2.6296807267702674e-8
BESS,3,24,5.029550530961032,6.01837168528153e-8,3.8189428725623236e-7
BESS,3,27,9.993027252032359,8.710753790047067e-8,30.546441315267458
BESS,3,29,1.8680437066137979e-6,3.235275440439918,190.1853227178963
BESS,3,2,2.2035850295394805e-6,0.0761533100198561,100.94207317589408
BESS,3,6,0.12749559933345372,2.1777454260914897e-9,187.10774579874303
BESS,3,7,2.4613301682525684e-5,0.30690295903362097,150.8129621157279
BESS,3,8,2.2814902830963326e-5,2.1184827095420116,157.18270063323652
BESS,4,10,2.4409261735738527e-6,12.552666294095463,127.032954699214
BESS,4,12,1.5573335260571537e-5,0.1469322549177972,128.6858670981996
BESS,4,14,1.9290929586669942e-5,0.44040553229819424,4.861835307252453
BESS,4,17,1.3944562324625422e-6,5.334227814156401e-7,1.0401686817657297e-6
BESS,4,18,0.44015354911078397,2.268951856737263e-8,3.8906657244679514e-8
BESS,4,21,2.0002717471277345e-7,12.93312958812758,166.57870768564788
BESS,4,22,1.5752636615613044e-5,0.1869491520015125,191.4382655774449
BESS,4,23,1.6636162483041502e-6,2.1710084238646637e-6,9.715429032182866e-7
BESS,4,24,4.1821746562207824e-6,1.0068481288896553e-5,6.642214504140771e-5
BESS,4,27,5.63756794281061e-8,12.93312973092171,161.429713518138
BESS,4,29,10.69873338914391,1.6354624382476684e-6,4.120418285052818
BESS,4,2,7.24141088677459e-7,0.05474472344287337,102.70482572190883
BESS,4,6,12.295651873101377,1.0884120332342871e-8,4.390961430149381e-8
BESS,4,7,9.788899617720753e-6,2.0831413571915136,196.8084679199178
BESS,4,8,1.8121453442640056e-5,3.3132127535345397,196.80846910149356
BESS,5,10,1.8632408442997232e-6,1.9586324291671757,152.26011203322219
BESS,5,12,2.1071354809381422e-5,0.1776359632526005,130.15648674111233
BESS,5,14,1.4309833787590947e-5,9.261971620403184,149.7188070295165
BESS,5,17,1.0484841319488661e-6,8.55689219214353,196.80849296805343
BESS,5,18,1.1543917060742972e-6,1.5070390593413166e-6,1.7510370906995615e-6
BESS,5,21,1.2460216619132922e-6,0.2553505974955737,168.6929984435689
BESS,5,22,9.190766470661854e-6,0.2334992079179289,196.80849761046943
BESS,5,23,8.314446399935722e-7,6.876121096666298,196.10694663239627
BESS,5,24,1.1648077567630929e-6,12.933128301665956,118.98483413651795
BESS,5,27,3.3077744522474792,3.1492176261793775e-8,31.995062081909506
BESS,5,29,2.5952014312687034e-6,2.4932227923098575,27.0580397655923
BESS,5,2,2.030877090685324e-6,0.07350113484536798,103.51625176090053
BESS,5,6,6.598224632356919e-8,8.036174144852864e-8,6.60393060239371e-8
BESS,5,7,0.26398288684505833,9.358406451774257e-6,193.65224550166977
BESS,5,8,2.5080670328190766e-5,3.404790313828697e-5,196.8084975388025
BESS,6,10,3.2686881002775322e-6,6.0527735257511095,196.8084967593754
BESS,6,12,1.5426579998475487e-5,2.2413943860102212,161.08747774772735
BESS,6,14,4.7939576723459235e-5,10.236943794484485,196.80848794296728
BESS,6,17,3.898527279560343,3.540920691754481e-7,35.78237858266324
BESS,6,18,1.064373363283421e-6,4.8618712185315225,196.80849777238097
BESS,6,21,12.93312972040475,1.1509512735805244e-7,3.361113679030528e-6
BESS,6,22,0.09055497664695877,1.1707000702200703e-7,195.8242054630901
BESS,6,23,2.056046623050969e-6,0.06354872813491728,196.80849777300645
BESS,6,24,0.24708845231708626,2.82624198976204e-6,114.68768526372028
BESS,6,27,2.834795326653755e-8,12.933129817770224,150.97985609726805
BESS,6,29,3.2354174301758257e-6,6.356073476837343,73.83871242105053
BESS,6,2,2.083988826413356e-6,0.09970762148802313,104.61699671966535
BESS,6,6,2.906583995538867e-7,10.41318672279149,143.70197210156618
BESS,6,7,0.16125098140639404,5.900247374409566e-6,190.67270008163794
BESS,6,8,12.070921254704077,1.0471498792066497e-7,2.658680960736679e-7
BESS,7,10,9.624362110848537e-7,4.585309942945425e-7,196.80848677093064
BESS,7,12,2.1110649705487184e-5,0.18204552866866205,162.59460820787848
BESS,7,14,12.070922649011544,3.1383996404052645e-6,9.801607179506472e-6
BESS,7,17,6.404155714647734e-7,5.055786633164953,133.46016171722857
BESS,7,18,3.251916877353439e-8,3.7168716205750506e-8,196.80849775856083
BESS,7,21,9.64895798063846e-7,5.1867801329323076,128.83959354555807
BESS,7,22,12.868447834901241,8.382436798747009e-8,3.594683930879649e-7
BESS,7,23,6.402807360065316,1.6973954668760645e-8,113.29361935085124
BESS,7,24,2.5512373456489215,5.701005802704825e-6,92.5030546522628
BESS,7,27,7.564241092933412e-8,3.292763364205877,196.419989290009
BESS,7,29,1.6283304784119214e-6,3.4108310573792853,124.04611726688265
BESS,7,2,5.09592484996597e-6,2.7910815499113104,117.45594415401362
BESS,7,6,4.848932895101221e-7,6.4138321766760535,196.80849778092264
BESS,7,7,0.18864426314108587,8.84810199940848e-6,188.4172603912216
BESS,7,8,2.6620028938741797e-5,4.025240047797989,33.32872744830888
BESS,8,10,7.536807349557004e-7,2.3870205904931397e-6,196.80849778565673
BESS,8,12,1.3638230328883957e-5,0.13830278735886842,164.50296431097985
BESS,8,14,3.480914347053646e-5,12.64563421150867,104.70552054866938
BESS,8,17,2.781548680686777,1.2271108382426167e-6,100.20252686650926
BESS,8,18,3.1765582103964984,2.131815439269539e-9,5.230763705983057e-8
BESS,8,21,1.2410267198025422e-6,3.4710691457163456,195.90062111301404
BESS,8,22,2.578693527812315e-7,0.3615813914505907,3.32654635788608
BESS,8,23,2.2626621054083593e-8,10.086337997889357,196.80849775202776
BESS,8,24,5.372222557937537,3.0939535746775458e-6,4.912512165057936
BESS,8,27,0.02986299114267546,1.2536541655586327e-7,196.1278523711922
BESS,8,29,2.3632637419795813e-6,2.7268796527275527,151.64211109607118
BESS,8,2,0.8971888502708916,1.7306413459074784e-6,102.82788895636057
BESS,8,6,0.1301596617953329,2.1785544672877065e-8,195.81815266843108
BESS,8,7,0.0797196413912186,2.724912657096757e-6,185.81778207518423
BESS,8,8,1.6207962266353692e-5,1.2992522957301633,50.06285037440933
BESS,9,10,12.070921203238171,8.39716541768474e-9,2.2654607509332972e-8
BESS,9,12,2.1229411819555124e-5,0.18934456346969927,166.07052961748025
BESS,9,14,1.783136731102453e-5,7.150871212858239,196.80847042338962
BESS,9,17,0.3910441527230338,1.0522648864637996e-6,94.67691555442397
