Storage,Scenario,dualcvarstorage
H2,11,3.9263928559955283e-11
H2,12,7.227383046927797e-12
H2,13,0.09999999998951538
H2,19,2.4212678246981417e-11
H2,1,0.09999999998985676
H2,22,0.09999999998938396
H2,23,2.5493830023033912e-11
H2,24,0.09999999998764293
H2,26,0.05000000379202432
H2,27,5.639796874644261e-11
H2,29,0.0999999999884163
H2,30,0.09999999998461732
H2,4,0.09999999997142765
H2,7,5.87587483364099e-12
H2,8,1.0633228797915268e-11
BESS,11,2.1751368064894817e-11
BESS,12,6.246240769910057e-12
BESS,13,0.09999999999644676
BESS,19,0.05000002726844693
BESS,1,0.09999999999659648
BESS,22,0.0999999999977619
BESS,23,1.3112732273567519e-11
BESS,24,0.09999999999667264
BESS,26,2.753973208510382e-11
BESS,27,1.517427303194263e-11
BESS,29,0.09999999999687352
BESS,30,0.09999999999435531
BESS,4,0.09999999999517238
BESS,7,1.6249635968617277e-12
BESS,8,6.901007477143268e-12
