O,T,G,value
10,312,PV,0.147
10,313,PV,0.0335
10,314,PV,0
10,315,PV,0
10,316,PV,0
10,317,PV,0
10,318,PV,0.007
10,319,PV,0.105
10,320,PV,0.17125
10,321,PV,0.103
10,322,PV,0.0255
10,323,PV,0
10,324,PV,0
10,325,PV,0
10,326,PV,0
10,327,PV,0.0335
10,328,PV,0.166
10,329,PV,0.25725
10,330,PV,0.116
10,331,PV,0.00175
10,332,PV,0
10,333,PV,0
10,334,PV,0
10,335,PV,0.0355
10,336,PV,0.169
10,337,PV,0.2765
10,338,PV,0.192
10,339,PV,0.097
10,340,PV,0.0028
10,341,PV,0
10,342,PV,0
10,343,PV,0
10,344,PV,0.03
10,345,PV,0.132
10,346,PV,0.1932
10,347,PV,0.0415
10,348,PV,0
10,349,PV,0
10,350,PV,0
10,351,PV,0
10,352,PV,0.021
10,353,PV,0.1245
10,354,PV,0.214333333
10,355,PV,0.114
10,356,PV,0.003
10,357,PV,0
10,358,PV,0
10,359,PV,0
10,360,PV,0.0285
10,361,PV,0.154
10,362,PV,0.258
10,363,PV,0.188
10,364,PV,0.0575
10,365,PV,0
10,366,PV,0
10,367,PV,0
10,368,PV,0
10,369,PV,0.00175
10,370,PV,0.045
10,371,PV,0.081
10,372,PV,0.0928
10,373,PV,0.015
10,374,PV,0
10,375,PV,0
10,376,PV,0
10,377,PV,0
10,378,PV,0.00025
10,379,PV,0.0465
10,380,PV,0.131
10,381,PV,0.173
10,382,PV,0.098
10,383,PV,0.023
10,384,PV,0
10,385,PV,0
10,386,PV,0.013
10,387,PV,0.124
10,388,PV,0.236
10,389,PV,0.31175
10,390,PV,0.195
10,391,PV,0.0545
10,392,PV,0
10,393,PV,0
10,394,PV,0
10,395,PV,0
10,396,PV,0
10,397,PV,0
10,398,PV,0.008
10,399,PV,0.068
10,400,PV,0.144
10,401,PV,0.248333333
10,402,PV,0.209
10,403,PV,0.133
10,404,PV,0.0315
10,405,PV,0
10,406,PV,0
10,407,PV,0
10,408,PV,0
10,409,PV,0
10,410,PV,0.008
10,411,PV,0.072166667
10,412,PV,0.019
10,413,PV,0
10,414,PV,0
10,415,PV,0
10,416,PV,0
10,417,PV,0
10,418,PV,0.002
10,419,PV,0.068
10,420,PV,0.184
10,421,PV,0.241333333
10,422,PV,0.11
10,423,PV,0.024
10,424,PV,0
10,425,PV,0
10,426,PV,0
10,427,PV,0
10,428,PV,0.008
10,429,PV,0.074
10,430,PV,0.144
10,431,PV,0.201
10,432,PV,0.132
10,433,PV,0.0385
10,434,PV,0
10,435,PV,0
10,436,PV,0
10,437,PV,0.005428571
10,438,PV,0.1375
10,439,PV,0.195
10,440,PV,0.1085
10,441,PV,0.0085
10,442,PV,0
10,443,PV,0
10,444,PV,0
10,445,PV,0.0138
10,446,PV,0.142
10,447,PV,0.2582
10,448,PV,0.128
10,449,PV,0.0175
10,450,PV,0
10,451,PV,0
10,452,PV,0
10,453,PV,0
10,454,PV,0
10,455,PV,0
10,456,PV,0
10,457,PV,0.035
10,458,PV,0.159
10,459,PV,0.292
10,460,PV,0.391
10,461,PV,0.315
10,462,PV,0.215
10,463,PV,0.103
10,464,PV,0.005
10,465,PV,0
10,466,PV,0
10,467,PV,0.0006
10,468,PV,0.023
10,469,PV,0.127
10,470,PV,0.246
10,471,PV,0.371
10,472,PV,0.259
10,473,PV,0.155
10,474,PV,0.048
10,475,PV,0
10,476,PV,0
10,477,PV,0
10,478,PV,0
10,479,PV,0
10,480,PV,0.008
10,481,PV,0.078
10,482,PV,0.1565
10,483,PV,0.0705
10,484,PV,0.003
10,485,PV,0
10,486,PV,0
10,487,PV,0
10,488,PV,0
10,489,PV,0.006
10,490,PV,0.087
10,491,PV,0.190666667
10,492,PV,0.1375
10,493,PV,0.027
10,494,PV,0
10,495,PV,0
10,496,PV,0
10,497,PV,0
10,498,PV,0
10,499,PV,0.036
10,500,PV,0.15
10,501,PV,0.25
10,502,PV,0.1695
10,503,PV,0.035333333
10,504,PV,0
10,505,PV,0
10,506,PV,0
10,507,PV,0.002833333
10,508,PV,0.079
10,509,PV,0.186
10,510,PV,0.27925
10,511,PV,0.141
10,512,PV,0.0435
10,513,PV,0
10,514,PV,0
10,515,PV,0
10,516,PV,0
10,517,PV,0
10,518,PV,0.0096
10,519,PV,0.117
10,520,PV,0.22025
10,521,PV,0.111
10,522,PV,0.02
10,523,PV,0
10,524,PV,0
10,525,PV,0
10,526,PV,0
10,527,PV,0
10,528,PV,0.029
10,529,PV,0.081666667
10,530,PV,0.02
10,531,PV,0.000333333
10,532,PV,0
10,533,PV,0
10,534,PV,0
10,535,PV,0
10,536,PV,0.042
10,537,PV,0.135
10,538,PV,0.2195
10,539,PV,0.131
10,540,PV,0.05
10,541,PV,0.000333333
10,542,PV,0
10,543,PV,0
10,544,PV,0
10,545,PV,0.0575
10,546,PV,0.186
10,547,PV,0.27475
10,548,PV,0.151
10,549,PV,0.022
10,550,PV,0
10,551,PV,0
10,552,PV,0
10,553,PV,0.034
10,554,PV,0.121
10,555,PV,0.215
10,556,PV,0.291
10,557,PV,0.1695
10,558,PV,0.027
10,559,PV,0
10,560,PV,0
10,561,PV,0
10,562,PV,0
10,563,PV,0.055
10,564,PV,0.18
10,565,PV,0.263333333
10,566,PV,0.142
10,567,PV,0.0195
10,568,PV,0
10,569,PV,0
10,570,PV,0
10,571,PV,0.002
10,572,PV,0.0775
10,573,PV,0.1905
10,574,PV,0.129
10,575,PV,0.022
10,576,PV,0
10,577,PV,0
10,578,PV,0
10,579,PV,0.006
10,580,PV,0.112
10,581,PV,0.193
10,582,PV,0.2762
10,583,PV,0.168
10,584,PV,0.07
10,585,PV,0.00175
10,586,PV,0
10,587,PV,0
10,588,PV,0.043
10,589,PV,0.121
10,590,PV,0.223
10,591,PV,0.3435
10,592,PV,0.264
10,593,PV,0.172
10,594,PV,0.075
10,595,PV,0.00225
10,596,PV,0
10,597,PV,0
10,598,PV,0.046
10,599,PV,0.14
10,600,PV,0.274
10,601,PV,0.45075
10,602,PV,0.348
10,603,PV,0.227
10,604,PV,0.106
10,605,PV,0.00325
10,606,PV,0
10,607,PV,0
10,608,PV,0.000166667
10,609,PV,0.0715
10,610,PV,0.22
10,611,PV,0.3345
10,612,PV,0.227
10,613,PV,0.139
10,614,PV,0.057
10,615,PV,0.0015
10,616,PV,0
10,617,PV,0
10,618,PV,0.000333333
10,619,PV,0.03
10,620,PV,0.123
10,621,PV,0.253
10,622,PV,0.137
10,623,PV,0.062
10,624,PV,0.002
10,625,PV,0
10,626,PV,0
10,627,PV,0.0004
10,628,PV,0.054
10,629,PV,0.152
10,630,PV,0.304
10,631,PV,0.472
10,632,PV,0.381
10,633,PV,0.263
10,634,PV,0.125
10,635,PV,0.007
10,636,PV,0
10,637,PV,0
10,638,PV,0.007
10,639,PV,0.116
10,640,PV,0.236
10,641,PV,0.401
10,642,PV,0.293
10,643,PV,0.188
10,644,PV,0.089
10,645,PV,0.0028
10,646,PV,0
10,647,PV,0.0125
10,648,PV,0.166
10,649,PV,0.26
10,650,PV,0.33025
10,651,PV,0.2155
10,652,PV,0.0545
10,653,PV,0
10,654,PV,0
10,655,PV,0
10,656,PV,0.0006
10,657,PV,0.042
10,658,PV,0.125
10,659,PV,0.242
10,660,PV,0.292666667
10,661,PV,0.182
10,662,PV,0.093
10,663,PV,0.00475
10,664,PV,0
10,665,PV,0
10,666,PV,0.0014
10,667,PV,0.057
10,668,PV,0.141
10,669,PV,0.269
10,670,PV,0.416
10,671,PV,0.482
10,672,PV,0.318
10,673,PV,0.178
10,674,PV,0.0105
10,675,PV,0
10,676,PV,0
10,677,PV,0.0006
10,678,PV,0.053
10,679,PV,0.162
10,680,PV,0.318
10,681,PV,0.47275
10,682,PV,0.355
10,683,PV,0.24
10,684,PV,0.121
10,685,PV,0.0056
10,686,PV,0
10,687,PV,0.0012
10,688,PV,0.086
10,689,PV,0.235
10,690,PV,0.394
10,691,PV,0.466
10,692,PV,0.388
10,693,PV,0.276
10,694,PV,0.164
10,695,PV,0.072
10,696,PV,0.003
10,697,PV,0
10,698,PV,0.0006
10,699,PV,0.04
10,700,PV,0.117
10,701,PV,0.215
10,702,PV,0.313333333
10,703,PV,0.2265
10,704,PV,0.0885
10,705,PV,0.0035
10,706,PV,0
10,707,PV,0
10,708,PV,0.004666667
10,709,PV,0.084
10,710,PV,0.176
10,711,PV,0.273
10,712,PV,0.336
10,713,PV,0.226
10,714,PV,0.0725
10,715,PV,0
10,716,PV,0
10,717,PV,0
10,718,PV,0
10,719,PV,0.006
10,720,PV,0.091
10,721,PV,0.206
10,722,PV,0.301
10,723,PV,0.3435
10,724,PV,0.255
10,725,PV,0.1265
10,726,PV,0.019
10,727,PV,0
10,728,PV,0
10,729,PV,0
10,730,PV,0.002333333
10,731,PV,0.0845
10,732,PV,0.201
10,733,PV,0.3006
10,734,PV,0.185
10,735,PV,0.086
10,736,PV,0.00525
10,737,PV,0
10,738,PV,0
10,739,PV,0.0022
10,740,PV,0.071
10,741,PV,0.158
10,742,PV,0.29
10,743,PV,0.411
10,744,PV,0.314
10,745,PV,0.22
10,746,PV,0.123
10,747,PV,0.01
10,748,PV,0
10,749,PV,0
10,750,PV,0.002
