O,total_demand,total_weight,average_load,max_load,min_load,std_load,range_load,p10_load,p90_load
1,5795.866198766,8760.0,0.661628561502968,0.935078693,0.426762189,0.10818707593310226,0.508316504,0.525044568,0.828995096
4,5815.532695595,8760.0,0.6638735953875571,0.92538669,0.44452689,0.10389169034604098,0.48085979999999995,0.538668964,0.817907739
7,5723.9737343550005,8760.0,0.6534216591729453,0.927324092,0.439405779,0.10765064606743782,0.487918313,0.518628362,0.817844394
8,5764.580473346001,8760.0,0.6580571316605024,0.935021191,0.446176653,0.10684898941170504,0.48884453800000005,0.525120833,0.80971224
11,5723.973734196999,8760.0,0.6534216591549086,0.938159409,0.449913276,0.10640060341762904,0.4882461330000001,0.518592721,0.801981033
12,5723.973734159001,8760.0,0.6534216591505708,0.943095736,0.440099372,0.10641383599751957,0.5029963639999999,0.520066571,0.805755487
13,5815.532695357,8760.0,0.6638735953603881,0.928620027,0.475883728,0.10471976899471254,0.452736299,0.537629677,0.818792055
19,5694.58571671,8760.0,0.6500668626381279,0.932158925,0.436217604,0.10076367161480997,0.495941321,0.526730739,0.793302056
22,5930.466593311,8760.0,0.6769939033460045,0.963594592,0.45196366,0.11218578887162602,0.511630932,0.534605944,0.850657948
23,5764.580473577001,8760.0,0.6580571316868722,0.936345724,0.444397741,0.10618650532001697,0.49194798300000003,0.528745473,0.808737639
24,5764.580473294,8760.0,0.6580571316545661,0.931396796,0.457065921,0.10513482760944001,0.47433087500000004,0.527329282,0.805516462
26,5795.866198768999,8760.0,0.6616285615033104,0.932976729,0.439965381,0.10705814171470468,0.49301134799999996,0.529114486,0.829634935
27,5930.466593372999,8760.0,0.6769939033530821,0.965734665,0.448504848,0.11176523785199491,0.517229817,0.541639246,0.848918867
29,5795.866198759999,8760.0,0.661628561502283,0.93260341,0.43736623,0.10878347856875584,0.49523718,0.526341635,0.830727314
30,5764.580473439,8760.0,0.6580571316711188,0.942985995,0.433496171,0.10645658168423056,0.5094898240000001,0.528745473,0.806672328
