delta,psi,objective,z_total,max_u,max_dual,tail_scenarios,PV,Wind,Gas,Nuclear,BESS_P,BESS_E,Duration,LDES_PHS_P,LDES_PHS_E,Duration_PHS
1,0.5,535808845.9,2.623863312,204.9011454,2.68E-10,"Tuple{Int64, Float64}[]",328.1552602,181.8385029,36.83181873,3.999999408,0.000159585,0.000633122,3.967312329,27.7296383,719.4693996,25.94586312
0.8,0.5,533987466.6,535000000,2.55E+07,1.63E-09,"Tuple{Int64, Float64}[]",326.4523032,181.8007224,37.10741621,3.99999553,0.009661355,0.038633076,3.998722241,27.48958028,715.6388881,26.03309621
0.6,0.5,532170059.2,535000000,2.56E+07,1.38E-09,"Tuple{Int64, Float64}[]",324.3477088,181.7638493,37.37181819,3.999996382,0.007746283,0.030977074,3.998959482,27.25317815,713.8333981,26.1926662
0.4,0.5,530349316.6,535000000,2.56E+07,5.03E-09,"Tuple{Int64, Float64}[]",321.7439727,181.7704187,37.63311844,3.999985583,0.029939278,0.119725332,3.998938589,27.01547081,712.413614,26.37057925
0.2,0.5,528529964,535000000,2.56E+07,9.40E-09,"Tuple{Int64, Float64}[]",318.6779548,181.88001,37.90736767,3.999973414,0.054787343,0.219093309,3.998976748,26.80173104,709.2535702,26.46297619
0,0.5,526672228.4,535000000,2.57E+07,-1.08E-05,"Tuple{Int64, Float64}[]",315.6778571,181.9434481,38.17411456,3.999854928,0.287716674,1.128691753,3.922927844,26.57089844,705.081793,26.53586572
