O,total_demand,total_weight,average_load,max_load,min_load,std_load,range_load,p10_load,p90_load
1,5795.866,8760,0.662,0.935,0.427,0.108,0.508,0.525,0.829
2,5694.586,8760,0.650,0.926,0.444,0.103,0.482,0.526,0.788
3,5626.716,8760,0.642,0.932,0.429,0.117,0.503,0.502,0.836
4,5815.533,8760,0.664,0.925,0.445,0.104,0.481,0.539,0.818
5,5693.382,8760,0.650,0.946,0.438,0.109,0.509,0.524,0.813
6,5495.396,8760,0.627,0.933,0.397,0.104,0.537,0.501,0.785
7,5723.974,8760,0.653,0.927,0.439,0.108,0.488,0.519,0.818
8,5764.580,8760,0.658,0.935,0.446,0.107,0.489,0.525,0.810
9,5542.032,8760,0.633,0.908,0.419,0.101,0.489,0.512,0.773
10,5542.032,8760,0.633,0.909,0.440,0.101,0.469,0.507,0.765
11,5723.974,8760,0.653,0.938,0.450,0.106,0.488,0.519,0.802
12,5723.974,8760,0.653,0.943,0.440,0.106,0.503,0.520,0.806
13,5815.533,8760,0.664,0.929,0.476,0.105,0.453,0.538,0.819
14,5574.951,8760,0.636,0.955,0.433,0.108,0.522,0.503,0.804
15,5626.716,8760,0.642,0.917,0.447,0.116,0.470,0.502,0.820
16,5930.467,8760,0.677,0.964,0.474,0.113,0.489,0.544,0.851
17,5574.951,8760,0.636,0.931,0.422,0.109,0.509,0.498,0.788
18,5675.113,8760,0.648,0.946,0.444,0.104,0.502,0.518,0.798
19,5694.586,8760,0.650,0.932,0.436,0.101,0.496,0.527,0.793
20,5694.586,8760,0.650,0.921,0.407,0.102,0.514,0.524,0.792
21,5495.396,8760,0.627,0.957,0.409,0.104,0.548,0.502,0.787
22,5930.467,8760,0.677,0.964,0.452,0.112,0.512,0.535,0.851
23,5764.580,8760,0.658,0.936,0.444,0.106,0.492,0.529,0.809
24,5764.580,8760,0.658,0.931,0.457,0.105,0.474,0.527,0.806
25,5693.382,8760,0.650,0.958,0.455,0.109,0.503,0.520,0.810
26,5795.866,8760,0.662,0.933,0.440,0.107,0.493,0.529,0.830
27,5930.467,8760,0.677,0.966,0.449,0.112,0.517,0.542,0.849
28,5675.113,8760,0.648,0.921,0.456,0.104,0.465,0.522,0.792
29,5795.866,8760,0.662,0.933,0.437,0.109,0.495,0.526,0.831
30,5764.580,8760,0.658,0.943,0.433,0.106,0.509,0.529,0.807
