Y,T,year,PV,Wind
7,1,2015.0,0.0005,0.6434200000000001
7,2,2015.0,0.009416666666666667,0.7915333333333332
7,3,2015.0,0.005166666666666667,0.8328166666666666
7,4,2015.0,0.16999999999999998,0.7864199999999999
7,5,2015.0,0.0033333333333333335,0.63875
7,6,2015.0,0.0,0.6155166666666667
7,7,2015.0,0.0,0.4198
7,8,2015.0,0.0026,0.24668
7,9,2015.0,0.0812,0.20861999999999997
7,10,2015.0,0.0018333333333333333,0.25089999999999996
7,11,2015.0,0.0,0.21252000000000004
7,12,2015.0,0.027,0.24486666666666668
7,13,2015.0,0.1865,0.254975
7,14,2015.0,0.01225,0.2996125
7,15,2015.0,0.0,0.3118
7,16,2015.0,0.010066666666666668,0.35108666666666666
7,17,2015.0,0.0,0.3943
7,18,2015.0,0.07475,0.40112499999999995
7,19,2015.0,0.0025714285714285713,0.30844285714285713
7,20,2015.0,0.0,0.35053333333333336
7,21,2015.0,0.0,0.53874
7,22,2015.0,0.0003333333333333333,0.7198666666666665
7,23,2015.0,0.009571428571428573,0.8104714285714286
7,24,2015.0,0.0,0.6514125
7,25,2015.0,0.035666666666666666,0.5399266666666667
7,26,2015.0,0.00045454545454545455,0.8992272727272728
7,27,2015.0,0.07625,0.71395
7,28,2015.0,0.028,0.47866666666666663
7,29,2015.0,0.0,0.65645
7,30,2015.0,0.0,0.88425
7,31,2015.0,0.0025833333333333333,0.9379416666666668
7,32,2015.0,0.1326,0.91422
7,33,2015.0,0.0026666666666666666,0.7813333333333333
7,34,2015.0,0.0,0.77118
7,35,2015.0,0.04171428571428572,0.7038285714285715
7,36,2015.0,0.0032500000000000003,0.814
7,37,2015.0,0.0,0.9092888888888889
7,38,2015.0,0.045000000000000005,0.8567777777777779
7,39,2015.0,0.0,0.5713666666666667
7,40,2015.0,0.0,0.5644555555555555
7,41,2015.0,0.037142857142857144,0.5506071428571429
7,42,2015.0,0.0,0.53683
7,43,2015.0,0.06818181818181819,0.6310181818181819
7,44,2015.0,0.0,0.8892
7,45,2015.0,0.0,0.8951777777777777
7,46,2015.0,0.03093333333333333,0.8759
7,47,2015.0,0.0,0.814
7,48,2015.0,0.0014,0.5727800000000001
7,49,2015.0,0.13699999999999998,0.48319999999999996
7,50,2015.0,0.01175,0.4658625
7,51,2015.0,0.0031666666666666666,0.3296083333333333
7,52,2015.0,0.04172727272727273,0.20886363636363636
7,53,2015.0,0.0,0.24721
7,54,2015.0,0.02266666666666667,0.3840666666666666
7,55,2015.0,0.174,0.4013
7,56,2015.0,0.004571428571428572,0.37242857142857144
7,57,2015.0,0.0,0.19004444444444446
7,58,2015.0,0.035333333333333335,0.0735
7,59,2015.0,0.17679999999999998,0.0328
7,60,2015.0,0.004,0.06043333333333334
7,61,2015.0,0.0,0.08960000000000001
7,62,2015.0,0.087,0.14615714285714287
7,63,2015.0,0.01057142857142857,0.23091428571428568
7,64,2015.0,0.0,0.22096
7,65,2015.0,0.026533333333333336,0.11869333333333335
7,66,2015.0,0.0,0.07755555555555556
7,67,2015.0,0.119625,0.0755
7,68,2015.0,0.005999999999999999,0.19168333333333334
7,69,2015.0,0.0,0.30715714285714285
7,70,2015.0,0.005,0.4861
7,71,2015.0,0.11833333333333333,0.5812499999999999
7,72,2015.0,0.0025,0.5427833333333334
7,73,2015.0,0.00375,0.5429166666666667
7,74,2015.0,0.22966666666666666,0.41461666666666663
7,75,2015.0,0.007285714285714286,0.3725714285714285
7,76,2015.0,0.0,0.38130000000000003
7,77,2015.0,0.10128571428571428,0.45162857142857143
7,78,2015.0,0.007875,0.505325
7,79,2015.0,0.0,0.3872111111111111
7,80,2015.0,0.09887499999999999,0.5224875
7,81,2015.0,0.0031428571428571426,0.39405714285714283
7,82,2015.0,0.0,0.2999444444444445
7,83,2015.0,0.103,0.33899999999999997
7,84,2015.0,0.012285714285714287,0.4117857142857143
7,85,2015.0,0.0,0.65482
7,86,2015.0,0.075625,0.8422375
7,87,2015.0,0.004571428571428572,0.7453000000000001
7,88,2015.0,0.0,0.6678000000000001
7,89,2015.0,0.06174999999999999,0.42687499999999995
7,90,2015.0,0.002857142857142857,0.29954285714285717
7,91,2015.0,0.0016363636363636363,0.3904363636363637
7,92,2015.0,0.10875,0.446175
7,93,2015.0,0.0,0.4353666666666667
7,94,2015.0,0.0,0.5069142857142858
7,95,2015.0,0.0016666666666666668,0.6147666666666667
7,96,2015.0,0.13219999999999998,0.74254
7,97,2015.0,0.016375,0.8292750000000001
7,98,2015.0,0.0,0.8027666666666666
7,99,2015.0,0.0175,0.6372500000000001
7,100,2015.0,0.20783333333333334,0.4853
7,101,2015.0,0.010285714285714287,0.34345714285714285
7,102,2015.0,0.0,0.24576666666666666
7,103,2015.0,0.052,0.16792142857142858
7,104,2015.0,0.0,0.12912
7,105,2015.0,0.0175,0.21265
7,106,2015.0,0.198,0.28157142857142853
7,107,2015.0,0.001,0.30655000000000004
7,108,2015.0,0.0,0.24670000000000003
7,109,2015.0,0.068,0.22873333333333332
7,110,2015.0,0.28700000000000003,0.203325
7,111,2015.0,0.031875,0.22849999999999998
7,112,2015.0,0.0,0.20925555555555558
7,113,2015.0,0.12475000000000001,0.127025
7,114,2015.0,0.009285714285714286,0.12705714285714287
7,115,2015.0,0.00030000000000000003,0.09746
7,116,2015.0,0.25042857142857144,0.10501428571428573
7,117,2015.0,0.018571428571428572,0.1333
7,118,2015.0,0.014083333333333335,0.1777
7,119,2015.0,0.2534,0.22618
7,120,2015.0,0.01357142857142857,0.24228571428571427
7,121,2015.0,0.0,0.20803333333333335
7,122,2015.0,0.0335,0.20505
7,123,2015.0,0.25366666666666665,0.22578333333333334
7,124,2015.0,0.015142857142857142,0.3298857142857143
7,125,2015.0,0.0,0.3573555555555556
7,126,2015.0,0.114375,0.276225
7,127,2015.0,0.012142857142857141,0.21985714285714283
7,128,2015.0,0.0,0.17125555555555555
7,129,2015.0,0.06592857142857142,0.1304214285714286
7,130,2015.0,0.004,0.15327500000000002
7,131,2015.0,0.21749999999999994,0.1805
7,132,2015.0,0.013428571428571429,0.1721
7,133,2015.0,0.0,0.1428
7,134,2015.0,0.059,0.10149999999999999
7,135,2015.0,0.2274,0.0917
7,136,2015.0,0.012857142857142857,0.20338571428571428
7,137,2015.0,0.0011818181818181817,0.38866363636363643
7,138,2015.0,0.064125,0.37572500000000003
7,139,2015.0,0.0,0.2514
7,140,2015.0,0.009583333333333334,0.16044166666666668
7,141,2015.0,0.185,0.1261
7,142,2015.0,0.011857142857142856,0.16457142857142856
7,143,2015.0,0.0,0.19553333333333334
7,144,2015.0,0.08224999999999999,0.284775
7,145,2015.0,0.256,0.431775
7,146,2015.0,0.016714285714285713,0.4715
7,147,2015.0,0.0,0.4446
7,148,2015.0,0.0,0.25139999999999996
7,149,2015.0,0.02666666666666667,0.22406666666666666
7,150,2015.0,0.1486,0.28564
7,151,2015.0,0.012142857142857144,0.29455714285714285
7,152,2015.0,0.012363636363636365,0.4030727272727273
7,153,2015.0,0.31185714285714283,0.47628571428571426
7,154,2015.0,0.005,0.48464999999999997
7,155,2015.0,0.0,0.5659000000000001
7,156,2015.0,0.06566666666666666,0.5534666666666667
7,157,2015.0,0.233,0.6028399999999999
7,158,2015.0,0.02,0.688
7,159,2015.0,0.0006000000000000001,0.6876300000000001
7,160,2015.0,0.092,0.5270750000000001
7,161,2015.0,0.0012857142857142856,0.3755857142857143
7,162,2015.0,0.0046,0.25572999999999996
7,163,2015.0,0.1655,0.31055
7,164,2015.0,0.009571428571428573,0.24095714285714287
7,165,2015.0,0.007181818181818181,0.2792181818181818
7,166,2015.0,0.2087142857142857,0.33704285714285714
7,167,2015.0,0.0058000000000000005,0.25032
7,168,2015.0,0.0,0.12788000000000002
7,169,2015.0,0.025,0.25370000000000004
7,170,2015.0,0.081,0.4926000000000001
7,171,2015.0,0.0475,0.8037500000000001
7,172,2015.0,0.0013333333333333333,0.6597999999999999
7,173,2015.0,0.0,0.6226555555555555
7,174,2015.0,0.127,0.762875
7,175,2015.0,0.013,0.754242857142857
7,176,2015.0,0.0019,0.78644
7,177,2015.0,0.2598333333333333,0.8249666666666666
7,178,2015.0,0.09224999999999998,0.73655
7,179,2015.0,0.0,0.49067500000000003
7,180,2015.0,0.0,0.25972222222222224
7,181,2015.0,0.034999999999999996,0.1192
7,182,2015.0,0.22716666666666666,0.13381666666666667
7,183,2015.0,0.042,0.30935
7,184,2015.0,0.0,0.48972
7,185,2015.0,0.0,0.6084
7,186,2015.0,0.057249999999999995,0.5569500000000001
7,187,2015.0,0.14316666666666666,0.6653333333333334
7,188,2015.0,0.0002,0.51198
7,189,2015.0,0.0035000000000000005,0.4641400000000001
7,190,2015.0,0.2902857142857143,0.39944285714285716
7,191,2015.0,0.0318,0.44024
7,192,2015.0,0.0,0.6251250000000002
7,193,2015.0,0.017166666666666667,0.4016
7,194,2015.0,0.08360000000000001,0.44948
7,195,2015.0,0.0175,0.62245
7,196,2015.0,0.0,0.80382
7,197,2015.0,0.0,0.8529444444444444
7,198,2015.0,0.20177777777777778,0.7663666666666666
7,199,2015.0,0.004833333333333334,0.6110000000000001
7,200,2015.0,0.0,0.5605
7,201,2015.0,0.0,0.4140999999999999
7,202,2015.0,0.066,0.46995
7,203,2015.0,0.21328571428571433,0.6636142857142858
7,204,2015.0,0.009166666666666667,0.5634499999999999
7,205,2015.0,0.0,0.47116666666666657
7,206,2015.0,0.10775,0.458275
7,207,2015.0,0.22399999999999998,0.64875
7,208,2015.0,0.022,0.6842
7,209,2015.0,0.0,0.71355
7,210,2015.0,0.015,0.569375
7,211,2015.0,0.2665,0.47935
7,212,2015.0,0.46975,0.4965
7,213,2015.0,0.2955,0.37634999999999996
7,214,2015.0,0.017166666666666667,0.2521833333333333
7,215,2015.0,0.0,0.43663333333333326
7,216,2015.0,0.12066666666666666,0.49946666666666667
