Y,T,Load
4,1,0.58876540225
4,2,0.5103366915
4,3,0.516197895
4,4,0.5224461006666666
4,5,0.610819819
4,6,0.7017589853333334
4,7,0.7202071085
4,8,0.7743842303333334
4,9,0.7201415675
4,10,0.633450058
4,11,0.5565428259999999
4,12,0.52082319
4,13,0.5448204185000001
4,14,0.669637841
4,15,0.7752144115
4,16,0.802466824
4,17,0.799352084
4,18,0.89002752725
4,19,0.7789783155
4,20,0.6308424775
4,21,0.561790757
4,22,0.638421782
4,23,0.727763005
4,24,0.781824651
4,25,0.807703831
4,26,0.8320974246666667
4,27,0.836897494
4,28,0.851896933
4,29,0.923083405
4,30,0.8405396805
4,31,0.749934459
4,32,0.6642728739999999
4,33,0.623047826
4,34,0.6011291715
4,35,0.5617767124999999
4,36,0.5583966895
4,37,0.6075240625
4,38,0.707670125
4,39,0.7688476087500001
4,40,0.7822116526666667
4,41,0.868094828
4,42,0.7950638555
4,43,0.719523613
4,44,0.667952511
4,45,0.625800532
4,46,0.6036103515
4,47,0.5681114135714286
4,48,0.646530093
4,49,0.7367795215
4,50,0.7933036215
4,51,0.8054255146666667
4,52,0.8757630805000001
4,53,0.803771394
4,54,0.692314895
4,55,0.5875201302499999
4,56,0.5583498743333333
4,57,0.619583536
4,58,0.7956381156666668
4,59,0.8516222863333334
4,60,0.92963746675
4,61,0.817534924
4,62,0.702988652
4,63,0.6240902336666666
4,64,0.5964196095000001
4,65,0.5821879329999999
4,66,0.647784727
4,67,0.771562863
4,68,0.843794864
4,69,0.8519268944
4,70,0.9402082316666666
4,71,0.879040111
4,72,0.741245646
4,73,0.608600801375
4,74,0.8175723753333334
4,75,0.8512836595
4,76,0.852645968
4,77,0.9372823115
4,78,0.8247350285
4,79,0.6765476945
4,80,0.6271956105000001
4,81,0.5971911166
4,82,0.8173414229999999
4,83,0.8535185948
4,84,0.8672615255
4,85,0.947835911
4,86,0.8320006744999999
4,87,0.714261638
4,88,0.6293135088
4,89,0.594902813
4,90,0.589846822
4,91,0.652859443
4,92,0.790457286
4,93,0.85538931125
4,94,0.91427755525
4,95,0.796468297
4,96,0.697651773
4,97,0.632448223
4,98,0.5881895811666668
4,99,0.698709786
4,100,0.769573237
4,101,0.747256657
4,102,0.8583636069999999
4,103,0.755973559
4,104,0.636006142
4,105,0.57818527375
4,106,0.5928179969999999
4,107,0.70819445
4,108,0.7926794253333332
4,109,0.8117673495
4,110,0.883974383
4,111,0.821991686
4,112,0.733474402
4,113,0.6443672525
4,114,0.6062319765
4,115,0.58081158025
4,116,0.647279128
4,117,0.8281212940000001
4,118,0.8788729155714287
4,119,0.955694543
4,120,0.9027002735
4,121,0.764662372
4,122,0.63393224975
4,123,0.6184599827499999
4,124,0.8389198905
4,125,0.883038088
4,126,0.8895796659999999
4,127,0.880322834
4,128,0.876165687
4,129,0.8929440845000001
4,130,0.9677727425
4,131,0.917166024
4,132,0.821017939
4,133,0.734785214
4,134,0.6472604024999999
4,135,0.623041584
4,136,0.843905659
4,137,0.869124752
4,138,0.856934197
4,139,0.93040990975
4,140,0.8297442045000001
4,141,0.713400247
4,142,0.6424665745
4,143,0.6275420395
4,144,0.606419235
4,145,0.5933766524999999
4,146,0.658589566
4,147,0.8172165835
4,148,0.8550147935000001
4,149,0.8594949627499999
4,150,0.879686154
4,151,0.9701883825
4,152,0.896848433
4,153,0.7555428635
4,154,0.6206134600000001
4,155,0.782480057
4,156,0.853800732
4,157,0.8575802405000001
4,158,0.849088049
4,159,0.9228430896666667
4,160,0.7992678175000001
4,161,0.695311037
4,162,0.6066551816000001
4,163,0.5747209839999999
4,164,0.661866597
4,165,0.735197184
4,166,0.774470057
4,167,0.761494576
4,168,0.8596775400000001
4,169,0.812647466
4,170,0.7351129169999999
4,171,0.61163907725
4,172,0.563031347
