Storage,Scenario,dualcvarstorage
H2,11,1.8885636254673078e-11
H2,12,1.2800838731530516e-11
H2,13,0.0333333332510658
H2,19,2.8892518968448905e-11
H2,1,0.03333333318780401
H2,22,0.03333333319226201
H2,23,2.6812542519057608e-11
H2,24,0.03333333310850291
H2,26,4.154658361121143e-11
H2,27,0.03333333306178574
H2,29,0.033333332581782
H2,30,0.016666669856719496
H2,4,0.03333333321201692
H2,7,1.1861095972420478e-11
H2,8,1.787754700645853e-11
BESS,11,8.515027440063335e-12
BESS,12,7.77594255965578e-12
BESS,13,0.0333333332932597
BESS,19,6.206528991903771e-11
BESS,1,0.03333333325276725
BESS,22,0.033333333322563406
BESS,23,1.4592399689766597e-11
BESS,24,0.033333333315963096
BESS,26,1.4292411703644793e-11
BESS,27,0.01666667898441566
BESS,29,0.033333333294706856
BESS,30,0.03333333304300745
BESS,4,0.03333333331787574
BESS,7,3.4976035047646027e-12
BESS,8,8.97801459641186e-12
