Y,T,PV,Windon,Winfoff
30,1,0.00032753333333333334,0.4502045555555556,0.7846272222222223
30,2,0.05477995,0.1891949583333333,0.5808818750000001
30,3,0.06400937142857142,0.1096007755102041,0.18971051020408172
30,4,0.038591614999999996,0.1837135166666667,0.3392097499999999
30,5,0.0,0.451096,0.46133812499999993
30,6,0.03055886,0.8819198,0.937462
30,7,0.008389892307692309,0.6733409230769231,1.0
30,8,0.13498467500000003,0.3896051666666667,0.9830475
30,9,0.0,0.2230996666666667,0.8744238888888888
30,10,0.10675247142857143,0.13867521428571428,0.62496
30,11,0.028122012000000005,0.26418044,0.3854695
30,12,0.0,0.7157137499999999,0.8755606250000001
30,13,0.023066535000000003,0.83762945,1.0
30,14,0.0,0.396333375,0.990145625
30,15,0.06494986,0.28080499999999997,0.5250056666666667
30,16,0.021434003389830505,0.584955033898305,0.883282627118644
30,17,0.33457529999999996,0.3929236,0.997067
30,18,0.051881279999999995,0.17390699999999998,0.7847649999999999
30,19,0.00432344,0.15995526666666665,0.35356533333333323
30,20,0.03937418571428572,0.3084684761904762,0.7603709523809522
30,21,0.04295365714285714,0.10082021428571429,0.5114335714285715
30,22,0.003070625,0.060417333333333344,0.13404916666666664
30,23,0.10812109285714286,0.19064714285714282,0.11367035714285713
30,24,0.0,0.141744375,0.071939375
30,25,0.08317007142857144,0.31342971428571426,0.19997214285714288
30,26,0.007737975,0.533458875,0.7241793750000001
30,27,0.0,0.3388116666666667,0.9584866666666666
30,28,0.04547254444444445,0.17758577777777773,0.3527053703703704
30,29,0.32337365999999995,0.08814,0.181226
30,30,0.030301650000000003,0.1127474117647059,0.13564323529411768
30,31,0.009662233333333332,0.5364863333333333,0.6194316666666667
30,32,0.03210711891891892,0.5501237027027027,0.9587989189189188
30,33,0.08345958750000002,0.9240786875000001,1.0
30,34,0.0064483125,0.688042875,1.0
30,35,0.00825384,0.3883471,0.987308
30,36,0.40178514,0.2404414,0.8493069999999999
30,37,0.02876482258064516,0.25885019354838706,0.57602
30,38,0.013151723076923076,0.18259061538461538,0.40159307692307694
30,39,0.131299925,0.09633249999999999,0.13479833333333335
30,40,0.005359636363636364,0.06489281818181819,0.10544227272727272
30,41,0.30681685,0.150064,0.37308499999999994
30,42,0.005895599999999999,0.24765833333333342,0.8422613888888887
30,43,0.06197079545454545,0.30927586363636367,0.6025906818181817
30,44,0.25432963333333336,0.2858146666666667,0.8474711111111112
30,45,0.0005895599999999999,0.23006046666666666,0.5493303333333333
30,46,0.11706977142857146,0.38354621428571434,0.6166785714285715
30,47,0.021687385714285714,0.5630063571428571,0.9896789285714286
30,48,0.33236445,0.43036050000000003,0.9428350000000001
30,49,0.0216172,0.2996571666666667,0.5549775000000001
30,50,0.0,0.1420636,0.20112800000000003
30,51,0.0985670625,0.284717625,0.5157431250000001
30,52,0.00221085,0.605100875,0.9848175
30,53,0.0,0.383084125,0.8577162500000001
30,54,0.06033163999999999,0.3640935333333333,0.4974156666666667
30,55,0.05142858214285715,0.3539926785714286,0.9378196428571428
30,56,0.0004211142857142857,0.7137241428571429,1.0
30,57,0.0821104935483871,0.9638770967741936,1.0
30,58,0.0009211875,0.59090525,0.9236537499999999
30,59,0.041403190909090906,0.2570133636363636,0.3596422727272728
30,60,0.14178918000000001,0.3378587,0.927552
30,61,0.0,0.2854041,0.5655020000000001
30,62,0.32998983333333337,0.08142277777777777,0.24839611111111115
30,63,0.003158357142857143,0.202948,0.14583285714285715
30,64,0.0,0.397435125,0.421929375
30,65,0.06377073999999999,0.5718930000000001,0.7441136666666668
30,66,0.0,0.42229355555555553,0.7159794444444444
30,67,0.11516072000000001,0.6157520666666666,0.7742146666666668
30,68,0.007101518181818181,0.5078630909090909,0.4741027272727273
30,69,0.41588545000000005,0.347475,0.265515
30,70,0.0206346,0.3663146111111111,0.43579972222222224
30,71,0.5002837714285714,0.4734215714285714,0.48410928571428574
30,72,0.00334084,0.5550333999999999,0.8397073333333331
30,73,0.1282293,0.4643099375,0.723171875
30,74,0.07817941914893614,0.6843279999999998,0.885050425531915
30,75,0.0,0.4205106666666667,0.7731055555555555
30,76,0.12403435384615386,0.2912531538461538,0.624816923076923
30,77,0.023161285714285714,0.5408502857142857,0.883599642857143
30,78,0.32867969999999996,0.7097718333333333,0.9873458333333334
30,79,0.020962133333333334,0.4329532222222222,0.825598888888889
30,80,0.41293765,0.36399183333333335,0.5391933333333333
30,81,0.0123114,0.45221935294117654,0.4733882352941176
30,82,0.41269199999999995,0.4310627142857143,0.37045
30,83,0.021453433333333334,0.5167364444444444,0.6670941666666668
30,84,0.22535931000000003,0.4568364,0.557132
30,85,0.02421407142857143,0.1276173571428571,0.18891178571428574
30,86,0.43504614999999996,0.20682766666666666,0.2316475
30,87,0.023842500000000003,0.23990564705882356,0.2721070588235295
30,88,0.5489224714285714,0.10726928571428572,0.16089
30,89,0.01354145625,0.3043725625,0.2740690625
30,90,0.5027636666666667,0.07390199999999998,0.12882222222222223
30,91,0.0348534,0.1789188823529412,0.31994735294117643
30,92,0.5858752500000001,0.11375333333333333,0.13960333333333333
30,93,0.06314650000000001,0.08322117647058823,0.22872529411764708
30,94,0.048085987499999996,0.2354143125,0.464709375
30,95,0.40753335,0.581724,0.7191225
30,96,0.035606321052631576,0.8933185263157892,0.9989049999999998
30,97,0.2522474571428571,0.6790492857142858,0.7991135714285714
30,98,0.018014333333333334,0.4445733888888889,0.9958872222222221
30,99,0.37268614285714285,0.6044692857142857,1.0
30,100,0.0161262,0.3540223529411764,0.940553823529412
30,101,0.39753188571428577,0.2741702857142857,0.9749907142857142
30,102,0.011580642857142857,0.19487657142857145,0.7507535714285715
30,103,0.053239054545454544,0.39160663636363635,0.9900345454545453
30,104,0.16677745384615386,0.7240257692307692,1.0
30,105,0.0,0.339904,0.93775875
30,106,0.09111381818181817,0.21217290909090905,0.4262640909090909
30,107,0.036692352631578946,0.7256086842105263,0.9709297368421053
30,108,0.22766086153846155,0.6649963076923077,0.9867553846153847
30,109,0.012244707692307693,0.22879892307692312,0.363165
30,110,0.34047089999999997,0.713143,0.9850008333333333
30,111,0.0231489,0.7819400588235295,1.0
30,112,0.5973506142857142,0.5149732857142857,0.9708771428571429
30,113,0.07099285,0.5695765,0.7321166666666666
30,114,0.05084955,0.8892598235294118,0.9989760294117647
30,115,0.41645863333333333,0.9472664444444443,1.0
30,116,0.03512794999999999,0.7954886111111111,1.0
