Y,T,Load
2,1,0.5027046099000001
2,2,0.5921070092608697
2,3,0.6540022229545455
2,4,0.8296677898666667
2,5,0.610892539
2,6,0.8531771373999999
2,7,0.6215721905555556
2,8,0.7680406574062499
2,9,0.8608057963333334
2,10,0.6155369523750001
2,11,0.6871865537368421
2,12,0.5796705719230768
2,13,0.7028499514285713
2,14,0.8252606694
2,15,0.5939634878888891
2,16,0.8195491728000001
2,17,0.712639842111111
2,18,0.8149962068000001
2,19,0.8419450208571427
2,20,0.6163489128181817
2,21,0.7494986561666667
2,22,0.6680555310555556
2,23,0.7647509068461539
2,24,0.6170086391111111
2,25,0.8774557865000002
2,26,0.6704557082000001
2,27,0.8865686915333334
2,28,0.6240480347777777
2,29,0.848271466625
2,30,0.5879726009999999
2,31,0.8240309803999999
2,32,0.7784266332500002
2,33,0.6343017438571429
2,34,0.6555459501714286
2,35,0.6638853848124999
2,36,0.8439272924285716
2,37,0.6350487817
2,38,0.8674284907142857
2,39,0.6700685213076925
2,40,0.844865443090909
2,41,0.6216739295000001
2,42,0.82863746225
2,43,0.612138547375
2,44,0.8315190863999999
2,45,0.656329085361111
2,46,0.7048427246190476
2,47,0.8766229718
2,48,0.6837452344545455
2,49,0.9015570270000001
2,50,0.7011697038181818
2,51,0.8975630146153843
2,52,0.6821333426666665
2,53,0.9037678705333333
2,54,0.7242077271818181
2,55,0.8900893393076923
2,56,0.7648131647499999
2,57,0.6428737546363635
2,58,0.7703669071666668
2,59,0.7377390919473685
2,60,0.8079332875333334
2,61,0.9263174609999999
2,62,0.7071132987777778
2,63,0.9132642920666668
2,64,0.6866812121111111
2,65,0.8960745223333332
2,66,0.7226345169411764
2,67,0.7292348405599999
2,68,0.8800555489999999
2,69,0.7485068655882353
2,70,0.8601971266666665
2,71,0.875264324
2,72,0.6554449061818182
2,73,0.8331039798333334
2,74,0.7304907190000001
2,75,0.8182812581428571
2,76,0.7197806828888891
2,77,0.812428327
2,78,0.6826459582222222
2,79,0.6973324395
2,80,0.6447995334117647
2,81,0.6967010864285713
2,82,0.6744646943333332
2,83,0.8545670381428572
2,84,0.7303085521428573
2,85,0.8175684974000001
2,86,0.6114296578888889
2,87,0.8205269088571426
2,88,0.7484034873870967
2,89,0.5894411022222221
2,90,0.7607928582500001
2,91,0.7608612231249999
2,92,0.5735399549090909
2,93,0.676787636
2,94,0.6440764374137931
2,95,0.5663155791111112
