Time,Scenario,dfix,dflex,dfix_RA,dflex_RA,diff_dfix,diff_dflex
26,1,57.30031728,6.353244507,57.30031728,6.352887038,0,0.000357469
26,2,60.34101372,6.69339481,60.34101372,6.692995471,0,0.000399339
26,3,80.12285001,8.8895067,80.12285001,8.889045241,0,0.000461459
27,1,69.79441365,7.74091303,69.79441365,7.740638328,0,0.000274702
27,2,79.79118228,8.852717486,79.79118228,8.852724171,0,-6.68556E-06
27,3,55.84130982,6.194302259,55.84130982,6.193467572,0,0.000834687
28,1,56.06127378,6.215876135,56.06130989,6.215520813,-3.61067E-05,0.000355321
28,2,56.16424502,6.230131423,56.1642811,6.229712612,-3.60835E-05,0.00041881
28,3,78.95529621,8.759997449,78.95529621,8.759503778,0,0.000493671
29,1,83.9343069,9.308795009,83.9343069,9.308848254,0,-5.32444E-05
29,2,76.34443203,8.46814912,76.34443203,8.468088231,0,6.08895E-05
29,3,65.66145246,7.28542948,65.66145246,7.284532629,0,0.000896851
30,1,61.59119148,6.828967903,61.59119148,6.828625082,0,0.00034282
30,2,52.91753409,5.869980976,52.91753409,5.869574756,0,0.00040622
30,3,53.94172833,5.983592585,53.94172833,5.982759806,0,0.000832779
31,1,83.47010292,9.257338194,83.47010292,9.257383909,0,-4.57148E-05
31,2,74.1627882,8.228416162,74.1627882,8.228258276,0,0.000157885
31,3,67.01509179,7.433571119,67.01509179,7.432881653,0,0.000689466
32,1,60.55563033,6.714159822,60.55563033,6.713810422,0,0.000349401
32,2,70.05839697,7.773159555,70.05839697,7.77287743,0,0.000282124
32,3,82.01003409,9.098845351,82.01003409,9.098430474,0,0.000414877
33,1,83.47171842,9.257503997,83.47171842,9.257549752,0,-4.57557E-05
33,2,57.08715696,6.332492623,57.08715696,6.332074761,0,0.000417862
33,3,57.2217354,6.347419358,57.2217354,6.346588617,0,0.000830742
34,1,63.59079978,7.050649945,63.59079978,7.05032499,0,0.000324955
34,2,58.9991355,6.546354192,58.9991355,6.545850553,0,0.000503639
34,3,81.37344582,9.028230134,81.37344582,9.02780033,0,0.000429803
35,1,84.15708237,9.333509845,84.15708237,9.333566603,0,-5.67577E-05
35,2,59.74968465,6.627807834,59.74968465,6.627403499,0,0.000404336
35,3,60.67168164,6.73006523,60.67168164,6.729263133,0,0.000802098
36,1,57.8833542,6.417887378,57.8833542,6.417529895,0,0.000357483
36,2,75.95345628,8.427034799,75.95345628,8.426932156,0,0.000102643
36,3,79.15572099,8.782229444,79.15572099,8.78174145,0,0.000487995
37,1,78.03095076,8.654167291,78.03095076,8.654101272,0,6.60183E-05
37,2,57.15439038,6.339950572,57.15439038,6.339532832,0,0.00041774
37,3,57.47458608,6.37546525,57.47458608,6.374635689,0,0.000829561
38,1,56.50120206,6.264644304,56.50120206,6.264287877,0,0.000356427
38,2,78.06856419,8.661642151,78.06856419,8.661602085,0,4.00658E-05
38,3,78.91551279,8.755584955,78.91551279,8.755090119,0,0.000494836
39,1,61.57001493,6.82890586,61.57001493,6.82848525,0,0.00042061
39,2,60.30616689,6.689522366,60.30616689,6.689123028,0,0.000399338
39,3,55.00384047,6.101408036,55.00384047,6.100573089,0,0.000834947
40,1,51.11868447,5.667833484,51.11868447,5.667516586,0,0.000316898
40,2,76.03788987,8.436400218,76.03788987,8.436300144,0,0.000100074
40,3,77.08327317,8.552350993,77.08327317,8.551801211,0,0.000549782
41,1,73.20483945,8.116401055,73.20483945,8.116238378,0,0.000162677
41,2,55.9506537,6.206432002,55.9506537,6.206013191,0,0.000418811
41,3,54.03385773,5.993812724,54.03385773,5.992979592,0,0.000833132
42,1,51.1684056,5.673346801,51.1684056,5.67302928,0,0.000317521
42,2,74.57737158,8.2744015,74.57737158,8.274256469,0,0.000145031
42,3,71.5224447,7.9355493,71.5224447,7.934820081,0,0.000729219
43,1,77.1330897,8.554630602,77.1330897,8.554542216,0,8.83862E-05
43,2,55.09246923,6.111239842,55.09246923,6.110822336,0,0.000417506
43,3,60.29010171,6.689571438,60.29010171,6.688570832,0,0.001000606
44,1,53.51118381,5.933119409,53.51118381,5.932777955,0,0.000341454
44,2,74.83671774,8.30316779,74.83671774,8.303030795,0,0.000136996
44,3,79.36913619,8.805902128,79.36913619,8.805420127,0,0.000482001
45,1,75.66562719,8.391925924,75.66562719,8.391799917,0,0.000126007
45,2,59.06961765,6.554173732,59.06961765,6.553670725,0,0.000503008
45,3,55.40445801,6.145845905,55.40445801,6.14501086,0,0.000835045
46,1,55.43736894,6.146691246,55.43736894,6.146338152,0,0.000353094
46,2,63.43584525,7.038547458,63.43584525,7.038105429,0,0.000442029
46,3,80.48191122,8.929335725,80.48191122,8.928883659,0,0.000452066
47,1,75.07587267,8.329690541,75.07587267,8.329477474,0,0.000213067
47,2,78.89606748,8.75343,78.89606748,8.753412973,0,1.70271E-05
47,3,57.18925917,6.343817335,57.18925917,6.342986431,0,0.000830904
48,1,64.83241179,7.191524675,64.83241179,7.191117293,0,0.000407382
48,2,61.53707106,6.826049061,61.53707106,6.825662164,0,0.000386897
48,3,80.80978203,8.965704969,80.80978203,8.965261272,0,0.000443697
49,1,74.60955864,8.275768321,74.60955864,8.275599691,0,0.00016863
49,2,81.14013243,9.002350689,81.14013243,9.002390312,0,-3.96229E-05
49,3,54.72379737,6.070344533,54.72379737,6.069509874,0,0.000834659
50,1,59.14327797,6.560539466,59.14327797,6.560058956,0,0.000480511
50,2,63.10527336,6.999975526,63.10527336,6.999609098,0,0.000366428
50,3,79.22432313,8.789839033,79.22432313,8.789352972,0,0.000486062
51,1,73.82116071,8.19051861,73.82116071,8.190265468,0,0.000253142
51,2,80.78067135,8.962477174,80.78067135,8.96250836,0,-3.11853E-05
51,3,64.10623338,7.112911185,64.10623338,7.111978448,0,0.000932737
52,1,69.83794971,7.74870258,69.83794971,7.748325821,0,0.000376758
52,2,61.39200087,6.809961699,61.39200087,6.809573053,0,0.000388645
52,3,50.1952698,5.56799027,50.1952698,5.567187609,0,0.000802661
53,1,55.3616694,6.141094494,55.3616694,6.140602098,0,0.000492396
53,2,81.33910839,9.024422376,81.33910839,9.02446656,0,-4.41838E-05
53,3,67.81483395,7.524295147,67.81483395,7.523454601,0,0.000840546
54,1,77.53460913,8.60241023,77.53460913,8.602273891,0,0.000136339
54,2,65.17869543,7.229925195,65.17869543,7.229592803,0,0.000332391
54,3,59.5819458,6.609203113,59.5819458,6.608389092,0,0.00081402
55,1,54.90431775,6.090363418,54.90431775,6.089871855,0,0.000491563
55,2,80.10804051,8.887865744,80.10804051,8.887880466,0,-1.47221E-05
55,3,77.03938386,8.547482811,77.03938386,8.546931661,0,0.00055115
56,1,75.98253681,8.430248565,75.98253681,8.430064509,0,0.000184056
56,2,68.83318485,7.637257268,68.83318485,7.636940703,0,0.000316565
56,3,72.0584091,7.992858589,72.0584091,7.992298671,0,0.000559918
57,1,53.3255121,5.915232713,53.3255121,5.914747894,0,0.00048482
57,2,57.85863795,6.418060216,57.85863795,6.417644821,0,0.000415395
57,3,60.26451078,6.684918204,60.26454696,6.68411109,-3.61771E-05,0.000807114
58,1,73.10341377,8.110907181,73.10341377,8.110631129,0,0.000276052
58,2,69.33302163,7.692700268,69.33302163,7.692397538,0,0.000302731
58,3,78.35297805,8.693187556,78.35297805,8.69267634,0,0.000511216
59,1,59.96264067,6.651412903,59.96264067,6.6509393,0,0.000473603
59,2,66.39651828,7.364975437,66.39651828,7.36466658,0,0.000308857
59,3,55.8083232,6.190643585,55.8083232,6.18980883,0,0.000834755
60,1,57.38374845,6.367133425,57.38374845,6.366519518,0,0.000613907
60,2,72.71399592,8.067718506,72.71399592,8.067515779,0,0.000202727
60,3,80.25275493,8.903916573,80.25275493,8.903458532,0,0.000458041
61,1,61.77224736,6.852127951,61.77224736,6.851673397,0,0.000454554
61,2,83.36857149,9.249548146,83.36857149,9.249634534,0,-8.63879E-05
61,3,57.89325114,6.421902594,57.89325114,6.421075319,0,0.000827275
62,1,50.19843258,5.568339428,50.19843258,5.567886181,0,0.000453247
62,2,63.64019691,7.059303274,63.64019691,7.05894483,0,0.000358445
62,3,77.29019325,8.575302603,77.29019325,8.574759238,0,0.000543366
63,1,77.67103977,8.617543213,77.67103977,8.617410975,0,0.000132238
63,2,82.19378628,9.119229664,82.19378628,9.119292552,0,-6.28886E-05
63,3,59.9487597,6.651703378,59.9487597,6.650698216,0,0.001005162
64,1,56.09200887,6.222105254,56.09200887,6.221612554,0,0.0004927
64,2,61.80130908,6.855357744,61.80130908,6.85497388,0,0.000383865
64,3,62.71585983,6.956772103,62.71585983,6.955999166,0,0.000772937
65,1,76.65924609,8.505315282,76.65924609,8.505152155,0,0.000163127
65,2,80.64670698,8.947617136,80.64670698,8.947645112,0,-2.79759E-05
65,3,81.91323171,9.088107362,81.91323171,9.087690259,0,0.000417102
66,1,54.05214447,5.995835906,54.05214447,5.995347235,0,0.000488671
66,2,65.03710653,7.216175644,65.03710653,7.215765686,0,0.000409958
66,3,59.62739967,6.614245832,59.62739967,6.613432129,0,0.000813703
67,1,77.84116605,8.636413578,77.84116605,8.636286428,0,0.00012715
67,2,65.63113569,7.282070177,65.63113569,7.281673305,0,0.000396872
67,3,83.6671959,9.282674738,83.6671959,9.282295137,0,0.000379601
68,1,58.63821525,6.504526112,58.63821525,6.504041899,0,0.000484213
68,2,79.20499941,8.787697437,79.20499941,8.787688742,0,8.69506E-06
