Time,Scenario,dfix,dflex
1,1,55.94612408999993,6.200973336853785
1,2,45.24341489999959,5.018437042415236
1,3,56.64474090000006,6.29384100749129
2,1,58.0637648700001,6.4356919290346255
2,2,53.28963080999995,5.910931995216866
2,3,76.56754346999979,8.50748239329259
3,1,51.5356668899996,5.712129573440711
3,2,58.86020007,6.5305497639163645
3,3,52.652741399999854,5.850285749002254
4,1,75.27471390000002,8.343328593041992
4,2,74.67010109999993,8.284666935295212
4,3,69.10589465999988,7.678412783785591
5,1,52.22990187000014,5.789077842852684
5,2,54.98032850999985,6.098468071373645
5,3,64.69297074000009,7.188085912082142
6,1,77.56545275999991,8.600479040047945
6,2,76.78594232999988,8.519420701429274
6,3,50.91933518999994,5.657685153940539
7,1,55.88014229999976,6.193666796757183
7,2,55.94149719000035,6.205082087748289
7,3,66.53963132999999,7.393272592268489
8,1,77.45094719999996,8.584542570403201
8,2,69.1236591299996,7.669286239615222
8,3,54.76854239999997,6.085374621960881
9,1,53.61515531999984,5.942617901707513
9,2,77.47252163999988,8.59332875295093
9,3,80.49010166999997,8.943321974232838
10,1,77.26179716999988,8.56680536481348
10,2,55.39832568000005,6.144832833364224
10,3,55.69080561000009,6.187848253272111
11,1,55.920992399999996,6.198194580409515
11,2,61.84678986000003,6.861913613816139
11,3,79.17030215999986,8.796679629317405
12,1,76.21260282000003,8.452610026534554
12,2,52.170351479999994,5.786774699680867
12,3,61.443305820000404,6.827014555585169
13,1,79.13174346000002,8.773504959120302
13,2,63.25649558999994,7.016462066248809
13,3,79.01579483999978,8.779512147157694
14,1,56.29839408,6.241924387862684
14,2,74.27346021000008,8.240659422269527
14,3,53.48846321999998,5.943143680253872
15,1,64.0779629400003,7.106798679597656
15,2,53.4567139200002,5.929466857736218
15,3,76.41414674999963,8.49043832146112
16,1,62.73689778000037,6.958074605528623
16,2,73.75942557000009,8.183627029623654
16,3,52.44123348000019,5.8267848809937
17,1,52.28875377000005,5.7973656792369015
17,2,64.13758578000017,7.116078658243698
17,3,78.32340144000025,8.70257762693946
18,1,79.52149241999999,8.819613687307337
18,2,73.34965862999987,8.13816314404959
18,3,63.06699383999997,7.007421841110727
19,1,55.14607169999962,6.114163532569545
19,2,75.77505188999989,8.405037905328141
19,3,58.99398264000013,6.554867713538126
20,1,78.63132276000006,8.720900460519232
20,2,55.47140216999993,6.1529375309251515
20,3,80.42303645999998,8.935870288336277
21,1,55.68182036999984,6.173563320516738
21,2,67.4548790400001,7.484134142139832
21,3,55.91933522999978,6.2132404184608525
22,1,80.99579627999985,8.983102313129102
22,2,60.12499778999994,6.6691181417642165
22,3,79.69284702000006,8.854738170011133
23,1,58.58646021000009,6.495608039517267
23,2,68.82758163000013,7.63643624387996
23,3,55.683238140000185,6.187007423743966
24,1,81.5734342800002,9.047202481230958
24,2,55.53077750999986,6.159524552603191
24,3,79.35064028999997,8.816715219390712
25,1,69.93343592999992,7.753665199262301
25,2,78.9710208299997,8.761856317144234
25,3,55.19908448999993,6.13321260475786
26,1,57.300317280000066,6.353009740362203
26,2,60.34101371999996,6.69308187989552
26,3,80.12285000999998,8.902516255278995
27,1,69.79441365000015,7.740810507608999
