T,O,price
47,1,13.0108618
47,2,13.00659609
47,3,15.38124521
48,1,15.37987065
48,2,15.38256982
48,3,13.00962284
49,1,15.39099026
49,2,13.00659439
49,3,15.38124432
50,1,15.39548616
50,2,15.38169836
50,3,13.00962282
51,1,13.01219459
51,2,13.00659411
51,3,13.00962947
52,1,13.01242427
52,2,15.37962885
52,3,15.3872872
53,1,15.38799799
53,2,13.00659346
53,3,13.00962671
54,1,13.01221977
54,2,15.38391732
54,3,15.38293361
55,1,15.38799965
55,2,13.00659317
55,3,13.00962273
56,1,13.01932199
56,2,13.00659754
56,3,15.39512842
57,1,15.3879992
57,2,15.38550309
57,3,15.38124349
58,1,13.0121778
58,2,13.00659617
58,3,13.00962226
59,1,15.40175803
59,2,15.39363162
59,3,15.38124259
60,1,13.01235203
60,2,13.00659534
60,3,13.00962209
61,1,15.38803595
61,2,13.00659162
61,3,15.38124233
62,1,15.38803547
62,2,15.37963028
62,3,13.00962239
63,1,13.01215151
63,2,13.00659159
63,3,13.00962957
64,1,15.38806807
64,2,15.3796307
64,3,15.39989346
65,1,13.01214895
65,2,13.00659173
65,3,13.00962059
66,1,15.38806778
66,2,13.00659774
66,3,15.38124193
67,1,13.01226769
67,2,13.00659723
67,3,13.00961906
68,1,15.38806704
68,2,13.00659162
68,3,15.38124177
69,1,13.01231469
69,2,15.38784219
69,3,15.40276623
70,1,15.3880663
70,2,13.0065921
70,3,15.38775268
71,1,13.01214085
71,2,15.39744438
71,3,13.00962083
72,1,15.38806606
72,2,15.38336517
72,3,15.38124074
73,1,13.01231486
73,2,13.0065928
73,3,13.00969522
74,1,15.39402117
74,2,15.38932317
74,3,15.38203323
75,1,13.01214082
75,2,13.00659313
75,3,13.00962246
76,1,15.39351152
76,2,15.39514415
76,3,13.00975441
77,1,15.38900265
77,2,13.00659324
77,3,13.00962164
78,1,13.01212937
78,2,13.00663888
78,3,15.38124009
79,1,15.38806355
79,2,13.00659771
79,3,13.00961928
80,1,15.40498606
80,2,15.38635678
80,3,15.38784818
81,1,13.01212267
81,2,13.00659775
81,3,13.0096189
82,1,13.01232854
82,2,15.38150057
82,3,15.39811673
83,1,15.38806198
83,2,13.00659227
83,3,13.00961834
84,1,13.01212128
84,2,13.0065876
84,3,15.3812395
85,1,15.38806122
85,2,15.37962937
85,3,13.00961929
86,1,13.01211994
86,2,15.38138544
86,3,15.38306666
87,1,15.38806052
87,2,13.006593
87,3,13.00961853
88,1,13.01212003
88,2,13.00658912
88,3,15.39956971
89,1,15.39419696
89,2,15.37963284
89,3,13.00974737
90,1,13.01212746
90,2,13.00659496
90,3,15.38862198
91,1,15.39983103
91,2,15.39423815
91,3,13.00962319
92,1,13.01212302
92,2,13.00662903
92,3,15.38250382
93,1,15.40103257
93,2,13.00659852
93,3,13.00961964
94,1,13.01211767
94,2,13.00660087
94,3,15.39083437
95,1,15.39807248
95,2,15.37963324
95,3,13.00961858
96,1,13.01211683
96,2,13.00659383
96,3,15.40554234
97,1,15.40699491
97,2,15.37963286
97,3,15.38123935
98,1,13.01232489
98,2,13.00659426
98,3,13.00961885
99,1,15.38805921
99,2,15.37963324
99,3,15.38123938
100,1,13.01222482
100,2,13.00659419
100,3,13.00961777
