Y,worst_sustained_deficit_s1_MWh,worst_sustained_deficit_s3_MWh,non_helpfulness_ratio_3x_over_1x,longest_highDemand_lowVRE_run_h,frac_hours_deficit_at_3x,sumW
27,-178.84946114399997,-576.4514611440001,3.2231098570830774,79,0.0,8760
6,-210.232635773,-666.5434357729999,3.170504110008281,63,0.0,8760
29,-219.687758042,-695.960558042,3.1679532999381506,42,0.0,8760
14,-223.91248568500004,-709.1996850910001,3.1673074546270237,71,0.0,8760
10,-231.262922186,-729.069122186,3.152555175285631,86,0.0,8760
8,-242.10447175432262,-762.4742526503227,3.149360468761596,82,0.0,8760
7,-242.35181799660003,-763.5373763886001,3.150532901727448,38,0.0,8760
12,-246.83669523537498,-776.2301959193749,3.1447115072673175,121,0.0,8760
17,-254.97146699624992,-801.3342419962497,3.142838888757613,20,0.0,8760
18,-256.984873113,-802.3403231130001,3.1221305495414176,170,0.0,8760
22,-263.871918553,-824.384718121,3.1241851070959727,109,0.0,8760
24,-278.4390633484375,-873.5316637084375,3.1372453750084652,26,0.0,8760
23,-285.6209291890286,-895.3370870290287,3.134704062388981,144,0.0,8760
21,-288.1973048912432,-896.1392274992434,3.1094642881567824,38,0.0,8760
2,-297.761500877,-929.291500805,3.1209256336734907,34,0.0,8760
