Y,T,Load
25,1,0.5681272623333333
25,2,0.5161146342857144
25,3,0.638178701
25,4,0.7050104779999999
25,5,0.7489693274
25,6,0.7241760335
25,7,0.6409982855
25,8,0.5494189370000001
25,9,0.667974852
25,10,0.74460849675
25,11,0.7639804406666667
25,12,0.8740394996666666
25,13,0.773461612
25,14,0.673194894
25,15,0.584963802625
25,16,0.730367689
25,17,0.8247570965
25,18,0.8791388835
25,19,0.8884993966666667
25,20,0.937988188
25,21,0.8252429035
25,22,0.698152029
25,23,0.6120467390000001
25,24,0.5930558205
25,25,0.581577443
25,26,0.637016575
25,27,0.760297199
25,28,0.8403314915
25,29,0.8779196037499999
25,30,0.867193751
25,31,0.9263897882000001
25,32,0.767241379
25,33,0.6308868357499999
25,34,0.812688131
25,35,0.8900266715
25,36,0.9275290535
25,37,0.92427129
25,38,0.913869308
25,39,0.8946847015
25,40,0.9571854956666667
25,41,0.929329396
25,42,0.7857115645
25,43,0.654289706
25,44,0.6349209374
25,45,0.802838636
25,46,0.8811011625
25,47,0.90529624675
25,48,0.915923668
25,49,0.814764717
25,50,0.702533816
25,51,0.6202667174000001
25,52,0.5739823456666667
25,53,0.6343303485
25,54,0.7498666414999999
25,55,0.779534197
25,56,0.785663936
25,57,0.8407760206666667
25,58,0.760411507
25,59,0.674947609
25,60,0.5750542962
25,61,0.5499028385999999
25,62,0.6816441225000001
25,63,0.7572045470000001
25,64,0.757610974
25,65,0.7905410555
25,66,0.861021147
25,67,0.7938845495
25,68,0.672232806
25,69,0.5574748932857142
25,70,0.60962088
25,71,0.747837683
25,72,0.8240522004999999
25,73,0.8649838066000001
25,74,0.9162049914000001
25,75,0.821194513
25,76,0.697961516
25,77,0.607239474
25,78,0.5988340638
25,79,0.83520670575
25,80,0.869968883
25,81,0.863221566
25,82,0.931286912
25,83,0.8271194515
25,84,0.699828539
25,85,0.6088874072500001
25,86,0.811706992
25,87,0.847951991
25,88,0.850904934
25,89,0.8576490756666666
25,90,0.848218708
25,91,0.8631453609999999
25,92,0.957439512
25,93,0.89747571
25,94,0.751390741
25,95,0.6095446752857143
25,96,0.657458564
25,97,0.800419127
25,98,0.872902775
25,99,0.906867975
25,100,0.9076649519999999
25,101,0.9507906268000001
25,102,0.828881692
25,103,0.738616879
25,104,0.65598209175
25,105,0.64534673275
25,106,0.8799072843333334
25,107,0.9250285767499999
25,108,0.8936368833333334
25,109,0.960240046
25,110,0.8929700895
25,111,0.765545818
25,112,0.6276856968888889
25,113,0.708877882
25,114,0.814396393
25,115,0.8021813680000001
25,116,0.896523147
25,117,0.8233377785
25,118,0.7093255860000001
25,119,0.5914993332
25,120,0.7174604685
25,121,0.8066298343333332
25,122,0.8145107003333333
25,123,0.8882930085
25,124,0.81747952
25,125,0.693865498
25,126,0.5926628881250001
25,127,0.8355051756666666
25,128,0.8889045534
25,129,0.9167841496000001
25,130,0.82999619
25,131,0.704800914
25,132,0.6247142311249999
25,133,0.841252302
25,134,0.8885197180000001
25,135,0.9112053088333334
25,136,0.7634787574999999
25,137,0.6235963314285715
25,138,0.678605449
25,139,0.816536483
25,140,0.89300342925
25,141,0.88976948
25,142,0.9186988
25,143,0.818746428
25,144,0.723985521
25,145,0.6218436165714285
25,146,0.677881501
25,147,0.820994475
25,148,0.8848352065
25,149,0.8918346351999998
25,150,0.9151838446666667
25,151,0.7705562965
25,152,0.63722137525
25,153,0.8697910713333333
25,154,0.8908134884000001
25,155,0.8607449035000001
25,156,0.9273258396666666
25,157,0.8234235089999999
25,158,0.711735569
25,159,0.640394996
25,160,0.6052136913333334
25,161,0.5986473615
25,162,0.677633835
25,163,0.8041722235
25,164,0.8231599673333333
25,165,0.8036832413333334
25,166,0.9008287294999999
25,167,0.832739569
25,168,0.7226138315
25,169,0.618886137
25,170,0.5919556104999999
25,171,0.6146504096666666
25,172,0.726481235
25,173,0.809220804
25,174,0.8160093986666667
25,175,0.87988664525
25,176,0.7292627165000001
25,177,0.6206172606000001
25,178,0.6108782625
25,179,0.67877691
25,180,0.8797802753333333
25,181,0.9245265764000001
25,182,0.9146504095
25,183,0.9642471583333334
25,184,0.864564679
25,185,0.728157744
25,186,0.6338921698571428
25,187,0.701181177
25,188,0.834749476
25,189,0.90060964
25,190,0.9215564869999999
25,191,0.903953134
25,192,0.8809868546666667
25,193,0.9366498382499999
25,194,0.815336255
25,195,0.720689655
25,196,0.6383358735
25,197,0.828653077
25,198,0.8965136216666667
25,199,0.9014336064999999
25,200,0.888645456
25,201,0.9580396265
25,202,0.90243856
25,203,0.825681082
25,204,0.736578396
25,205,0.654467518
25,206,0.6404076966
25,207,0.629300819
25,208,0.692589065
25,209,0.841341208
25,210,0.9278862640000001
25,211,0.9551025593333334
25,212,0.946485045
25,213,0.98181558375
25,214,0.862983425
25,215,0.767555725
25,216,0.6800838256
25,217,0.6744395756666668
25,218,0.848752143
25,219,0.9223090110000001
25,220,0.9405886835
25,221,0.9300247667142856
25,222,0.766898457
25,223,0.6328176796
25,224,0.7913697846
25,225,0.7695561056666667
25,226,0.8573950593333333
25,227,0.7567441415
25,228,0.626379628
25,229,0.5874147458
25,230,0.732472852
25,231,0.7970565822500001
25,232,0.814383692
25,233,0.89412269
25,234,0.8226614595
25,235,0.703067251
25,236,0.607244236875
25,237,0.8238235855
25,238,0.8845462626666666
25,239,0.886597447
25,240,0.9444973646666668
25,241,0.8264526575
25,242,0.698056773
25,243,0.6139607546000001
25,244,0.5880072395
25,245,0.659344637
25,246,0.795942084
25,247,0.852848162
25,248,0.881482187
25,249,0.8967231855
25,250,0.89230805875
25,251,0.9525528670000001
25,252,0.8968660694999999
25,253,0.7579729470000001
25,254,0.62651457425
25,255,0.5965072713333334
25,256,0.65465803
25,257,0.8100781105
25,258,0.851095447
25,259,0.8579475456666666
25,260,0.845032387
25,261,0.9127262333333332
25,262,0.800209564
25,263,0.680415317
25,264,0.5930582016249999
25,265,0.78763574
25,266,0.827033721
25,267,0.8409982854999999
25,268,0.832996761
25,269,0.8351686035
25,270,0.8989458306666668
25,271,0.7970470565000001
25,272,0.681634597
25,273,0.59837111825
25,274,0.5849923795
25,275,0.8112592876666667
25,276,0.841007811
25,277,0.8184860610000001
25,278,0.8827586206666668
25,279,0.776366927
25,280,0.675366737
25,281,0.6120975425
25,282,0.6002857685
25,283,0.56686988
25,284,0.645599162
25,285,0.757601448
25,286,0.75906839375
25,287,0.7354734235
25,288,0.836149743
25,289,0.792246142
25,290,0.6840826825
25,291,0.5790300192857142
25,292,0.5931288499999999
25,293,0.688988379
25,294,0.76775576275
25,295,0.7724899980000001
25,296,0.8676414555
25,297,0.8180605830000001
25,298,0.7013621640000001
25,299,0.5928204011428572
25,300,0.661287864
25,301,0.807544294
25,302,0.879939036
25,303,0.902914841
25,304,0.8855686795
25,305,0.895703944
25,306,0.9574776150000001
25,307,0.8507525245
25,308,0.72061345
25,309,0.618982187125
25,310,0.826995618
25,311,0.875080968
25,312,0.879672319
25,313,0.870261002
25,314,0.842217565
25,315,0.84549438
25,316,0.9256715565
25,317,0.894979996
25,318,0.79771385
25,319,0.709716136
25,320,0.636273576
25,321,0.6111703816666666
25,322,0.663935988
25,323,0.829300819
25,324,0.877881501
25,325,0.8873817233333333
25,326,0.8831205945
25,327,0.928214898
25,328,0.9336889566666667
25,329,0.7758906455000001
25,330,0.6432391885
25,331,0.855105734
25,332,0.9060678225000001
25,333,0.9197561439999999
25,334,0.911106878
25,335,0.9484377975
25,336,0.9470756333333333
25,337,0.835092399
25,338,0.744389408
25,339,0.663542262
25,340,0.641312631
25,341,0.6508541306666666
25,342,0.860783006
25,343,0.922118499
25,344,0.9244856162499999
25,345,0.9211926079999999
25,346,0.8389312250000001
25,347,0.722099448
25,348,0.6508731820000001
25,349,0.6209373215
25,350,0.61516955625
25,351,0.722023243
25,352,0.8232425219999999
25,353,0.8543436845
25,354,0.830634407
25,355,0.871842256
25,356,0.7768908365
25,357,0.684549438
25,358,0.6084778054000001
25,359,0.5850638216
25,360,0.712592875
25,361,0.78091065
25,362,0.815507716
25,363,0.839055058
25,364,0.83697370925
25,365,0.894875214
25,366,0.8565377529999999
25,367,0.71488855
25,368,0.607332349125
25,369,0.806525052
25,370,0.889102686
25,371,0.882568108
25,372,0.85496285
25,373,0.8482568109999999
25,374,0.9327109926666667
25,375,0.842836731
25,376,0.717927224
25,377,0.6279481805
25,378,0.6249380835
25,379,0.603772147
