Time,Scenario,Dto,dfix_to,dflex_to
1,13,60.3985463,54.35869166998434,6.0391831385227075
1,15,61.262429100000006,55.13618618995458,6.1221587099927826
1,16,52.532187900000004,47.27896910989911,5.252609973975835
1,19,53.594838700000004,48.23535482991745,5.358872236778119
1,1,58.3286855,52.49581694997328,5.83221847351984
1,22,58.228384399999996,52.40554595997247,5.822189295259286
1,24,53.594838700000004,48.23535482991745,5.358872250534477
1,26,52.532187900000004,47.27896910989911,5.252609983075092
1,28,52.532187900000004,47.27896910989911,5.252609939549619
1,29,58.8992531,53.00932778996972,5.8859986160709115
1,2,58.0494519,52.244506709943245,5.804294547387297
1,30,58.228384399999996,52.40554595997149,5.620979998821035
1,6,61.572129200000006,55.41491627995676,6.156525042950076
1,7,59.9450802,53.950572179949546,5.99383737691253
1,9,58.3286855,52.49581694997328,5.832218462973028
2,13,74.7179832,67.24618487993015,7.470961471098576
2,15,62.6507933,56.38571396996367,6.264380168734429
2,16,67.3165002,60.58485017993513,6.730895739472701
2,19,69.73537669999999,62.76183902991743,6.972752421912897
2,1,73.0068596,65.70617363992427,7.295818695481053
2,22,72.4882637,65.23943732991745,7.24801143792072
2,24,64.1523765,57.737138849987204,6.414524695941237
2,26,64.4091312,57.968218079974775,6.440196048538338
2,28,62.2464319,56.02178870997071,6.223949273175233
2,29,62.4056159,56.165054309969726,6.23986572556423
2,2,67.51586689999999,60.764280209886486,6.750811814779865
2,30,72.1323796,64.91914163992804,7.001588093401185
2,6,53.0892763,47.78034866993015,5.308327009826901
2,7,60.602606,54.54234539997729,6.059586085570899
2,9,67.36548839999999,60.62893955997404,6.73579894210618
3,13,54.8920569,49.40285120988649,5.4885656044436795
3,15,54.738251500000004,49.26442634993015,5.473101224469056
3,16,50.6315992,45.56843927990919,5.062576192457753
3,19,61.1237619,55.01138570996972,6.111694476358509
3,1,53.6548386,48.28935473992432,5.364874635502598
3,22,65.0735648,58.56620831996507,6.506630462856025
3,24,87.4138248,78.67244231991448,8.438347835927113
3,26,54.738251500000004,49.264426349930154,5.473206756634103
3,28,68.5150495,61.66354454990919,6.850598200428575
3,29,77.9801477,70.1821329298991,7.797133241632966
3,2,63.8233163,57.44098466997982,6.381621725986762
3,30,62.2523727,56.027135429971494,6.009429042923237
3,6,65.1202359,58.608212309979805,6.50768224887611
3,7,76.16833790000001,68.55150410991746,7.61597841831928
3,9,58.50492619999999,52.65443357991744,5.8498283134720825
4,13,85.1662935,76.64966414993509,8.510951489373626
4,15,74.7179832,67.24618487993015,7.470961568235225
4,16,72.4984774,65.24862965992432,7.249034236465058
4,19,64.4235792,57.98122127996368,6.441638979025071
4,1,67.16524940000001,60.448724459956765,6.715774930784483
4,22,55.8628501,50.27656508989911,5.585640632543294
4,24,61.0154823,54.91393406990594,5.890027835735298
4,26,74.7179832,67.24618487993015,7.470961466367486
4,28,50.675385500000004,45.607846949848664,5.066924769685739
4,29,66.12114150000001,59.50902734994325,6.611242062227634
4,2,57.2618521,51.535666889909194,5.725530540684654
4,30,83.638571,75.2747138999412,8.073910001127826
4,6,84.6260858,76.16347721993729,8.169238188007341
4,7,57.2618521,51.535666889909194,5.725530544422504
4,9,85.6039729,77.04357560993513,8.559440429075698
5,13,61.0154823,54.91393406990914,6.09748037323003
5,15,54.8920569,49.40285120988649,5.4885656664999
5,16,58.6158171,52.75423538994657,5.85989012810855
5,19,61.1956278,55.07606501969732,6.118764529142013
5,1,83.638571,75.27471389994324,8.362755264119741
5,22,83.638571,75.27471389994321,8.358281184437772
5,24,85.6646472,77.09818247993591,8.092794432807214
5,26,54.8920569,49.40285120988649,5.48856562213252
5,28,70.73126020000001,63.658134179971626,7.072338441165384
5,29,85.2897394,76.76076545990918,8.528016495252853
5,2,83.638571,75.27471389994324,8.362922827695872
5,30,57.823508700000005,52.04115782984858,5.778495832202062
5,6,59.232404800000005,53.309164319897754,5.844184988841902
5,7,85.1662935,76.64966414993509,8.510951499374714
5,9,59.232404800000005,53.30916431989911,5.9225600793907045
6,13,86.1838364,77.56545275993514,8.617420283322074
6,15,84.6260858,76.16347721993942,8.456966800651472
6,16,66.21168320000001,59.59051487994659,6.620427858260055
6,19,85.6039729,77.04357560993513,8.55944042386587
6,1,58.0332243,52.22990186988649,5.802648873413413
6,22,58.0332243,52.229901869886305,5.793273754612187
6,24,60.2771634,54.24944705989908,6.025976145682718
6,26,82.0737571,73.86638138988648,8.20644473763759
6,28,87.99083250000001,79.19174924984866,8.79807182645689
6,29,58.0332243,52.22990186988649,5.80264887776608
6,2,58.0332243,52.22990186988649,5.802648846135598
6,30,82.4879089,74.23911800994654,8.243291775749467
6,6,86.1838364,77.56545275993282,8.319613022620567
6,7,61.0154823,54.913934069909196,6.100853325777577
6,9,84.6466006,76.1819405399412,8.171218472573365
7,13,62.089046999999994,55.88014229990919,6.208198267169179
7,15,59.232404800000005,53.30916431989911,5.922560090837757
7,16,84.6260858,76.16347721993945,8.461663014116478
7,19,58.9624002,53.06616017988649,5.895556556856322
7,1,85.6646472,77.09818247993945,8.565507605262798
7,22,85.6646472,77.09818247993472,7.944264428025794
7,24,86.056608,77.45094719993943,8.603177461019575
7,26,73.4461968,66.10157711995458,7.3437996847586176
7,28,59.232404800000005,53.30916431989911,5.922560075519796
7,29,84.6466006,76.18194053994323,8.463714627840428
7,2,84.0573132,75.65158187990914,8.400127447733228
7,30,60.2771634,54.24944705989549,5.818755539127444
7,6,62.089046999999994,55.88014229990913,6.204765405962327
7,7,85.6646472,77.09818247993942,8.560753656446643
7,9,65.18319070000001,58.66487162991746,6.517582937959443
8,13,86.6465182,77.98186637993514,8.663683291937675
8,15,84.6466006,76.18194053994323,8.46371462858862
8,16,59.232404800000005,53.30916431989911,5.922560100445684
8,19,81.1393403,73.02540626990917,8.111592205180338
8,1,60.2771634,54.249447059899104,6.027024776704948
8,22,60.2771634,54.24944705989905,6.023697818098506
8,24,59.5723948,53.6151553198991,5.956555460046981
8,26,85.9428791,77.34859118992432,8.593325920732209
8,28,84.6466006,76.18194053994323,8.463714597844955
8,29,59.1398211,53.22583898988649,5.913296740267497
8,2,91.5001442,82.35012977977287,9.14485113304753
8,30,86.6465182,77.98186637993282,8.364277184627172
8,6,86.6465182,77.98186637993514,8.66368339681731
8,7,60.2771634,54.249447059899104,6.027024759817365
8,9,87.2460493,78.52144436992431,8.723628563803274
9,13,61.394941800000005,55.2554476199092,6.138795179464237
9,15,59.1398211,53.22583898988643,5.9100393183961115
9,16,85.6646472,77.09818247993945,8.56550762242074
9,19,73.58207519999999,66.22386767993014,7.357383218304166
9,1,86.056608,77.45094719993945,8.604699334667556
9,22,86.056608,77.45094719993942,8.599923761694876
9,24,85.2993557,76.76942012993945,8.527474080560781
9,26,69.55916090000001,62.60324480993514,6.955137077068944
9,28,59.1398211,53.22583898988649,5.913296727877818
9,29,84.992908,76.49361719994323,8.496838183188018
9,2,62.089046999999994,55.88014229990919,6.208198319575114
9,30,61.394941800000005,55.255447619905944,5.926658597831049
9,6,61.394941800000005,55.2554476199092,6.138795238687862
9,7,86.056608,77.45094719993882,8.516413657807718
9,9,59.5723948,53.6151553198991,5.956555447067563
10,13,85.8464413,77.26179716993514,8.583684509757807
10,15,84.992908,76.4936171999412,8.20464865664164
10,16,60.2771634,54.24944705989908,6.025976170810021
10,19,76.5216436,68.86947923987026,7.64995499505823
10,1,59.5723948,53.615155319899046,5.9532678719342105
10,22,59.5723948,53.6151553198991,5.956555439049896
10,24,60.411578,54.370420199899044,6.037130214156939
10,26,85.9176844,77.32591595990918,8.590804005211796
10,28,86.3666378,77.72997401992428,8.630905864855782
10,29,58.3892682,52.55034137988649,5.8382494848383875
10,2,86.6465182,77.98186637993484,8.623963037493606
10,30,85.8464413,77.26179716993282,8.287042873602655
10,6,85.8464413,77.26179716993282,8.28704319542283
10,7,59.5723948,53.6151553198991,5.956555439930876
10,9,83.5171651,75.1654485898865,8.350770074391253
11,13,69.5205308,62.56847771993946,6.951275019720857
11,15,58.3892682,52.550341379886426,5.835034053710201
11,16,86.6465182,77.9818663799351,8.658875260164773
11,19,87.6093855,78.84844694990919,8.759955576764238
11,1,85.2993557,76.7694201299373,8.2342311975742
11,22,85.2993557,76.76942012993943,8.524249014688841
11,24,85.3144854,76.78303685993941,8.525760818269719
11,26,58.3892682,52.55034137988649,5.838249457133768
11,28,65.8834183,59.295076469924325,6.587600889937695
11,29,85.2993557,76.76942012993946,8.528982547176707
11,2,61.394941800000005,55.255447619905944,5.926658342453139
11,30,72.7344376,65.4609938399804,7.021297659646765
11,6,62.134436,55.92099239990594,5.9980442478050895
11,7,85.2993557,76.76942012993946,8.528982495552974
11,9,88.9521429,80.05692860984841,8.880399513284177
12,13,82.4878995,74.23910954992432,8.24770148177086
12,15,85.8464413,77.26179716993282,8.287043077842368
12,16,61.394941800000005,55.25544761990914,6.13540101846881
12,19,59.5723948,53.6151553198991,5.956555439967729
12,1,60.411578,54.370420199895484,5.831731038649394
12,22,60.411578,54.370420199899044,6.037130354965928
12,24,64.641739,58.17756509997477,6.463454291691205
12,26,85.2993557,76.76942012993946,8.528982510032156
12,28,85.2993557,76.76942012993946,8.528982487418773
12,29,71.0293057,63.92637512994324,7.102136311665794
12,2,85.2993557,76.7694201299373,8.234231083556779
12,30,56.066769199999996,50.46009227992428,5.602939119920199
12,6,84.29969229999999,75.86972306994119,8.137730346918078
12,7,60.411578,54.3704201998991,6.040464787429927
12,9,62.134436,55.920992399909174,6.211649971307369
13,13,58.2526098,52.42734881989911,5.8245910347808305
13,15,62.134436,55.92099239990594,5.998044170516789
13,16,85.8464413,77.2617971699351,8.578920902955279
13,19,79.64773939999999,71.68296545997609,7.963888185777527
13,1,84.29969229999999,75.86972306994119,8.137730357762504
13,22,85.3144854,76.78303685993934,8.516676070055572
13,24,79.25482339999999,71.32934105991743,7.923195117436665
13,26,60.411578,54.3704201998991,6.040464767665875
13,28,60.411578,54.3704201998991,6.040464780993503
13,29,85.869074,77.2821665998865,8.585935706663625
13,2,60.411578,54.370420199899044,6.037130260215126
13,30,76.7968074,69.11712665993514,7.678821563188122
13,6,58.679680700000006,52.811712629909145,5.864056048563936
13,7,85.3144854,76.78303685993943,8.528986506152094
13,9,84.29969229999999,75.86972306994322,8.429027638337178
14,13,77.1870076,69.46830683993015,7.717836557524484
14,15,84.38161790000001,75.9434561098955,8.14563879494439
14,16,69.5205308,62.56847771993943,6.947418260549418
14,19,69.4370452,62.49334067996216,6.9429297408947965
14,1,69.1415258,62.22737321995816,6.821871747591853
14,22,68.884071,61.995663899955275,6.356529937384506
14,24,60.4031157,54.36280412990594,5.830914047756667
14,26,85.3144854,76.78303685993944,8.530495248542215
14,28,84.6806698,76.21260281987028,8.467100912065971
14,29,65.8226752,59.240407679949556,6.58153170255845
14,2,85.3144854,76.78303685993941,8.525760869924271
14,30,58.0986153,52.28875376988649,5.809187291702355
14,6,68.414396,61.57295639997965,6.640699134049662
14,7,59.123761900000005,53.211385709909145,5.908434448340858
14,9,69.14034369999999,62.22630932996051,6.913262771345372
15,13,54.88062660000001,49.39256393991745,5.4874372257130695
15,15,70.6154438,63.55389941995871,7.060756247055776
15,16,86.88399530000001,78.1955957698991,8.687421992810508
15,19,56.066769199999996,50.46009227992432,5.6060417422659965
15,1,65.0807487,58.572673829972274,6.270287005618779
15,22,57.5033102,51.75297917993011,5.746497484920535
15,24,87.23747469999999,78.51372722994013,8.271370906431425
15,26,65.8226752,59.240407679949556,6.581531697346149
15,28,85.869074,77.2821665998865,8.585935653072434
15,29,81.07664199999999,72.96897779981839,8.106712047196636
15,2,59.2027011,53.282430989899105,5.919590102659345
15,30,88.3572138,79.52149241993945,8.83473440094946
15,6,88.3572138,79.5214924197966,2.629586793943139
15,7,76.8425958,69.1583362199301,7.679136613679048
15,9,54.88062660000001,49.39256393991745,5.487437244598994
16,13,69.9974648,62.9977183199587,6.995079930979692
16,15,78.2560823,70.4304740698865,7.824718319355106
16,16,61.01436030000001,54.91292426992433,6.100747643020342
16,19,69.9974648,62.99771831995872,6.998965193713424
16,1,88.3572138,79.52149241993716,8.51288744440279
16,22,69.9974648,62.99771831995872,6.998965223548112
16,24,60.1274161,54.11467448988647,6.011005538102841
16,26,63.4608028,57.11472251994955,6.345370625223293
16,28,64.5785652,58.12070867994324,6.457133707551625
16,29,63.4610059,57.114905309954594,6.345391523237181
16,2,75.0987595,67.58888354993945,7.508886037163226
16,30,61.273413,55.1460716998991,6.126639092832952
16,6,61.273413,55.14607169989549,5.914926808459729
16,7,59.96999710000001,53.972997389818396,5.99627214853418
16,9,76.7968074,69.11712665993512,7.677464437139686
17,13,87.23747469999999,78.51372722993513,7.631891116846024
17,15,55.6385916,50.074732439870274,5.563203229944117
17,16,76.1453711,68.53083398993515,7.613685124642717
17,19,88.3572138,79.52149241993943,8.833171534675493
17,1,61.273413,55.14607169989549,5.914926812012424
17,22,87.23747469999999,78.51372722994323,8.72277328876357
17,24,88.4122191,79.57099718993945,8.840234285104152
17,26,74.70602939999999,67.23542645981838,7.46971853251962
17,28,79.5620458,71.60584121987029,7.955293333609423
17,29,79.7894028,71.81046251984866,7.978016501734164
17,2,54.88062660000001,49.39256393991745,5.487437314983026
17,30,88.4122191,79.57099718993945,8.840234324651828
17,6,88.4122191,79.57099718993729,8.534726230385013
17,7,65.9619128,59.36572151996867,6.595455909095395
17,9,58.0986153,52.28875376988649,5.8091872732262795
18,13,60.1274161,54.11467448987026,5.260192324723214
18,15,67.4677299,60.72095690996505,6.742275123672676
18,16,54.108279599999996,48.69745163990919,5.41020706054995
18,19,61.273413,55.14607169989909,6.125842813157735
18,1,87.3681364,78.63132275994109,8.417593472389033
18,22,60.1274161,54.11467448988649,6.012045720256526
18,24,62.9618233,56.6656409698991,6.295462061685477
18,26,71.2084664,64.0876197599522,7.120051290862152
18,28,56.066769199999996,50.46009227992432,5.606041762902109
18,29,58.0986153,52.288753769886426,5.805988098383142
18,2,77.9927557,70.19348012992432,7.7984016391544095
18,30,62.9618233,56.665640969899044,6.291984837661972
18,6,62.9618233,56.665640969895485,6.07791469439487
18,7,88.3572138,79.52149241993945,8.834734368788727
18,9,87.23747469999999,78.51372722994323,8.722773251372512
19,13,88.4122191,79.57099718923774,0.7020691747233544
19,15,87.23747469999999,78.51372722994323,8.721508209761472
19,16,69.9974648,62.99771831995872,6.9989652300695635
19,19,88.4122191,79.57099718993942,8.835327644539197
19,1,61.8686893,55.681820369882885,5.995538572228082
19,22,88.4122191,79.57099718993942,8.835327819109043
19,24,88.3595778,79.52362001994322,8.83497117151138
19,26,89.5584511,80.60260598992431,8.954843039375572
19,28,77.9927557,70.19348012992432,7.7984015219534015
19,29,87.23747469999999,78.5137272299432,8.717931542102257
19,2,60.4031157,54.36280412990919,6.039623320104652
19,30,81.8777046,73.68993413997003,7.756036039276196
19,6,88.3595778,79.52362001994119,8.52964459507949
19,7,61.273413,55.1460716998991,6.126639074234156
19,9,60.1274161,54.11467448988649,6.012045704990746
20,13,62.9618233,56.66564096987076,4.914948973551238
20,15,59.5128652,53.56157867987028,5.950589341927601
20,16,88.3572138,79.52149241993945,8.8347344075508
20,19,62.9618233,56.665640969899044,6.2919846916294295
20,1,88.3595778,79.52362001994108,8.513115131141946
20,22,68.6197391,61.75776518992429,6.857399284512579
20,24,62.1427541,55.92847868988649,6.21355801870266
20,26,61.273413,55.1460716998991,6.1266390675108315
20,28,60.4031157,54.36280412990919,6.039623221353309
20,29,64.5027406,58.05246653990919,6.449541749532951
20,2,87.0128538,78.31156841989691,8.516903355805692
20,30,89.5405808,80.58652271988642,8.948088683638066
20,6,62.1427541,55.92847868988496,6.131335564839628
20,7,88.4122191,79.57099718993945,8.840234297002029
20,9,87.3681364,78.63132275994323,8.735837972798448
21,13,89.4315479,80.48839310923775,0.7101635486720397
21,15,86.9132849,78.22195640994323,8.690357895164306
21,16,61.273413,55.1460716998991,6.126639105796767
21,19,86.88686129999999,78.19817516994654,8.682893565490327
21,1,62.1427541,55.92847868988288,6.022097497991933
21,22,89.81584769999999,80.83426292977282,8.97451027290238
21,24,90.1290509,81.11614580993945,9.011898444571795
21,26,88.4122191,79.57099718993945,8.840234234143276
21,28,88.3572138,79.52149241993945,8.834734298728337
21,29,88.13443600000001,79.3209923999351,8.807567853625358
21,2,90.3737539,81.33637850984857,9.031350305965317
21,30,63.289499000000006,56.9605490998865,6.3282202505869485
21,6,88.6489085,79.78401764988243,8.557574661159494
21,7,62.9618233,56.6656409698991,6.295462031901546
21,9,61.8686893,55.681820369886495,6.186154435769579
22,13,63.2691178,56.942206019894,6.022041583020966
22,15,62.9618233,56.6656409698991,6.295462034254167
22,16,88.4122191,79.57099718993943,8.838207706027063
22,19,61.9740909,55.776681809870276,6.196685677007628
22,1,90.1290509,81.1161458099373,8.70045776280425
22,22,77.6371767,69.87345902995456,7.758541912215488
22,24,64.4329049,57.9896144098991,6.442554464323212
22,26,62.9618233,56.6656409698991,6.295462020139835
22,28,61.273413,55.1460716998991,6.12663905087545
22,29,61.8686893,55.681820369886495,6.186154409230247
22,2,61.273413,55.1460716998991,6.1266391195786705
22,30,89.182165,80.26394849993946,8.917220362733032
22,6,76.41503990000001,68.77353590994325,7.640649956393291
22,7,88.3595778,79.52362001994322,8.834971113615506
22,9,88.3595778,79.52362001994321,8.831869629467795
23,13,90.1290509,81.11614580923775,0.7157023188098781
23,15,88.3595778,79.52362001994322,8.834971119552682
23,16,62.9618233,56.66564096989908,6.294364699237789
23,19,90.67794980000001,81.61015481993014,9.066781251430942
23,1,64.4329049,57.98961440989904,6.438994913093401
23,22,90.2598327,81.23384942981826,9.018873846068283
23,24,89.182165,80.26394849993946,8.917220355884796
23,26,88.0551014,79.24959125988646,8.802968303489104
23,28,88.4122191,79.57099718993945,8.840234215664115
23,29,90.03972279999999,81.03575051993013,9.002965623652916
23,2,87.3681364,78.63132275994323,8.7358380519284
23,30,64.7702139,58.293192509917446,6.476289734086377
23,6,89.182165,80.26394849993865,8.799188083123502
23,7,62.1427541,55.92847868988649,6.213557991697015
23,9,62.1427541,55.928478689886425,6.2101324057566964
24,13,64.4329049,57.98961440954312,1.422752392570452
24,15,62.1427541,55.92847868988649,6.213557994936749
24,16,89.4315479,80.48839310993942,8.937192571843838
24,19,68.4562327,61.610609429917446,6.844851854225887
24,1,89.783633,80.80526969993281,8.667113435892078
24,22,82.5926811,74.33341298997068,8.253762039298675
24,24,75.2398433,67.71585896996052,7.523145019302421
24,26,88.66405429999999,79.79764886987346,7.952769022339673
24,28,63.953841700000005,57.55845752981839,6.394614164761512
24,29,67.30717109999999,60.57645398991743,6.729958120377141
24,2,61.8686893,55.681820369886495,6.186154483209526
24,30,76.1656169,68.54905520997161,7.6157140059217525
24,6,71.26267630000001,64.13640866997314,6.879223657675867
24,7,89.09474469999999,80.18527022994323,8.908479626128655
