Storage,Time,Scenario,Discharge,Charge,energy_level
H2,1,13,5.342633285324636e-7,1.659391682454785,1372.7473939241993
H2,1,15,8.856108635520892,4.020186358373993e-7,983.335839566351
H2,1,16,2.033389487656705e-6,3.2856953471187493,1326.0759953702118
H2,1,19,1.658738332173449e-6,0.20413889532668228,1306.9479842762796
H2,1,1,5.465717907072314e-7,3.607762440485557,1391.2408602525138
H2,1,22,9.389673604396093e-7,1.0805117513308393,1330.3359130747351
H2,1,24,2.807653986836523e-6,2.2184121344719467,1322.457865239385
H2,1,26,3.409920570465757e-6,2.059785184719753,1318.3527388220655
H2,1,28,1.950461455884741e-6,0.056355893633958126,1305.7311581702793
H2,1,29,9.139561018380874,3.2984563328918684e-7,806.8546447902876
H2,1,2,1.154878017010327e-6,0.33783684583223755,1309.159887033904
H2,1,30,2.883630285086628,7.80825485544971e-9,1132.3583310322063
H2,1,6,1.4769337625015185e-6,5.470164237725752,1385.7875058595976
H2,1,7,1.015861738900001e-6,4.6074876666865,1363.4304593108973
H2,1,9,6.651952885259319e-7,0.039143899144304314,1306.307731635503
H2,2,13,2.383340432637613e-6,1.6300035646983073,1387.5803700294528
H2,2,15,2.3699175170010646e-7,9.139560602545387,1143.2781393385458
H2,2,16,1.30706238633174e-6,2.0452434662929804,1346.1193480692032
H2,2,19,1.6189257794906221e-6,0.059831568807926214,1307.408654977583
H2,2,1,9.139560779852612,4.939810715177738e-7,1191.8322655688069
H2,2,22,2.818837045299697e-6,4.720914215693668,1366.6868961588327
H2,2,24,4.351707456534052e-7,2.5121083662054247,1447.3095948632072
H2,2,26,8.499120141741066e-7,0.1340382747467704,1321.7304477150794
H2,2,28,5.74385257681273e-7,0.02644720068047937,1306.3050300506163
H2,2,29,1.024602484504617e-6,5.554511136633638,923.4993227721851
H2,2,2,2.3140469121618503e-6,3.9938013842989544,1331.525141127111
H2,2,30,7.937777237374702e-8,2.6417633332491227e-8,1132.3583293964027
H2,2,6,2.3875042842956055e-6,7.102250891081908,1450.4179325365947
H2,2,7,4.5708916292089475e-7,1.2948732918837764,1399.6868782407946
H2,2,9,6.571334396279461e-7,1.2403058304966885,1336.695182665089
H2,3,13,3.872076910684398e-6,1.3689926020403158,1395.2466722797606
H2,3,15,4.7309292278437127e-7,9.139559487846178,1226.4481194957486
H2,3,16,1.8305655073899945e-6,3.4356752567592816,1370.1690415835512
H2,3,19,6.10542039809534e-7,0.3655990037344364,1315.0862007537178
H2,3,1,1.5486960275772989e-6,2.1845453798107,1210.1824129694837
H2,3,22,1.1925376528921864e-6,2.804237656028239,1417.723965124054
H2,3,24,9.139561490559593,1.4451611777641038e-8,1264.5183651632915
H2,3,26,2.3604175241781725e-6,1.1654803692270064,1332.3362632833564
H2,3,28,1.6940565071502648e-6,0.0012731035158629932,1306.3139109740434
H2,3,29,3.4194408925704067e-6,7.602100268026485,971.3924985062648
H2,3,2,4.09044839337471e-7,0.05137534595151139,1333.1434310572772
H2,3,30,0.048225140361309204,7.806959917711913e-9,1129.4648211550646
H2,3,6,1.8564588668125608e-7,7.786535304985641e-7,1450.417941874922
H2,3,7,1.6633291719361593e-6,5.329032408547928,1440.720394520033
H2,3,9,2.0923129070209994e-6,5.35808802568942,1377.952418616641
H2,4,13,9.139560470012295,7.05585084686799e-7,1162.603321775999
H2,4,15,4.5588826476247443e-7,9.13955976756806,1309.6181026050751
H2,4,16,1.5285067256263601e-6,8.5523761610101,1442.0089679867845
H2,4,19,7.206521269465033e-7,0.04110433658164429,1315.8054938869811
H2,4,1,8.852239272244388e-7,5.140994835161457,1285.755003246896
H2,4,22,3.4483367649914203e-6,5.189527051834256,1450.417929123253
H2,4,24,9.139561489107018,1.5896771382308125e-8,1098.3445200180772
H2,4,26,2.3224972195163356e-6,0.11534403239240848,1333.3858390827384
H2,4,28,2.9854193068148277e-6,0.133132661322548,1306.8730355835
H2,4,29,2.118289064464953e-6,2.2120056617324745e-5,971.3926846279436
H2,4,2,1.8517743341548402e-6,5.0760330032169705,1368.6756284111711
H2,4,30,1.7172218815054898,1.6104499604027142e-8,1079.5092756916392
H2,4,6,2.102775357180466,1.717705001520614e-8,1393.0695232230523
H2,4,7,1.830598636023071e-6,1.215582878544971,1449.2294413862335
H2,4,9,1.6441632691966242e-6,4.968487413995156,1426.6435534223644
H2,5,13,9.139560055576267,9.88003641549137e-7,996.429509499729
H2,5,15,7.410860374940968e-7,9.139558678002812,1360.7996204224564
H2,5,16,8.3362798105323,1.0795515221028263e-6,1184.3421503260647
H2,5,19,5.794495459180037e-6,0.11454686744451549,1316.0460107022732
H2,5,1,1.3002879310952137e-6,1.1093210179597681e-5,1285.7550896642936
H2,5,22,8.885061853604175e-7,1.314573066334869e-6,1450.417917999046
H2,5,24,9.13956149842762,6.63651791037651e-9,849.0837519488255
H2,5,26,3.823979315796948e-6,0.47816882475278116,1336.0635288798383
H2,5,28,5.567572902248993e-7,0.025743005042725225,1307.4496465033249
H2,5,29,3.0750107655670676e-6,5.834853781078364,1012.2366051862053
H2,5,2,1.1573439560155241e-6,3.7740016555981217,1410.944413285681
H2,5,30,2.6929008249600484e-8,9.139561432879821,1117.8954334159628
H2,5,6,2.862891737377796e-8,7.88891169705935,1442.7696664460566
H2,5,7,9.139560885671909,4.230201334403734e-7,1216.5860775329068
H2,5,9,2.5588047657163995e-6,3.279590421416952,1447.3049312059418
H2,6,13,2.216534440636996e-6,6.526182059043951,1060.3860372574827
H2,6,15,9.092584777742298,5.430405038305444e-7,1112.820041276866
H2,6,16,1.0790021411331004e-6,6.628226900709851,1263.218017093559
H2,6,19,1.3098839494258806e-6,2.3146173310496096,1338.7292272040575
H2,6,1,2.3240496079703264e-6,4.2468239218988595,1309.5372698225685
H2,6,22,1.7556502248293513,7.6138120241563e-7,1424.8811917197888
H2,6,24,3.7752366849935735,3.4555154385332992e-6,787.307173418678
H2,6,26,3.7617551588748244e-6,0.15276407126520475,1336.9189529624844
H2,6,28,3.0378002786634313e-6,2.1748649600649324,1316.5840461959988
H2,6,29,3.845502822431751e-6,6.7163344633341,1049.8480222462902
H2,6,2,2.3167373165920612e-6,7.048847626438248,1450.4179262957362
H2,6,30,9.50434654043504e-9,9.13956147960119,1226.656214729443
H2,6,6,8.712854918399472,1.8404934303030812e-8,1220.987905067156
H2,6,7,1.8619458855018562e-6,0.35856631740829287,1219.096007901203
H2,6,9,9.13956149759505,7.451798232598809e-9,1181.4267786320913
H2,7,13,3.1040364039413605e-6,6.8262220004514385,1108.1695348236171
H2,7,15,6.58721407867789e-7,9.139558992899044,1170.3992521530515
H2,7,16,1.223532569945665e-6,8.027048156998923,1347.5019893729668
H2,7,19,2.2910795308314874e-6,1.3268099827981044,1346.1593297829322
H2,7,1,1.2395870651612267e-6,5.062144772507004,1362.6897561269723
H2,7,22,9.139561494054927,1.0738887038844919e-8,1175.6204238128682
H2,7,24,3.0345850683171847,2.073079968598426e-6,704.5457842319123
H2,7,26,1.5351758056302886e-6,0.716233341047308,1346.9461639125734
H2,7,28,2.0258543728542044e-6,2.4027807444828495,1331.7215317359862
H2,7,29,1.921799843742966e-6,6.3014237916725255,1120.4239128061174
H2,7,2,7.831062794863818,8.040021438420118e-7,1308.034972017137
H2,7,30,0.07604087011295939,2.861862349481953e-8,1225.4119097624362
H2,7,6,1.6156751697972434e-8,9.139561461763936,1284.9648350057194
H2,7,7,9.139560927032205,3.948049313387414e-7,969.8352594912311
H2,7,9,2.1088278229623543e-6,8.612541678412425,1247.7433073793127
H2,8,13,2.2153911038252206e-6,2.3929358105059424,1131.6202493748008
H2,8,15,3.7041607195528994e-7,9.139560093717078,1272.762314426941
H2,8,16,2.0385326188528406e-6,5.4197505864971856,1381.6463847100893
H2,8,19,0.08577094007285731,1.7925338458618298e-6,1344.5998706929797
H2,8,1,2.0658282866944418e-6,2.8506373471336715,1380.648737609452
H2,8,22,6.769205343566131e-7,1.9631942893456402,1187.9885367588652
H2,8,24,3.4797432141082425e-6,8.889676543289179,760.5506895133815
H2,8,26,2.52235513690613e-6,0.12907278475081335,1348.030320271277
H2,8,28,1.139565571668075e-6,1.576530356462639,1349.3786385772692
