delta,psi,objective,Price_max,Price_min,Price_avg,PV,Wind_Onshore,Wind_Offshore,Gas,Nuclear,BESS_P,BESS_E,Duration,H2_P,H2_E,Duration_PHS
1,0.5,4.89E+09,8999.987957,0.999815926,,74.34429845,49.9999422,100.7949633,35.27905117,11.99998809,9.853763556,149.9481863,15.21735177,9.231456112,1460.253046,158.1823093
0.75,0.5,4.89E+09,9000.000109,0.996823308,103.6514247,74.4991752,50,100.0313236,34.56413996,12,9.725699846,147.9997803,15.21739131,9.139539026,1450.455967,158.7012171
0.5,0.5,4.88E+09,9000.000179,0.997312153,109.3150056,75.10410039,50,98.97966459,33.79082598,12,9.809278013,149.2716219,15.21739131,8.916045213,1477.204342,165.6793238
0.25,0.5,4.88E+09,9000.000163,0.996432123,117.0505075,75.84545402,50,97.79535217,32.50974646,12,9.759552158,148.5149242,15.2173913,9.044473051,1517.117023,167.7396809
