Storage,Scenario,dualcvarstorage
H2,11,7.1792237866391905e-12
H2,12,3.4133168370945232e-12
H2,13,0.06666666665732178
H2,19,8.304104138823826e-12
H2,1,0.06666666665560844
H2,22,0.06666666665464095
H2,23,8.26955882251197e-12
H2,24,0.06666666665356363
H2,26,1.6011126402790037e-11
H2,27,0.03333333357890946
H2,29,0.06666666665186953
H2,30,0.06666666665012701
H2,4,0.06666666664537475
H2,7,2.805340057963017e-12
H2,8,4.7684728416393e-12
BESS,11,3.120260050734182e-12
BESS,12,2.2189224280169092e-12
BESS,13,0.06666666666350354
BESS,19,0.033333392293965515
BESS,1,0.06666666666307387
BESS,22,0.06666666666491042
BESS,23,5.067621740211436e-12
BESS,24,0.06666666666435872
BESS,26,5.240976351112955e-12
BESS,27,6.134557774083673e-11
BESS,29,0.0666666666637087
BESS,30,0.06666666666187347
BESS,4,0.06666666666397253
BESS,7,8.066819649126713e-13
BESS,8,2.659683329656233e-12
