delta,psi,objective,z_total,max_u,max_dual,tail_scenarios,Price_max,Price_min,PV,Wind_Onshore,Wind_Offshore,Gas,Nuclear,BESS_P,BESS_E,Duration,H2_P,H2_E,Duration_PHS
1,0.5,4.82E+09,5.82008221,479.4211386,6.10E-10,"Tuple{Int64, Float64}[]",8999.989016,-2.56E-05,61.2758226,31.39598589,56.51282863,62.39672008,3.999998579,0.001541679,0.006161043,3.996320562,0.000433148,0.039454861,91.08855058
0.75,0.5,4.80E+09,4.81E+09,1.74E+08,3.07E-09,"Tuple{Int64, Float64}[]",8999.203807,-0.002725574,60.330005,31.38551857,56.49392886,62.34375219,3.999992406,0.139176112,0.555890168,3.994149289,0.040408685,3.824191211,94.6378528
0.5,0.5,4.79E+09,4.81E+09,1.74E+08,5.00E-09,"Tuple{Int64, Float64}[]",8998.61774,-0.005555908,59.38720928,31.34783635,56.42609749,62.33872722,3.999987864,0.189024944,0.754437563,3.991206373,0.056101467,5.252680701,93.62822309
0.25,0.5,4.77E+09,4.81E+09,1.74E+08,8.43E-09,"Tuple{Int64, Float64}[]",8996.710352,-0.01852247,58.50306264,31.3328372,56.39909306,62.28648062,3.999978824,0.309848809,1.235306766,3.98680495,0.093893119,8.970144763,95.53569866
