delta,psi,objective,Price_max,Price_min,Price_avg,PV,Wind_Onshore,Wind_Offshore,Gas,Nuclear,BESS_P,BESS_E,Duration,H2_P,H2_E,Duration_H2
1,0.5,4.75E+09,8999.99109,-2.17E-05,119,62.56571129,34.28226155,61.7080692,65.82242547,3.999998193,0.00153422,0.006133674,3.997910702,0.000261716,0.023694268,90.53421522
0.75,0.5,4.75E+09,8999.999386,-0.002419297,120.3094907,62.50428277,34.26157158,61.67082885,65.23628173,4,6.75E-11,2.70E-10,3.99981031,1.15E-11,1.05E-09,90.8700428
0.5,0.5,4.75E+09,9000.000134,-0.000177076,122.8349247,62.43752157,34.1994435,61.55899829,64.79431268,4,3.04E-09,1.22E-08,3.999807469,5.26E-10,4.73E-08,89.94460462
0.25,0.5,4.74E+09,9000.000397,-0.000454911,125.4464445,62.46582622,34.19983625,61.55970525,64.4491899,4,1.90E-10,7.62E-10,3.999811589,3.35E-11,2.92E-09,87.08926667
