Time,Scenario,Dto,dfix_to,dflex_to
1,11,60.0814046,54.07326413964915,2.8999283600552297
1,12,58.534904499999996,52.68141404977057,2.9267452288110545
1,13,62.072912,55.865620799783294,2.9960521024245796
1,19,56.958769200000006,51.26289227975441,2.7492092985126275
1,1,62.1623601,55.94612408984324,3.0003695261325896
1,22,60.2885826,54.25972433976232,2.909928439124514
1,23,60.228829399999995,54.20594645978447,3.011441466854842
1,24,62.6608085,56.39472764966131,3.1330404214061778
1,26,53.594838700000004,48.235354829353426,2.679741931586588
1,27,52.6982734,47.42844605935342,2.6349135957523546
1,29,59.6891871,53.72026838974598,2.984459353510311
1,30,54.5488663,49.09397966935342,2.7274436734238394
1,4,54.592711900000005,49.133440709263226,2.6350076871711647
1,7,58.534904499999996,52.6814140497628,2.8309531957484655
1,8,53.925616,48.533054399288766,2.6962811592361877
2,11,58.4418122,52.59763097943636,2.836349553858102
2,12,79.0577439,71.15196950955549,3.952887177372876
2,13,79.8972885,71.90755964822192,3.9948649733209813
2,19,63.7837018,57.405331619715504,3.189184906174902
2,1,64.51529430000001,58.0637648696651,3.1139378076584716
2,22,77.01781009999999,69.316029089693,3.717392365658082
2,23,72.6425559,65.37830030960487,3.6321277882230936
2,24,62.604527899999994,56.344075109625656,3.1302263852454186
2,26,62.213262300000004,55.99193606974598,3.110663108784431
2,27,69.63218719999999,62.6689684788146,3.481609340970674
2,29,51.979677599999995,46.781709838814606,2.5989838768510407
2,30,63.349305199999996,57.01437467968209,3.0811380521000973
2,4,64.7112223,58.24010006967966,3.123394382298123
2,7,79.8305777,71.84751992950677,3.8371768793155203
2,8,69.3843527,62.44591742943324,3.3489509098924484
3,11,83.7043812,75.33394307926322,4.040130350749616
3,12,58.5896077,52.73064692920974,2.92948037183892
3,13,76.23625990000001,68.61263390977774,3.8118135250282585
3,19,83.3360637,75.00245732949196,4.166802927364286
3,1,57.2618521,51.53566688926322,2.763838336898828
3,22,88.66251120000001,79.79626007950559,4.2515514502745875
3,23,67.7359649,60.962368409863224,3.3867982365148017
3,24,66.1697097,59.55273872960487,3.308485474914362
3,26,66.0638967,59.45750702945289,3.303194818793431
3,27,62.247995,56.023195499491976,3.112399746818225
3,29,73.4857373,66.1371635693534,3.674286859363618
3,30,68.0665669,61.259910209845934,3.273255971199294
3,4,82.7166274,74.444964659386,3.992455125580389
3,7,60.598741700000005,54.538867529330204,2.9248985130576406
3,8,67.4574506,60.71170553969301,3.255945906441022
4,11,64.0274455,57.62470094949197,3.2013723180341116
4,12,80.5755487,72.51799382949197,4.028777404574039
4,13,60.0840622,54.07565597935342,3.0042035212116684
4,19,69.6836241,62.715261689554275,3.47476474499088
4,1,83.638571,75.2747138995395,4.036954583128452
4,22,65.7205972,59.14853747919015,3.206573015685715
4,23,88.05413399999999,79.24872059949196,4.402706685588612
4,24,67.9534761,61.15812848967966,3.279887503830026
4,26,63.823729500000006,57.441356549727125,3.0805579760815047
4,27,85.13281190000001,76.61953070952583,4.2566404951198615
4,29,64.7281173,58.25530556972644,3.236405859579557
4,30,77.7170316,69.94532843987675,3.7373363249334823
4,4,63.8889929,57.50009360945289,3.194450001933845
4,7,81.2494792,73.12453127943324,3.921640390518991
4,8,62.6870078,56.41830701952585,3.1343507041952456
5,11,82.4535647,74.20820822920975,4.122678232065744
5,12,58.7868724,52.90818515928876,2.9393435527094196
5,13,69.293645,62.36428049972644,3.464679778940167
5,19,86.3465711,77.71191398928882,4.317650567742033
5,1,58.0332243,52.22990186907902,2.801069866340868
5,22,89.450827,80.5057442995119,4.344768029934727
5,23,63.3971965,57.05747684928876,3.1698598070237227
5,24,70.8199918,63.73799261966509,3.4182447617384635
5,26,83.638571,75.2747138995395,4.036954246896512
5,27,66.2542684,59.628841559353425,3.3127132920805646
5,29,55.364938900000006,49.82844500822192,2.768246932515455
5,30,64.1560489,57.740444009279145,3.16498788219818
5,4,78.0924707,70.28322362958163,3.904624070458258
5,7,70.2757996,63.2482196397155,3.513790203355373
5,8,68.7036799,61.83331190982652,3.435184456053961
6,11,63.5212024,57.16908215945289,3.1760595690037845
6,12,79.4832634,71.53493705943325,3.836391782972053
6,13,75.1050577,67.5945519298842,3.3922393853649577
6,19,61.0471322,54.942418979110954,3.0523564766237143
6,1,86.1838364,77.56545275947373,4.1598060678770805
6,22,73.4773487,66.12961382971966,3.585032214121264
6,23,84.67605089999999,76.20844580898394,4.2338024259189915
6,24,87.4609221,78.7148298895088,4.221446882932033
6,26,58.0332243,52.22990186907902,2.8010696541351496
6,27,91.077976,81.97017839935341,4.553898671665649
6,29,66.5400519,59.88604670907902,3.211665572446391
6,30,89.9720403,80.9748362694529,4.4986026254874245
6,4,57.5899155,51.83092394881461,2.8794961670765225
6,7,60.784497800000004,54.70604801979679,3.039225101852517
6,8,88.05413399999999,79.24872059947371,4.250079457752148
7,11,79.4832634,71.53493705945289,3.974163203131286
7,12,63.823018399999995,57.44071655974593,3.080524103329891
7,13,85.4352365,76.89171284949957,3.794594056295477
7,19,82.8714649,74.58431840955548,4.14357299875306
7,1,62.089046999999994,55.880142299267256,3.0133612168454094
7,22,67.7134176,60.942075839762325,3.2683004604861514
7,23,88.8048639,79.92437750911095,4.440243127006172
7,24,61.6462234,55.48160105918135,2.9754575918575936
7,26,85.6646472,77.09818247950881,4.13474615355475
7,27,69.29123799999999,62.36211419933019,3.344456600815598
7,29,83.3910065,75.05190584943635,4.047206086420889
7,30,63.4071419,57.06642770928876,3.1703573922827935
7,4,76.4619303,68.81573726950882,3.690561764044869
7,7,67.20119340000001,60.48107405971551,3.3600598845694933
7,8,63.3971965,57.05747684926322,3.0599712687451097
8,11,58.8241413,52.94172716949197,2.941207101009382
8,12,50.559032699999996,45.50312942895975,2.4691565480892743
8,13,61.069342000000006,54.96240779901813,2.7647764603275577
8,19,65.574483,59.017034699353424,3.278723948410738
8,1,86.056608,77.4509471995088,4.153665098234579
8,22,88.0258349,79.22325140947373,4.24871301117323
8,23,62.5267139,56.274042509209735,3.1263356702277942
8,24,86.8780845,78.19027604950558,4.165992669524469
8,26,60.2771634,54.24944705920653,3.001672891445345
8,27,90.0836331,81.07526978947372,4.3480361104131395
8,29,57.6794472,51.91150247894746,2.783993838100201
8,30,86.9031043,78.21279386952583,4.345155791183709
8,4,58.3053069,52.47477620928876,2.915265745516538
8,7,84.9651033,76.46859296928875,4.248255380068563
8,8,86.8780845,78.19027604950558,4.165983758891289
9,11,63.933119000000005,57.53980709964438,3.1966559878954177
9,12,69.314852,62.3833667998417,3.3851361994827
9,13,85.4744438,76.92699941949958,3.7963353630903027
9,19,84.6458445,76.18126004918136,4.085571914295635
9,1,59.5723948,53.615155319181355,2.8753605288179114
9,22,62.406298400000004,56.16566855928877,3.1203152860602867
9,23,87.43608210000001,78.69247388955549,4.371804078402188
9,24,62.5267139,56.274042509181356,3.01795623661419
9,26,86.6465182,77.98186637948953,4.311631304168368
9,27,64.683007,58.214706299333876,3.13925349733236
9,29,85.6646472,77.09818247950881,4.134745804816976
9,30,62.38347520000001,56.14512767920974,3.1191741271704565
9,4,80.3228344,72.29055095935341,4.016142268115363
9,7,63.9889511,57.59005598945289,3.1994477299049238
9,8,62.5267139,56.274042509181356,3.0179557516751823
10,11,56.375091,50.73758189822191,2.818754563372542
10,12,82.4583992,74.21255927947372,3.979991721912741
10,13,62.3022078,56.071987019018124,2.8205916633667725
10,19,76.5574002,68.90166017822192,3.8278688585093317
10,1,85.8464413,77.26179716947372,4.14352105395192
