S,Include,C_inv_P,C_inv_E,WACC,Lifetime,dis_eff,ch_eff,apply_init_soc,init_soc
BESS,1,295000,201000,0.071,15,0.92,0.92,1,0.5
BESS_8h,0,546296.2963,184920,0.071,15,0.92,0.92,1,0.5
LDES_PHS,1,2625300,89100,0.038,40,0.89,0.89,1,0.9
Battery,0,306000,223000,0.071,15,0.92,0.92,1,0.5
