Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
BESS,5,29,-3.065780116863005e-7,-3.8767054635331544e-7,-2.314345928255736e-8
BESS,5,2,-3.075612865667309e-7,-3.1114325694717477e-7,-4.096373763960852e-8
BESS,5,6,-2.9680258313159505e-7,-2.9689484726510195e-7,-1.947937710624173e-8
BESS,5,7,-3.2507576525025645e-7,-3.260298059978238e-7,-2.174333689495435e-6
BESS,5,8,-3.0657051076990437e-7,-3.250075921271522e-7,-2.571125634679972
BESS,6,10,-3.0081099352104735e-7,-5.759445911627196e-7,-0.5510230436789105
BESS,6,12,-3.144867429035543e-7,-3.9453513464813094e-7,-1.0769788415618567e-7
BESS,6,14,-2.917097935633476e-7,-1.1970221298594605e-6,-0.07427118997511765
BESS,6,17,-4.3071369246108415e-7,-2.982157764123632e-7,-2.301869733165701e-8
BESS,6,18,-2.9871351145531217e-7,-4.814307476813482e-7,-16.049168367893092
BESS,6,21,-4.608420075762149,-2.981760441793718e-7,-1.95561915297902e-8
BESS,6,22,-2.999236555125856e-7,-2.971285422266953e-7,-0.11653425943645325
BESS,6,23,-3.0160846413342886e-7,-3.089293833436422e-7,-16.442413578784112
BESS,6,24,-3.214504479090812e-7,-3.170158362643767e-7,-4.521779212126554e-8
BESS,6,27,-2.965464425138722e-7,-18.566267710676886,-7.785314946657318e-8
BESS,6,29,-3.0553766555299353e-7,-5.697152188762121e-7,-3.1042429150365516e-8
BESS,6,2,-3.075586595670016e-7,-3.120173634242222e-7,-4.129909909978614e-8
BESS,6,6,-2.974734556537799e-7,-1.4661994570719043e-6,-6.953236479805233e-8
BESS,6,7,-3.213233439999845e-7,-3.242252159308713e-7,-1.014106045385422e-6
BESS,6,8,-4.49594061914669e-6,-2.9686483710686326e-7,-1.9483894913634993e-8
BESS,7,10,-2.995183836697114e-7,-3.001776129727714e-7,-0.05049122980079673
BESS,7,12,-3.059230009863033e-7,-3.1500581398524603e-7,-1.1326769370814586e-7
BESS,7,14,-3.8130584255101428e-6,-3.008859201393036e-7,-1.9819340654481357e-8
BESS,7,17,-2.9965189144841325e-7,-5.334551082212029e-7,-6.523191977547442e-8
BESS,7,18,-2.965992492171233e-7,-2.9662711476240815e-7,-11.048886548564582
BESS,7,21,-2.994791301884188e-7,-5.006350279863072e-7,-5.5791872434200854e-8
BESS,7,22,-1.9491575113480604,-2.967412862843245e-7,-1.9485114353566993e-8
BESS,7,23,-5.786313327697628e-7,-2.965021737754813e-7,-4.689332978267207e-8
BESS,7,24,-4.091844433616744e-7,-3.195550941907656e-7,-3.503405903934571e-8
BESS,7,27,-2.967892616467632e-7,-4.0373459435240125e-7,-3.2275971523140214e-6
BESS,7,29,-3.0279589301759554e-7,-4.175355063886438e-7,-5.2445052681089314e-8
BESS,7,2,-3.122095631498073e-7,-4.023129030623995e-7,-4.734949187983569e-8
BESS,7,6,-2.982895421304521e-7,-6.22587842787619e-7,-21.34096204960402
BESS,7,7,-3.2098299459196667e-7,-3.25775581814643e-7,-7.422709905605195e-7
BESS,7,8,-2.9824713674536427e-7,-4.451665452613974e-7,-2.341173226687854e-8
BESS,8,10,-3.0057185438145356e-7,-3.037152753921108e-7,-25.180466386484838
BESS,8,12,-3.141999447269636e-7,-3.230520187279576e-7,-1.1820417186309711e-7
BESS,8,14,-2.9974745581997845e-7,-1.1854969582423652e-5,-4.186398946351887e-8
BESS,8,17,-3.9667353503379426e-7,-3.03761061041622e-7,-4.0436256032237526e-8
BESS,8,18,-3.9290029462219195e-7,-2.964107494824134e-7,-1.9478976947375598e-8
BESS,8,21,-3.0065189449275265e-7,-4.1258772149559634e-7,-4.5262854106849985e-6
BESS,8,22,-2.9796268993589773e-7,-3.1129699118326117e-7,-1.9965038523404038e-8
BESS,8,23,-2.96536134869235e-7,-1.2986880335979672e-6,-10.124866609177769
BESS,8,24,-4.979819873676124e-7,-3.0765015494951616e-7,-2.0327717224062927e-8
BESS,8,27,-2.9987896128116464e-7,-2.9711238767983396e-7,-3.2540722010387604e-6
BESS,8,29,-3.057781621858753e-7,-4.0453879907251696e-7,-8.924665318019426e-8
BESS,8,2,-3.234854580461556e-7,-3.0685037145725554e-7,-4.132427050333343e-8
BESS,8,6,-3.0087017005184853e-7,-2.9653815772074866e-7,-5.609554430596126e-6
BESS,8,7,-3.0861776652482264e-7,-3.132112442413014e-7,-5.33896643769775e-7
BESS,8,8,-3.088906989382538e-7,-3.6982157915338567e-7,-2.720908034968187e-8
BESS,9,10,-4.452306166359169e-6,-2.9645106539576374e-7,-1.9478148876001492e-8
BESS,9,12,-3.054096275263784e-7,-3.166426606177003e-7,-1.2469333259397063e-7
BESS,9,14,-3.033772329257324e-7,-6.753213520528503e-7,-0.02594623983683944
BESS,9,17,-3.152723354578843e-7,-3.0644256166700526e-7,-3.804831854442581e-8
BESS,9,18,-2.964362421950067e-7,-2.9656276962973743e-7,-1.9497531650741505e-8
BESS,9,21,-3.1496749650768973e-7,-3.261346611546703e-7,-0.16608296885779492
BESS,9,22,-2.979663349149654e-7,-3.006238796808172e-7,-2.0086469029926858e-8
BESS,9,23,-2.973916937267866e-7,-2.964506590290671e-7,-0.00013825744427657172
BESS,9,24,-3.0040474315156433e-7,-0.41987971634148974,-4.500324850324612e-8
BESS,9,27,-7.276994779061604e-7,-2.9676944276182415e-7,-3.070690475101433e-8
BESS,9,29,-5.080870810260365,-2.9792583994886787e-7,-2.280952894431247e-8
BESS,9,2,-3.049105757159429e-7,-4.743003005482951e-7,-6.810355408308918e-8
BESS,9,6,-6.290826733518276e-7,-2.9643485089845995e-7,-2.0646903630805717e-8
BESS,9,7,-6.135244022911003e-6,-3.0159271896600026e-7,-1.997885588826913e-8
BESS,9,8,-3.0248039021395574e-7,-4.646548167528153e-7,-3.7606360142557294e-8
BESS,10,10,-2.9801918118206757e-7,-3.001012711203108e-7,-1.953523373257052e-8
BESS,10,12,-3.1201178389997315e-7,-3.220998104550259e-7,-1.3015734915016625e-7
BESS,10,14,-3.1844595027372825e-7,-3.2594701330989706e-7,-0.02723104228768889
BESS,10,17,-3.1545577047717945e-7,-3.07303091383129e-7,-3.618444821960588e-8
BESS,10,18,-2.9659322305658723e-7,-2.966341110177178e-7,-1.9497777438552545e-8
BESS,10,21,-4.2282772776914035,-2.980151341981189e-7,-2.4822751668417158e-8
BESS,10,22,-2.9664776108826483e-7,-13.058026009133513,-5.3476921065602623e-8
BESS,10,23,-2.966379089593289e-7,-2.964111950137688e-7,-0.0001405970658342763
BESS,10,24,-3.277366294161448e-7,-3.1772237421447425e-7,-4.074196893860777e-8
BESS,10,27,-2.985114672502262e-7,-2.971458204519072e-7,-3.046976803302146e-8
BESS,10,29,-3.065103920540974e-7,-6.162657083170453e-7,-2.636276843863449e-8
BESS,10,2,-3.028881967591237e-7,-6.538639331653876e-7,-0.5177102734345995
BESS,10,6,-2.9645664658121633e-7,-3.3992784092801533e-7,-2.3781685118347963e-8
BESS,10,7,-3.234417948959753e-7,-3.264216902450895e-7,-1.9793555405522396e-8
BESS,10,8,-3.0916976428180484e-7,-4.0060109455807864e-7,-1.6629150814580328e-7
BESS,11,10,-2.982640009306834e-7,-2.9790718812544597e-7,-1.9497732929509777e-8
BESS,11,12,-3.062995336536416e-7,-3.1943494211834467e-7,-1.3756375969717175e-7
BESS,11,14,-0.3228414648275916,-3.015034209187399e-7,-1.9902089829038864e-8
BESS,11,17,-2.988669798028487e-7,-1.040159988621481,-0.01816355286424087
BESS,11,18,-2.9660907765288923e-7,-2.9647377412064077e-7,-1.948117692637838e-8
BESS,11,21,-3.022527426565822e-7,-5.042394312483337e-7,-3.401743715456769e-8
BESS,11,22,-2.9778656455837163e-7,-2.988241785456034e-7,-5.414060003991456e-8
BESS,11,23,-4.416821225093794e-6,-2.964526325154252e-7,-2.1159821282744837e-8
BESS,11,24,-3.0049777457873325e-7,-0.3732439219029889,-0.01112389103850248
BESS,11,27,-4.480581028966342e-7,-2.96808279109603e-7,-2.0194803313049007e-8
BESS,11,29,-3.021194500398784e-7,-3.422777475503376e-7,-3.334348339405168e-8
BESS,11,2,-3.0262467401432905e-7,-2.992156385654841e-7,-1.5553242436157363e-6
BESS,11,6,-3.043146369146134e-7,-2.96422491802583e-7,-2.1871607653153646e-8
BESS,11,7,-3.0541321132996786e-7,-7.580964066396465e-7,-0.02247089228560611
BESS,11,8,-2.9513034178751765e-7,-4.3511213306032075e-7,-0.08273051562529059
BESS,12,10,-2.982609433637749e-7,-1.4052063678623884e-6,-3.7022072113161215e-8
BESS,12,12,-3.017911777614605e-7,-3.177455665586367e-7,-1.4741891896065085e-7
BESS,12,14,-3.163414993769802e-7,-3.2380872447921065e-7,-1.9924339720311894e-8
BESS,12,17,-3.022919054936612e-7,-3.04809608245566e-7,-0.015127861570443352
BESS,12,18,-2.967268736278594e-7,-2.96734410134819e-7,-1.9478902633931846e-8
BESS,12,21,-3.010457892473829e-7,-3.29788841589121e-7,-3.9504938640077515e-8
BESS,12,22,-2.9794368751436405e-7,-9.434370492220719e-7,-2.0096226642390214
BESS,12,23,-3.021853890852383e-7,-2.9641087062107343e-7,-1.947881739427103e-8
BESS,12,24,-3.080768418805202e-7,-3.1795904573096206e-7,-3.122028113951182
BESS,12,27,-2.9851003089444556e-7,-2.970569175443165e-7,-2.0051593305554568e-8
BESS,12,29,-3.064331527393862e-7,-3.243916139484971e-7,-3.613977161278357e-8
BESS,12,2,-8.715363554506731e-6,-2.980824283794004e-7,-2.0202060780358633e-8
BESS,12,6,-3.035181306274558e-7,-2.9642550478249625e-7,-2.0534028593192882e-8
BESS,12,7,-3.2528303426037894e-7,-3.23702257728068e-7,-6.844596528997257e-7
BESS,12,8,-3.098244983115562e-7,-3.199613956563863e-7,-3.6001214797154497
BESS,13,10,-3.8962852255580223e-7,-2.98153753316694e-7,-2.5640922404970495e-8
BESS,13,12,-6.391267175122413e-7,-2.99609163219085e-7,-5.8501147626405726e-8
BESS,13,14,-2.997799565625415e-7,-7.37340842087586e-7,-3.285151430825426e-8
BESS,13,17,-3.019818872369819e-7,-3.057041320077898e-7,-21.81862704333252
BESS,13,18,-2.973543533050333e-7,-5.397405925283918e-7,-10.55426357130468
BESS,13,21,-2.9856848970139784e-7,-1.2413549644454653,-1.9956260780699284e-6
BESS,13,22,-2.9747170160828385e-7,-2.9695409599401254e-7,-0.2649580518981025
BESS,13,23,-2.964742380830918e-7,-2.9648619823330565e-7,-1.9478550991127116e-8
BESS,13,24,-6.428061330231055e-7,-2.96648165321432e-7,-1.9482511009780547e-8
BESS,13,27,-2.9821202250547003e-7,-2.968222904479479e-7,-1.988293977911288e-8
BESS,13,29,-3.027976724065198e-7,-3.0617436882374453e-7,-3.683544658787014e-8
BESS,13,2,-3.031768333482746e-7,-3.0028019713239926e-7,-1.9943176579164957e-8
BESS,13,6,-3.0172292881987385e-7,-2.964255179799455e-7,-1.9626566647022907e-8
BESS,13,7,-9.502428851262354e-6,-3.013784059154805e-7,-2.006470474484075e-8
BESS,13,8,-3.794646102889548e-7,-2.964860935885023e-7,-1.9481887349400643e-8
BESS,14,10,-2.975781665134952e-7,-1.3102859250248831e-5,-0.9115635550704202
BESS,14,12,-0.1704321703777303,-3.0372715878541786e-7,-2.396575258161826e-8
BESS,14,14,-2.986497595337686e-7,-3.1719702395117193e-6,-1.9070467659472317e-7
BESS,14,17,-9.882763427020271e-7,-2.964451529332911e-7,-1.947821572336645e-8
BESS,14,18,-2.9689339219081644e-7,-2.9662864531073773e-7,-0.7972064260339605
BESS,14,21,-3.011918688370586e-7,-3.063360832968347e-7,-5.968999791368328e-6
BESS,14,22,-2.972880161055507e-7,-2.991976911442478e-7,-80.5892362447003
BESS,14,23,-2.975224746944223e-7,-9.231243521962033e-7,-8.716768041297246e-8
BESS,14,24,-3.0950565136405097e-7,-3.2268351724149897e-7,-1.9691420811089053e-8
BESS,14,27,-3.002755876971843e-7,-2.970992635574752e-7,-1.9716295811069755e-8
BESS,14,29,-3.195134693783185e-7,-3.4172289399183956e-7,-3.7836825631374174e-8
BESS,14,2,-3.059695196385131e-7,-3.0234145645282305e-7,-1.973588981725318e-8
BESS,14,6,-2.977584442734946e-7,-2.964392568492796e-7,-1.9478234373936365e-8
BESS,14,7,-2.950064807911147e-7,-3.2430957760629e-7,-2.0513964486010984e-8
BESS,14,8,-3.088619291695675e-7,-3.478965584762723e-7,-1.9818960489982687e-8
BESS,15,10,-1.571364123133316e-5,-2.9740210896860624e-7,-2.5487882490328624e-8
BESS,15,12,-3.100362727130093e-7,-3.212438706973348e-7,-2.4423330733159438e-8
BESS,15,14,-9.951917160018705e-7,-3.027358932302847e-7,-2.2039863186720138e-8
BESS,15,17,-3.06404934673783e-7,-3.1273127070658697e-7,-1.9520779423799143e-8
BESS,15,18,-2.966654349168486e-7,-2.9712076834555983e-7,-3.846362956285376
BESS,15,21,-3.0215130986302294e-7,-3.088802223370981e-7,-21.80964145755346
BESS,15,22,-4.448000979615832e-6,-2.9642290672064304e-7,-1.9477683686112224e-8
BESS,15,23,-10.110060309783634,-2.970688620631353e-7,-2.0837305455408096e-8
BESS,15,24,-3.129790959416265e-7,-3.230127618980016e-7,-1.9730954699712264e-8
BESS,15,27,-3.030888177055421e-7,-2.970757932576215e-7,-1.948180072118617e-8
