Storage,Scenario,dualcvarstorage
BESS,10,0.03333333332588119
BESS,12,1.227021162773174e-12
BESS,14,1.5948094877654804e-12
BESS,17,2.519761980443576e-12
BESS,18,0.0333333333307101
BESS,21,0.033333333325627115
BESS,22,0.016666652971801477
BESS,23,1.226745098239166e-11
BESS,24,2.7820099861120634e-12
BESS,27,1.4886027386334292e-12
BESS,29,0.033333333326683555
BESS,2,0.03333333333144326
BESS,6,0.033333333331814825
BESS,7,3.153480027363473e-12
BESS,8,0.03333333332893425
H2,10,0.03333333333197547
H2,12,1.834535152656081e-13
H2,14,2.5048317622433815e-13
H2,17,9.600715830108784e-13
H2,18,0.03333333333195348
H2,21,0.033333333332570575
H2,22,5.315212938576925e-13
H2,23,0.033333333330622675
H2,24,6.767392218418844e-13
H2,27,8.804386986756433e-14
H2,29,0.03333333333212429
H2,2,0.03333333333266611
H2,6,0.03333333333280806
H2,7,0.016666668563121236
H2,8,1.0284558975574834e-12
