Y,T,year,PV,Wind_Onshore,Wind_Offshore
3,1,1982.0,0.00959375,0.09127812500000002,0.10173125
3,2,1982.0,0.007600000000000001,0.25522,0.5959000000000001
3,3,1982.0,0.0,0.35773076923076924,0.8288846153846153
3,4,1982.0,0.009066666666666667,0.47293999999999997,0.64204
3,5,1982.0,0.0015833333333333333,0.5714333333333333,0.7806416666666668
3,6,1982.0,0.02390909090909091,0.39421818181818186,0.5984181818181817
3,7,1982.0,0.009222222222222222,0.4320611111111111,0.44711666666666666
3,8,1982.0,0.0007142857142857143,0.4370857142857143,0.6942000000000002
3,9,1982.0,0.0,0.28974444444444447,0.5421555555555556
3,10,1982.0,0.0400625,0.15187499999999998,0.31583125
3,11,1982.0,0.049999999999999996,0.1612611111111111,0.16318888888888888
3,12,1982.0,0.0,0.24085,0.38453333333333334
3,13,1982.0,0.0017272727272727272,0.3347636363636364,0.7083545454545453
3,14,1982.0,0.022090909090909088,0.5274909090909091,0.9013272727272725
3,15,1982.0,0.0,0.43345,0.7533799999999999
3,16,1982.0,0.06105263157894738,0.2335921052631579,0.6376842105263159
3,17,1982.0,0.0026666666666666666,0.15294166666666667,0.5336666666666667
3,18,1982.0,0.15345454545454545,0.10580909090909092,0.3674818181818182
3,19,1982.0,0.0,0.08087272727272726,0.1799272727272727
3,20,1982.0,0.06906666666666667,0.16002666666666668,0.14132666666666666
3,21,1982.0,0.0,0.30421111111111115,0.1608888888888889
3,22,1982.0,0.07653333333333333,0.4456466666666667,0.32237999999999994
3,23,1982.0,0.0029090909090909093,0.49091818181818175,0.2947545454545455
3,24,1982.0,0.07479999999999998,0.24160666666666664,0.23947333333333332
3,25,1982.0,0.00075,0.3623875,0.5233187499999999
3,26,1982.0,0.028928571428571432,0.4429000000000001,0.5540071428571428
3,27,1982.0,0.013576923076923078,0.2557884615384615,0.23835769230769233
3,28,1982.0,0.0,0.3577125,0.3311125
3,29,1982.0,0.022312500000000002,0.39085625,0.414275
3,30,1982.0,0.0,0.321375,0.3188
3,31,1982.0,0.01575,0.19992500000000002,0.29016875000000003
3,32,1982.0,0.0,0.1924,0.22441250000000001
3,33,1982.0,0.025,0.28902,0.3742599999999999
3,34,1982.0,0.025826086956521742,0.44039999999999996,0.48241304347826075
3,35,1982.0,0.0011666666666666668,0.5252416666666666,0.6941833333333333
3,36,1982.0,0.029363636363636366,0.3980090909090909,0.49678181818181827
3,37,1982.0,0.037866666666666667,0.14522,0.15334000000000003
3,38,1982.0,0.0,0.0804,0.07227777777777777
3,39,1982.0,0.015142857142857142,0.13875714285714286,0.12655
3,40,1982.0,0.01795,0.34733,0.403185
3,41,1982.0,0.00075,0.47232500000000005,0.74916875
3,42,1982.0,0.036538461538461534,0.45539230769230765,0.5430307692307692
3,43,1982.0,0.0,0.4963222222222222,0.7595666666666667
3,44,1982.0,0.188,0.30779999999999996,0.6874
3,45,1982.0,0.0185,0.30744166666666667,0.42674166666666674
3,46,1982.0,0.0301,0.770405,0.7532400000000001
3,47,1982.0,0.0007272727272727273,0.4913181818181819,0.6587090909090908
3,48,1982.0,0.03059375,0.7746031250000001,0.8479249999999999
3,49,1982.0,0.0,0.46543999999999996,0.81364
3,50,1982.0,0.0,0.22458999999999998,0.60804
3,51,1982.0,0.028200000000000003,0.1932066666666667,0.15433333333333335
3,52,1982.0,0.03143902439024391,0.2919780487804878,0.27799756097560974
3,53,1982.0,0.018799999999999997,0.41942999999999997,0.55897
3,54,1982.0,0.001,0.34204545454545454,0.3769090909090909
3,55,1982.0,0.02817391304347826,0.4133739130434783,0.5403673913043479
3,56,1982.0,0.054733333333333335,0.6328133333333333,0.6305866666666665
3,57,1982.0,0.02781578947368421,0.3631157894736841,0.406428947368421
3,58,1982.0,0.0306,0.7616600000000001,0.6509999999999999
3,59,1982.0,0.0,0.5535222222222222,0.6294888888888889
3,60,1982.0,0.05744117647058824,0.2863000000000001,0.5476264705882352
3,61,1982.0,0.030868421052631573,0.5616631578947371,0.5809289473684209
3,62,1982.0,0.017,0.8682192307692309,0.8628192307692307
3,63,1982.0,0.1504,0.7203800000000001,0.6624
3,64,1982.0,0.01588888888888889,0.4275444444444445,0.44418888888888886
