Y,T,year,PV,Wind
3,1,2011.0,0.00890909090909091,0.2299090909090909
3,2,2011.0,0.0404,0.18868000000000001
3,3,2011.0,0.006076923076923077,0.18324615384615386
3,4,2011.0,0.1985,0.09505
3,5,2011.0,0.014875000000000001,0.1021
3,6,2011.0,0.0,0.1241375
3,7,2011.0,0.01175,0.25685
3,8,2011.0,0.11649999999999999,0.302675
3,9,2011.0,0.008624999999999999,0.35857500000000003
3,10,2011.0,0.004384615384615384,0.39613846153846155
3,11,2011.0,0.020399999999999998,0.4349900000000001
3,12,2011.0,0.0,0.3537199999999999
3,13,2011.0,0.022312500000000002,0.281625
3,14,2011.0,0.0,0.32005
3,15,2011.0,0.03464285714285715,0.22168571428571424
3,16,2011.0,0.0,0.12184999999999999
3,17,2011.0,0.02128571428571429,0.2266142857142857
3,18,2011.0,0.0,0.24462
3,19,2011.0,0.015666666666666666,0.2663333333333333
3,20,2011.0,0.1662,0.29398
3,21,2011.0,0.002625,0.33299999999999996
3,22,2011.0,0.0,0.41917499999999996
3,23,2011.0,0.06924999999999999,0.4416
3,24,2011.0,0.22075,0.30555
3,25,2011.0,0.004571428571428572,0.27364285714285713
3,26,2011.0,9.090909090909092e-05,0.3645
3,27,2011.0,0.017249999999999998,0.2851333333333333
3,28,2011.0,0.004,0.34859999999999997
3,29,2011.0,0.19074999999999998,0.29395
3,30,2011.0,0.014555555555555556,0.1371888888888889
3,31,2011.0,0.0,0.3325875
3,32,2011.0,0.012333333333333333,0.34757333333333335
3,33,2011.0,0.0,0.25672222222222224
3,34,2011.0,0.052,0.4062428571428572
3,35,2011.0,0.004428571428571428,0.2956857142857143
3,36,2011.0,0.0,0.2715571428571429
3,37,2011.0,0.0,0.4054333333333333
3,38,2011.0,0.032,0.5168866666666667
3,39,2011.0,0.0,0.45247499999999996
3,40,2011.0,0.0,0.7356
3,41,2011.0,0.0121875,0.8166937500000001
3,42,2011.0,0.0,0.7924750000000002
3,43,2011.0,0.07142857142857142,0.7559571428571428
3,44,2011.0,0.01,0.574375
3,45,2011.0,0.0,0.4507875
3,46,2011.0,0.00625,0.26389999999999997
3,47,2011.0,0.03630769230769231,0.1811846153846154
3,48,2011.0,0.012000000000000002,0.23191666666666666
3,49,2011.0,0.15974999999999998,0.22139999999999999
3,50,2011.0,0.004125,0.27773749999999997
3,51,2011.0,0.0,0.23581249999999998
3,52,2011.0,0.017333333333333333,0.1789666666666667
3,53,2011.0,0.1464,0.12616
3,54,2011.0,0.005125,0.12243749999999999
3,55,2011.0,0.0,0.10186250000000001
3,56,2011.0,0.057333333333333326,0.1059
3,57,2011.0,0.27559999999999996,0.08458
3,58,2011.0,0.0075,0.135775
3,59,2011.0,0.0,0.15678750000000002
3,60,2011.0,0.0105,0.17149999999999999
3,61,2011.0,0.17533333333333334,0.11345
3,62,2011.0,0.007333333333333333,0.11205
3,63,2011.0,0.0,0.11185
3,64,2011.0,0.037200000000000004,0.1412
3,65,2011.0,0.0,0.20199999999999996
3,66,2011.0,0.09762499999999999,0.19785000000000003
3,67,2011.0,0.004428571428571428,0.2472714285714286
3,68,2011.0,0.001090909090909091,0.2718636363636364
3,69,2011.0,0.13333333333333333,0.35675000000000007
3,70,2011.0,0.004714285714285714,0.4582
3,71,2011.0,0.0021666666666666666,0.3330583333333333
3,72,2011.0,0.020545454545454547,0.27190000000000003
3,73,2011.0,0.0,0.32021999999999995
3,74,2011.0,0.032999999999999995,0.3176666666666667
3,75,2011.0,0.17339999999999997,0.29063999999999995
3,76,2011.0,0.006833333333333334,0.28918333333333335
3,77,2011.0,0.0,0.16602999999999998
3,78,2011.0,0.04800000000000001,0.12689999999999999
3,79,2011.0,0.22560000000000002,0.1062
3,80,2011.0,0.01,0.08518333333333333
3,81,2011.0,0.00675,0.08524166666666666
3,82,2011.0,0.2731428571428572,0.0827
3,83,2011.0,0.0006000000000000001,0.10697999999999999
3,84,2011.0,0.0,0.10525
3,85,2011.0,0.060000000000000005,0.0947
3,86,2011.0,0.26940000000000003,0.057679999999999995
