,load_mean,load_max,load_std,load_cv,PV_mean,PV_std,Wind_mean,Wind_std,z_load_mean,z_load_max,z_load_std,z_load_cv,z_PV_mean,z_PV_std,z_Wind_mean,z_Wind_std
6,0.6444225829638889,0.97028811,0.11045979352627339,0.1714089425889396,0.14529884785353536,0.16676376157817158,0.29721471321849446,0.1990546193594012,-1.9150843995671407,-1.7035118398995794,-1.5881072393239681,-0.12698935128288263,2.1943507922365533,2.571223861063393,0.3610705010589711,0.14206070395030476
21,0.6454915513569444,0.976772264,0.11035393464761907,0.1709610829384744,0.14371404365079365,0.1618911693689923,0.24163851169532627,0.17084626140308376,-1.8413460054997894,-0.9129041343221177,-1.6205599716764434,-0.21084653958073124,1.82432572368042,1.073921637465811,-2.305447679937705,-1.9340336098199118
33,0.6949337841788888,0.990573821,0.11928810351502868,0.17165391326596047,0.12755662946004612,0.15238932124443064,0.26663430127018045,0.18778843535568193,1.569223353780649,0.7699086602485802,1.1183523872259988,-0.08112107051891523,-1.9481581473732714,-1.8459078320290538,-1.1061622749801425,-0.6871141308355773
40,0.6945439367980556,0.990573821,0.11834519581095057,0.17039266998217337,0.1375456922398589,0.1606836151365623,0.28421638927469134,0.18399885111668077,1.5423313334171291,0.7699086602485802,0.829288949727683,-0.3172761146897205,0.384119640329034,0.7028514637857751,-0.26258254050750823,-0.9660220453737779
15,0.6583029178541666,0.972555003,0.12335990856294182,0.1873907971805005,0.12876508035714285,0.15434955899396222,0.29106897459215164,0.1957238600272488,-0.9576065072596337,-1.4271113914340456,2.3666293488863603,2.8654512234401635,-1.6660052320343561,-1.2435450207877796,0.06620105453940141,-0.10307836159640092
14,0.651360277816111,0.977989672,0.11688962998209185,0.17945464892946938,0.14554663194444442,0.16148584344154548,0.26649939311067017,0.18452493109815646,-1.4365160150801712,-0.764466551619473,0.38306196465244585,1.3794877579770848,2.2522042009208096,0.9493687534168276,-1.1126351005824646,-0.9273033202419798
31,0.6585803948127777,0.966355307,0.12251943059183122,0.18603564812563428,0.14009075540123456,0.16153196189685484,0.24194029444444443,0.17059973834229475,-0.9384658989389385,-2.1830353608273967,2.108967384284664,2.611713273733088,0.9783489900105343,0.9635405253852471,-2.290968295503717,-1.9521773502499595
1,0.6808252183272222,1.0,0.11541742546491447,0.1695257789488078,0.13835210394620812,0.1639557581789991,0.33955800699955907,0.2326022975315817,0.5960018860048707,1.9192351184962622,-0.06826587644512581,-0.47959268985594206,0.572403181229617,1.7083505581159446,2.3926804278983127,2.6111212569010327
5,0.6682857572174999,0.977134692,0.1151707470527616,0.17233757536939126,0.13255042074514992,0.15789236804616139,0.33072417040343915,0.21238705740224123,-0.2689813358638191,-0.868713578465934,-0.14388908905133807,0.04688774134870671,-0.7821920555186339,-0.15487278147207298,1.9688373935432595,1.1233088450968884
4,0.6861454164875,0.97628366,0.11180059816821433,0.16294009328305564,0.13248411574074073,0.1547726472042681,0.2978659773148148,0.20400602718836813,0.9629939046721653,-0.9724792288334347,-1.1770621315823917,-1.7126956996264717,-0.7976731564392892,-1.1135339525774137,0.39231782465924586,0.5064771529614187
13,0.683886925635,0.97628366,0.11421230591433619,0.16700466353891505,0.12981205654761904,0.15559630247491632,0.2868514787037037,0.1974379534466884,0.8072011894141053,-0.9724792288334347,-0.4377145492897023,-0.951646042794486,-1.421553938942516,-0.860432355875728,-0.1361522757819773,0.023076432910966494
3,0.6557455677694445,0.972555003,0.12383919938540155,0.18885251456086477,0.1297038274310566,0.15761540096275134,0.3204311915704665,0.20032405362403563,-1.1340147991609522,-1.4271113914340456,2.5135636162620445,3.1391430138841603,-1.4468236133959944,-0.23998218772855315,1.4749854489605798,0.23548922831155378
18,0.6676949392286111,0.985963708,0.11446888301791988,0.17143889565819675,0.1379648458593875,0.15865352278145506,0.2912043992764951,0.19367639620592694,-0.30973648818617877,0.20780127331993825,-0.35905673450625303,-0.1213809421167819,0.48198494541423237,0.07902298257525571,0.07269866274328432,-0.25376873512608733
