Time,Scenario,Dto,dfix_to,dflex_to
1,11,60.0814046,54.07277626605811,2.8999599677998997
1,12,58.534904499999996,52.680942334115976,2.92672782396321
1,13,62.072912,55.86508386220427,2.9960441601563423
1,19,56.958769200000006,51.26243314387303,2.7491998385175234
1,1,62.1623601,55.945598148506754,3.000361064798556
1,22,60.2885826,54.25919798714886,2.9099790727802204
1,23,60.228829399999995,54.20546111023746,3.011423293739089
1,24,62.6608085,56.3942115682082,3.133019009466486
1,26,53.594838700000004,48.23480390912437,2.6797309599394343
1,27,52.6982734,47.42790213181434,2.634557135603295
1,29,59.6891871,53.719743893370975,2.9844392807342865
1,30,54.5488663,49.093528895456856,2.7273264775794646
1,4,54.592711900000005,49.13286383648897,2.635036679054057
1,7,58.534904499999996,52.68094211239784,2.826272270596079
1,8,53.925616,48.532607212449285,2.696261933396968
2,11,58.4418122,52.59715071253293,2.8364141903933917
2,12,79.0577439,71.15132220414395,3.952848369180853
2,13,79.8972885,71.90656965915552,3.9946510167721634
2,19,63.7837018,57.40481499872374,3.1891649735595062
2,1,64.51529430000001,58.063184657170574,3.1139866785357233
2,22,77.01781009999999,69.3153508826174,3.717252431372448
2,23,72.6425559,65.37770734330658,3.6321033769487094
2,24,62.604527899999994,56.34355773178221,3.1301519539881526
2,26,62.213262300000004,55.99139070016941,3.1106486686987016
2,27,69.63218719999999,62.668179135635356,3.481477724574024
2,29,51.979677599999995,46.781066906869,2.598891134057654
2,30,63.349305199999996,57.013860498906794,3.057682974331169
2,4,64.7112223,58.23952114340896,3.123850343006843
2,7,79.8305777,71.84686490737872,3.850301755409377
2,8,69.3843527,62.44534658582753,3.349023603049213
3,11,83.7043812,75.3332492392769,4.040161260968247
3,12,58.5896077,52.73015908085598,2.9294606920265847
3,13,76.23625990000001,68.61197884170168,3.811767573926197
3,19,83.3360637,75.00177290227252,4.166695539131038
3,1,57.2618521,51.53506797331134,2.76383240828395
3,22,88.66251120000001,79.79544915213705,4.264666384127924
3,23,67.7359649,60.96182324263544,3.3867771602769228
3,24,66.1697097,59.55219087062847,3.3084503192852774
3,26,66.0638967,59.45687250998957,3.303151832318133
3,27,62.247995,56.02259997079286,3.1123773321678536
3,29,73.4857373,66.13644831015036,3.6742125854433563
3,30,68.0665669,61.259361795574726,3.2853056660689623
3,4,82.7166274,74.44417938048151,3.992375860009056
3,7,60.598741700000005,54.53836645679279,2.9249002625970055
3,8,67.4574506,60.711157895559225,3.255918343591931
4,11,64.0274455,57.62417605944929,3.2013518136941257
4,12,80.5755487,72.51733220665548,4.028733425084792
4,13,60.0840622,54.07505128915243,3.004116564586241
4,19,69.6836241,62.71469183926422,3.4837837676019885
4,1,83.638571,75.27395103431722,4.036499033125783
4,22,65.7205972,59.14785364793521,3.190373218210728
4,23,88.05413399999999,79.24799711964647,4.4026751918382185
4,24,67.9534761,61.15756958689452,3.2798837412185535
4,26,63.823729500000006,57.4407941897109,3.080547892251835
4,27,85.13281190000001,76.61875259830482,4.256068277737598
